"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","runoff","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version","fusion_ticket"
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",14,"GEN",NA,FALSE,"JACKIE SPEIER","D",FALSE,"TOTAL",203828,258283,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",15,"GEN",NA,FALSE,"ERIC SWALWELL","D",FALSE,"TOTAL",120388,231034,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",16,"GEN",NA,FALSE,"JIM COSTA","D",FALSE,"TOTAL",84649,147450,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",17,"GEN",NA,FALSE,"MICHAEL M HONDA","D",FALSE,"TOTAL",159392,216728,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",18,"GEN",NA,FALSE,"ANNA G ESHOO","D",FALSE,"TOTAL",212831,301934,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",19,"GEN",NA,FALSE,"ZOE LOFGREN","D",FALSE,"TOTAL",162300,221613,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",20,"GEN",NA,FALSE,"SAM FARR","D",FALSE,"TOTAL",172996,233562,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",21,"GEN",NA,FALSE,"DAVID G VALADAO","R",FALSE,"TOTAL",67164,116283,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",22,"GEN",NA,FALSE,"DEVIN NUNES","R",FALSE,"TOTAL",132386,213941,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",23,"GEN",NA,FALSE,"KEVIN MCCARTHY","R",FALSE,"TOTAL",158161,216003,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",24,"GEN",NA,FALSE,"LOIS CAPPS","D",FALSE,"TOTAL",156749,284495,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",25,"GEN",NA,FALSE,"HOWARD P ""BUCK"" MCKEON","R",FALSE,"TOTAL",129593,236575,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",26,"GEN",NA,FALSE,"JULIA BROWNLEY","D",FALSE,"TOTAL",139072,263935,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",27,"GEN",NA,FALSE,"JUDY CHU","D",FALSE,"TOTAL",154191,241008,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",28,"GEN",NA,FALSE,"ADAM B SCHIFF","D",FALSE,"TOTAL",188703,246711,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",29,"GEN",NA,FALSE,"TONY CARDENAS","D",FALSE,"TOTAL",111287,150281,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",30,"GEN",NA,FALSE,"BRAD SHERMAN","D",FALSE,"TOTAL",149456,247851,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",31,"GEN",NA,FALSE,"GARY G MILLER","R",FALSE,"TOTAL",88964,161219,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",32,"GEN",NA,FALSE,"GRACE F NAPOLITANO","D",FALSE,"TOTAL",124903,190111,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",33,"GEN",NA,FALSE,"HENRY A WAXMAN","D",FALSE,"TOTAL",171860,318520,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",34,"GEN",NA,FALSE,"XAVIER BECERRA","D",FALSE,"TOTAL",120367,140590,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",35,"GEN",NA,FALSE,"GLORIA NEGRETE MCLEOD","D",FALSE,"TOTAL",79698,142680,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",36,"GEN",NA,FALSE,"RAUL RUIZ","D",FALSE,"TOTAL",110189,208142,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",37,"GEN",NA,FALSE,"KAREN BASS","D",FALSE,"TOTAL",207039,239580,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",38,"GEN",NA,FALSE,"LINDA T SANCHEZ","D",FALSE,"TOTAL",145280,215087,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",39,"GEN",NA,FALSE,"EDWARD R ROYCE","R",FALSE,"TOTAL",145607,251967,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",40,"GEN",NA,FALSE,"LUCILLE ROYBAL-ALLARD","D",FALSE,"TOTAL",73940,125553,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",41,"GEN",NA,FALSE,"MARK TAKANO","D",FALSE,"TOTAL",103578,175652,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",42,"GEN",NA,FALSE,"KEN CALVERT","R",FALSE,"TOTAL",130245,214947,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",43,"GEN",NA,FALSE,"MAXINE WATERS","D",FALSE,"TOTAL",143123,200894,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",44,"GEN",NA,FALSE,"JANICE HAHN","D",FALSE,"TOTAL",99909,165898,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",45,"GEN",NA,FALSE,"JOHN CAMPBELL","R",FALSE,"TOTAL",171417,293231,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",46,"GEN",NA,FALSE,"LORETTA SANCHEZ","D",FALSE,"TOTAL",95694,149815,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",47,"GEN",NA,FALSE,"ALAN LOWENTHAL","D",FALSE,"TOTAL",130093,230012,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",48,"GEN",NA,FALSE,"DANA ROHRABACHER","R",FALSE,"TOTAL",177144,290502,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",49,"GEN",NA,FALSE,"DARRELL E ISSA","R",FALSE,"TOTAL",159725,274618,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",50,"GEN",NA,FALSE,"DUNCAN HUNTER","R",FALSE,"TOTAL",174838,258293,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",51,"GEN",NA,FALSE,"JUAN VARGAS","D",FALSE,"TOTAL",113934,159398,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",52,"GEN",NA,FALSE,"SCOTT PETERS","D",FALSE,"TOTAL",151451,295910,FALSE,20230706,FALSE
2012,"CALIFORNIA","CA",6,93,71,"US HOUSE",53,"GEN",NA,FALSE,"SUSAN A DAVIS","D",FALSE,"TOTAL",164825,268307,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",1,"GEN",NA,FALSE,"DIANA DEGETTE","D",FALSE,"TOTAL",237579,348210,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",2,"GEN",NA,FALSE,"JARED POLIS","D",FALSE,"TOTAL",234758,421580,FALSE,20230706,FALSE
