PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
Centre Ridge,1788,703,87,37,34,19,G16PREDCLI,336079
Oak Hill,1250,602,58,29,12,20,G16PREDCLI,336079
London Towne,2131,766,92,65,28,33,G16PREDCLI,336079
Navy,1741,908,66,46,20,38,G16PREDCLI,336079
Vale,1064,688,66,38,12,48,G16PREDCLI,336079
Waples Mill,1970,1334,112,63,22,55,G16PREDCLI,336079
Stone North,1055,490,74,24,6,28,G16PREDCLI,336079
Centreville,2361,973,130,74,35,43,G16PREDCLI,336079
Green Trails,2120,989,95,71,34,39,G16PREDCLI,336079
Deer Park,1464,1105,112,62,29,32,G16PREDCLI,336079
Spindle,1148,401,59,35,18,19,G16PREDCLI,336079
Old Mill,1005,559,69,25,15,13,G16PREDCLI,336079
Powell,2481,996,125,43,27,31,G16PREDCLI,336079
Poplar Tree,1438,830,74,30,14,41,G16PREDCLI,336079
Carson,1243,560,66,43,22,24,G16PREDCLI,336079
Stone South,1017,376,46,30,16,16,G16PREDCLI,336079
Compton,391,200,16,16,8,6,G16PREDCLI,336079
Difficult Run,293,254,20,8,4,20,G16PREDCLI,336079
Chantilly,1575,786,61,32,11,40,G16PREDCLI,336079
OAK GROVE,782,197,19,13,9,5,G16PREDCLI,336079
FOREST GROVE,1617,915,91,48,14,17,G16PREDCLI,336079
Saunders,1295,528,54,27,14,12,G16PREDCLI,336079
Spriggs,1785,1095,81,43,23,29,G16PREDCLI,336079
Hylton,657,1023,47,23,12,8,G16PREDCLI,336079
Saratoga,963,412,32,13,11,9,G16PREDCLI,336079
Rosa Parks,1151,574,42,27,11,11,G16PREDCLI,336079
Forest Park,1300,548,37,30,17,11,G16PREDCLI,336079
Dumfries,1381,415,52,18,23,24,G16PREDCLI,336079
Graham Park,995,320,23,22,13,15,G16PREDCLI,336079
Quantico,239,249,19,5,2,3,G16PREDCLI,336079
Washington-Reid,1256,938,44,30,18,31,G16PREDCLI,336079
Swans Creek,2026,641,57,37,18,21,G16PREDCLI,336079
Cardinal,954,461,41,26,14,4,G16PREDCLI,336079
Cabin Branch,959,595,44,36,12,11,G16PREDCLI,336079
Lake Ridge,1112,734,56,40,14,12,G16PREDCLI,336079
Occoquan,893,530,52,33,13,17,G16PREDCLI,336079
Old Bridge,1252,437,57,31,11,15,G16PREDCLI,336079
Mohican,1206,730,67,43,23,19,G16PREDCLI,336079
Springwoods,1011,407,49,40,12,19,G16PREDCLI,336079
Westridge,1214,794,71,43,15,29,G16PREDCLI,336079
Rockledge,856,506,46,27,11,17,G16PREDCLI,336079
McCoart,935,1077,72,40,11,16,G16PREDCLI,336079
Lynnwood,1135,875,59,60,28,38,G16PREDCLI,336079
Bethel,1746,844,59,42,29,25,G16PREDCLI,336079
Antietam,1428,743,102,48,24,29,G16PREDCLI,336079
Chinn,1198,609,48,35,17,32,G16PREDCLI,336079
York,1676,421,54,33,20,9,G16PREDCLI,336079
Minnieville,1314,578,58,30,25,12,G16PREDCLI,336079
Enterprise,1436,521,44,17,7,15,G16PREDCLI,336079
Dale,1454,384,46,24,18,13,G16PREDCLI,336079
Beville,2055,683,56,21,14,19,G16PREDCLI,336079
Gideon,1362,402,35,19,17,8,G16PREDCLI,336079
Kerrydale,1641,600,53,32,32,12,G16PREDCLI,336079
Bel Air,1317,608,53,15,14,12,G16PREDCLI,336079
Neabsco,1164,371,25,10,13,15,G16PREDCLI,336079
Belmont,1358,779,48,23,18,9,G16PREDCLI,336079
Porter,1645,349,52,9,19,21,G16PREDCLI,336079
Library,1539,436,54,32,29,19,G16PREDCLI,336079
Grayson,1835,469,46,14,23,19,G16PREDCLI,336079
Lynn,1104,232,33,19,14,12,G16PREDCLI,336079
Potomac View,898,496,22,8,11,11,G16PREDCLI,336079
Powells Creek,1489,297,29,23,37,12,G16PREDCLI,336079
Kilby,1309,468,20,32,14,16,G16PREDCLI,336079
River Oaks,1687,356,40,22,16,13,G16PREDCLI,336079
One,1206,586,86,47,18,25,G16PREDCLI,336079
Two,1045,641,65,37,8,27,G16PREDCLI,336079
Three,1548,797,92,50,27,34,G16PREDCLI,336079
Six,1197,546,59,36,12,20,G16PREDCLI,336079
Four,1262,600,79,52,16,36,G16PREDCLI,336079
Five,1109,532,46,41,26,20,G16PREDCLI,336079
Saint Albans (CD 8),441,206,15,12,7,15,G16PREDCLI,336079
Saint Albans (CD 11),880,356,31,25,4,21,G16PREDCLI,336079
DULLES SOUTH,1150,620,32,28,26,16,G16PREDCLI,336079
Penn (CD 1),797,1041,65,33,10,17,G16PREDCLI,336079
Penn (CD 11),99,58,6,1,0,0,G16PREDCLI,336079
Triangle (CD 11),1228,526,39,27,11,9,G16PREDCLI,336079
King (CD 11),1617,701,71,32,10,15,G16PREDCLI,336079
King (CD 1),0,0,0,0,0,0,G16PREDCLI,336079
Merrifield,3353,865,186,97,53,55,G16PREDCLI,336079
Tysons,1372,484,66,39,18,26,G16PREDCLI,336079
Rotonda,707,274,10,17,25,9,G16PREDCLI,336079
Newgate North,846,563,53,25,5,25,G16PREDCLI,336079
Newgate South,1228,1149,69,58,27,52,G16PREDCLI,336079
Leesylvania,1179,675,40,31,10,20,G16PREDCLI,336079
Rippon,1512,665,53,21,14,11,G16PREDCLI,336079
Bull Run,839,840,52,34,7,30,G16PREDCLI,336079
Virginia Run,1087,1073,69,29,11,33,G16PREDCLI,336079
Freedom,1751,314,39,18,13,4,G16PREDCLI,336079
Potomac,2382,512,54,32,16,25,G16PREDCLI,336079
Hampton,1272,290,35,16,11,11,G16PREDCLI,336079
Fitzgerald,1553,504,42,18,16,9,G16PREDCLI,336079
Timber Lane,1848,547,66,54,24,33,G16PREDCLI,336079
