PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
Chapel,1115,663,71,43,7,26,G16PREDCLI,336079
Fairview,2358,1205,115,69,40,62,G16PREDCLI,336079
Heritage,2286,664,69,24,44,16,G16PREDCLI,336079
Kings Park,1222,655,69,46,12,25,G16PREDCLI,336079
North Springfield,2254,1006,80,49,39,33,G16PREDCLI,336079
Canterbury,2075,964,102,63,18,48,G16PREDCLI,336079
Ravensworth,928,512,63,36,9,20,G16PREDCLI,336079
Wakefield,1236,525,49,47,11,30,G16PREDCLI,336079
Laurel,2079,1023,115,96,22,33,G16PREDCLI,336079
Little Run,735,371,36,23,5,19,G16PREDCLI,336079
Olde Creek,954,494,48,29,8,29,G16PREDCLI,336079
Sideburn,1376,1000,75,54,21,55,G16PREDCLI,336079
Cardinal,1221,572,42,36,24,43,G16PREDCLI,336079
Keene Mill,931,437,40,25,11,12,G16PREDCLI,336079
Monument,2049,808,80,48,33,23,G16PREDCLI,336079
University,2590,490,179,47,50,26,G16PREDCLI,336079
Woodson,1330,750,68,45,12,35,G16PREDCLI,336079
Lake Braddock,2238,800,123,62,25,39,G16PREDCLI,336079
Villa,1055,556,40,46,19,16,G16PREDCLI,336079
Robinson,2073,1078,126,65,27,60,G16PREDCLI,336079
Signal Hill,1492,780,69,36,13,44,G16PREDCLI,336079
Bonnie Brae,1292,547,82,36,21,21,G16PREDCLI,336079
Burke Centre,2336,1081,115,89,35,45,G16PREDCLI,336079
Terra Centre,1231,655,68,49,13,30,G16PREDCLI,336079
Danbury,409,160,20,8,9,6,G16PREDCLI,336079
Eagle View,1636,834,90,54,26,28,G16PREDCLI,336079
Armstrong,1890,811,85,61,20,48,G16PREDCLI,336079
Flint Hill,1372,823,72,59,12,50,G16PREDCLI,336079
Reston #1,1868,527,85,39,29,35,G16PREDCLI,336079
Reston #2,1930,459,75,47,35,26,G16PREDCLI,336079
Vienna #1,1913,944,107,83,31,55,G16PREDCLI,336079
Stuart,725,323,37,23,9,20,G16PREDCLI,336079
Floris,1880,1016,65,36,26,29,G16PREDCLI,336079
Vienna #2,1535,740,72,65,21,44,G16PREDCLI,336079
Cameron Glen,1487,803,95,31,26,41,G16PREDCLI,336079
Madison,522,155,18,17,7,9,G16PREDCLI,336079
Vienna #6,1240,432,43,45,8,33,G16PREDCLI,336079
McNair,2066,602,88,41,32,25,G16PREDCLI,336079
Vienna #4,897,376,40,30,9,16,G16PREDCLI,336079
Glade,2214,682,115,80,28,36,G16PREDCLI,336079
Westbriar,1780,791,98,57,11,41,G16PREDCLI,336079
Dogwood,2437,700,93,63,34,35,G16PREDCLI,336079
South Lakes,2572,774,109,51,35,48,G16PREDCLI,336079
Hunters Woods,1430,607,54,28,8,34,G16PREDCLI,336079
Wolftrap,1681,902,97,87,15,75,G16PREDCLI,336079
Fox Mill,2406,1323,119,72,24,54,G16PREDCLI,336079
Reston #3,1413,279,49,24,25,18,G16PREDCLI,336079
North Point,1587,886,68,35,20,55,G16PREDCLI,336079
Hughes,2304,557,102,51,36,38,G16PREDCLI,336079
Sunrise Valley,907,422,32,28,12,36,G16PREDCLI,336079
Aldrin,1454,624,53,48,13,41,G16PREDCLI,336079
Frying Pan,1744,569,63,37,23,18,G16PREDCLI,336079
Colvin,1174,766,54,37,5,37,G16PREDCLI,336079
Kenmore,1555,870,79,47,19,48,G16PREDCLI,336079
McLean,1011,580,44,42,19,29,G16PREDCLI,336079
Herndon #1,2102,953,104,83,23,53,G16PREDCLI,336079
Clearview,2084,1150,121,117,25,52,G16PREDCLI,336079
Herndon #3,1995,721,101,52,47,29,G16PREDCLI,336079
Hutchison,1450,351,44,16,20,18,G16PREDCLI,336079
Sugarland,1842,1032,99,57,19,48,G16PREDCLI,336079
Hickory,1375,993,68,46,15,53,G16PREDCLI,336079
Seneca,1498,1141,66,32,15,48,G16PREDCLI,336079
Coates,2083,590,68,40,34,34,G16PREDCLI,336079
Lynbrook,1306,408,48,29,14,6,G16PREDCLI,336079
Herndon #2,2424,825,111,60,23,33,G16PREDCLI,336079
Forestville,1210,1141,65,43,20,70,G16PREDCLI,336079
Shouse,1123,591,53,22,9,34,G16PREDCLI,336079
Spring Hill,941,534,57,47,5,33,G16PREDCLI,336079
Garfield,2130,744,53,30,23,27,G16PREDCLI,336079
Crestwood,1442,639,65,40,30,17,G16PREDCLI,336079
Gunston,1045,903,55,39,11,22,G16PREDCLI,336079
Newington,2703,1195,116,101,36,59,G16PREDCLI,336079
Lorton Station,2094,555,59,37,22,23,G16PREDCLI,336079
Alban,1695,628,81,45,25,24,G16PREDCLI,336079
Laurel Hill,2257,766,61,33,22,31,G16PREDCLI,336079
South County,1378,894,55,30,16,33,G16PREDCLI,336079
Marshall,2814,768,128,83,43,46,G16PREDCLI,336079
Woodburn,1119,361,47,48,18,17,G16PREDCLI,336079
Clifton,1505,1787,104,63,15,59,G16PREDCLI,336079
Colchester,842,675,38,24,9,25,G16PREDCLI,336079
Pine Spring,1370,432,76,57,17,33,G16PREDCLI,336079
Cedar Lake,683,289,25,24,6,14,G16PREDCLI,336079
Greenspring,1094,550,10,21,1,25,G16PREDCLI,336079
Baileys,2027,487,54,52,19,32,G16PREDCLI,336079
Kilmer,2180,737,79,42,29,44,G16PREDCLI,336079
Barcroft,724,289,21,12,6,20,G16PREDCLI,336079
Belvedere,883,311,28,24,12,15,G16PREDCLI,336079
Glen Forest,1697,485,39,37,24,18,G16PREDCLI,336079
Bristow,1676,462,34,24,25,16,G16PREDCLI,336079
Ravenwood,1363,465,63,37,16,49,G16PREDCLI,336079
Westlawn,1072,354,33,19,14,10,G16PREDCLI,336079
Hummer,986,455,39,24,9,15,G16PREDCLI,336079
Walnut Hill,1936,736,56,61,23,41,G16PREDCLI,336079
Holmes #1,449,103,9,0,4,4,G16PREDCLI,336079
Ridgelea,611,341,33,21,6,24,G16PREDCLI,336079
Willston,1212,289,35,18,17,10,G16PREDCLI,336079
Masonville,1504,619,71,47,20,21,G16PREDCLI,336079
Parklawn,1229,488,30,21,22,26,G16PREDCLI,336079
Holmes #2,1181,248,36,13,16,12,G16PREDCLI,336079
Thoreau,1542,646,72,51,16,43,G16PREDCLI,336079
Hunters Branch,1173,316,63,36,13,15,G16PREDCLI,336079
Sleepy Hollow,777,313,25,35,8,28,G16PREDCLI,336079
Brook Hill,1211,563,28,28,14,23,G16PREDCLI,336079
Columbia,1580,608,50,39,27,19,G16PREDCLI,336079
Mantua,1146,524,42,28,13,21,G16PREDCLI,336079
Camelot,698,430,36,25,7,16,G16PREDCLI,336079
Edsall,1208,469,48,27,11,14,G16PREDCLI,336079
Nottoway,1701,636,77,66,32,43,G16PREDCLI,336079
Saratoga,1893,908,79,50,28,47,G16PREDCLI,336079
Lorton,1433,330,19,22,14,18,G16PREDCLI,336079
Fairfax Court,0,0,0,0,0,0,G16PREDCLI,336079
Blake,2396,847,106,97,32,29,G16PREDCLI,336079
Freedom Hill,1172,514,36,17,15,36,G16PREDCLI,336079
Magarity,1904,655,81,77,36,35,G16PREDCLI,336079
Penderbrook,1903,863,95,57,34,33,G16PREDCLI,336079
Oakton,1116,721,49,55,18,44,G16PREDCLI,336079
Mosby,1798,572,74,51,26,40,G16PREDCLI,336079
Oak Marr,1569,995,83,65,23,53,G16PREDCLI,336079
Price,1054,500,53,27,12,23,G16PREDCLI,336079
Walker,1770,724,68,52,18,24,G16PREDCLI,336079
Pine Ridge,1327,508,47,27,18,21,G16PREDCLI,336079
Burke,2484,1012,114,86,25,43,G16PREDCLI,336079
Fairfax Station,704,555,32,29,9,21,G16PREDCLI,336079
Sydenstricker,1539,900,86,70,16,39,G16PREDCLI,336079
Hunt Valley,1040,590,58,48,11,23,G16PREDCLI,336079
Pohick,1120,415,40,30,14,19,G16PREDCLI,336079
Valley,1403,739,65,48,12,26,G16PREDCLI,336079
Orange,1842,1147,111,86,26,49,G16PREDCLI,336079
Cherry Run,1333,851,61,49,8,44,G16PREDCLI,336079
Irving,1235,714,45,52,21,45,G16PREDCLI,336079
White Oaks,1652,698,75,46,16,23,G16PREDCLI,336079
Sangster,1024,677,49,36,9,34,G16PREDCLI,336079
Silverbrook,1567,1140,91,52,15,50,G16PREDCLI,336079
West Springfield,1470,763,49,66,20,55,G16PREDCLI,336079
Popes Head,646,607,38,36,7,28,G16PREDCLI,336079
Parkway,1033,740,40,43,13,44,G16PREDCLI,336079
Fair Lakes,1697,751,98,45,25,20,G16PREDCLI,336079
Centerpointe,1605,530,93,40,38,24,G16PREDCLI,336079
Fountainhead,1581,1458,95,39,10,55,G16PREDCLI,336079
Greenbriar East,1808,803,99,57,22,31,G16PREDCLI,336079
Greenbriar West,1216,684,67,34,17,29,G16PREDCLI,336079
Fair Oaks,1750,748,72,33,26,24,G16PREDCLI,336079
South Run,1285,986,57,48,7,42,G16PREDCLI,336079
Willow Springs,1173,822,54,30,15,33,G16PREDCLI,336079
