SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
835050,18,0,0,0,0,0,G20PREDBID,274029
839220,0,2,0,0,0,0,G20PREDBID,274029
835740,110,23,1,0,0,0,G20PREDBID,274029
839360,4,2,0,0,0,0,G20PREDBID,274029
836310,351,173,0,1,1,3,G20PREDBID,274029
835020,219,105,1,1,0,3,G20PREDBID,274029
839250,2,0,0,1,0,0,G20PREDBID,274029
835310,760,206,6,7,3,5,G20PREDBID,274029
839520,0,0,0,0,0,0,G20PREDBID,274029
832500,1066,430,18,10,5,1,G20PREDBID,274029
839500,0,0,0,0,0,0,G20PREDBID,274029
832200,1760,619,26,12,3,5,G20PREDBID,274029
832600,1590,656,29,14,14,5,G20PREDBID,274029
832810,1446,522,19,5,4,8,G20PREDBID,274029
833210,2135,793,23,20,6,6,G20PREDBID,274029
835500,809,219,9,8,4,3,G20PREDBID,274029
838500,1797,784,15,12,9,5,G20PREDBID,274029
833410,2325,815,28,22,16,12,G20PREDBID,274029
836500,2255,898,22,16,11,9,G20PREDBID,274029
835100,2168,668,27,20,7,10,G20PREDBID,274029
835830,1120,303,13,6,5,4,G20PREDBID,274029
833510,2692,1133,32,18,14,20,G20PREDBID,274029
833710,1126,416,10,18,5,3,G20PREDBID,274029
836010,2009,663,23,15,17,11,G20PREDBID,274029
835600,1928,613,25,15,9,7,G20PREDBID,274029
832800,1710,636,22,8,11,6,G20PREDBID,274029
835800,2430,798,28,16,5,10,G20PREDBID,274029
835710,1483,441,16,8,12,3,G20PREDBID,274029
830210,2449,646,28,13,5,5,G20PREDBID,274029
837800,666,243,5,1,4,2,G20PREDBID,274029
852010,2900,987,28,14,11,6,G20PREDBID,274029
851300,2926,1100,36,20,10,8,G20PREDBID,274029
836210,1343,398,16,9,6,3,G20PREDBID,274029
837600,2488,822,18,20,12,8,G20PREDBID,274029
832000,2725,971,27,31,13,13,G20PREDBID,274029
837100,2552,900,30,14,8,5,G20PREDBID,274029
867320,0,0,1,0,0,0,G20PREDBID,274029
839230,1,0,0,0,0,0,G20PREDBID,274029
837700,2075,637,21,15,7,6,G20PREDBID,274029
850400,2538,876,39,6,14,12,G20PREDBID,274029
839300,1,5,0,0,0,0,G20PREDBID,274029
839310,13,4,0,1,0,0,G20PREDBID,274029
839240,20,24,1,0,0,0,G20PREDBID,274029
850800,3086,930,30,17,18,7,G20PREDBID,274029
850500,3153,1039,31,15,15,12,G20PREDBID,274029
839120,3,1,0,0,0,0,G20PREDBID,274029
867110,13,18,0,0,1,0,G20PREDBID,274029
838700,1742,678,17,8,7,5,G20PREDBID,274029
838000,2224,798,21,6,11,5,G20PREDBID,274029
850700,0,0,0,0,0,0,G20PREDBID,274029
830500,1723,472,17,9,2,6,G20PREDBID,274029
867200,47,29,1,0,0,0,G20PREDBID,274029
839000,6,2,1,0,0,0,G20PREDBID,274029
4405,544,66,6,4,1,6,G20PREDBID,274029
9166,914,301,13,5,2,2,G20PREDBID,274029
3635,0,0,0,0,0,0,G20PREDBID,274029
9061,0,0,0,0,0,0,G20PREDBID,274029
9282,6,2,0,0,0,0,G20PREDBID,274029
9275,1272,345,14,11,5,3,G20PREDBID,274029
9163,966,262,16,6,1,2,G20PREDBID,274029
9062,1575,504,27,13,6,4,G20PREDBID,274029
9157,2158,692,36,22,18,8,G20PREDBID,274029
9056,1988,619,23,16,3,4,G20PREDBID,274029
9055,54,6,0,0,0,0,G20PREDBID,274029
9059,1623,542,25,7,6,6,G20PREDBID,274029
7821,2337,1109,18,16,10,13,G20PREDBID,274029
7826,2239,784,12,6,9,6,G20PREDBID,274029
3624,2601,656,41,18,9,9,G20PREDBID,274029
7818,150,65,4,1,0,2,G20PREDBID,274029
7817,7,2,0,0,0,0,G20PREDBID,274029
9264,1346,383,11,5,2,3,G20PREDBID,274029
9151,1731,625,20,16,7,8,G20PREDBID,274029
9051,970,576,22,7,7,6,G20PREDBID,274029
9268,1289,428,18,10,7,2,G20PREDBID,274029
7812,946,429,7,6,6,6,G20PREDBID,274029
7811,133,47,0,0,0,0,G20PREDBID,274029
7810,162,80,0,1,1,0,G20PREDBID,274029
7816,186,45,3,0,1,0,G20PREDBID,274029
3614,887,377,11,5,2,7,G20PREDBID,274029
3611,2015,627,19,12,11,11,G20PREDBID,274029
3606,1919,559,16,8,6,4,G20PREDBID,274029
