SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
532300,0,0,0,0,0,0,G20PREDBID,340497
261300,3055,285,11,20,3,7,G20PREDBID,340497
200200,1631,76,8,22,3,4,G20PREDBID,340497
205200,3717,150,14,23,4,4,G20PREDBID,340497
200100,2927,146,15,16,7,9,G20PREDBID,340497
244400,4062,310,28,19,9,8,G20PREDBID,340497
464320,0,0,0,0,0,0,G20PREDBID,340497
260100,3057,284,30,33,6,26,G20PREDBID,340497
213600,2006,163,8,23,0,2,G20PREDBID,340497
244300,3125,242,27,13,6,4,G20PREDBID,340497
547770,807,225,6,6,7,0,G20PREDBID,340497
464000,3,0,0,0,0,0,G20PREDBID,340497
547900,2689,816,19,20,8,3,G20PREDBID,340497
464310,0,0,0,0,0,0,G20PREDBID,340497
464500,28,27,0,0,0,1,G20PREDBID,340497
213100,3512,381,40,11,8,3,G20PREDBID,340497
394000,3,3,0,0,0,0,G20PREDBID,340497
464660,140,101,5,1,2,2,G20PREDBID,340497
464010,0,0,0,0,0,0,G20PREDBID,340497
510400,36,82,0,0,0,0,G20PREDBID,340497
510100,83,186,4,1,0,0,G20PREDBID,340497
ALHA101,356,246,6,6,0,1,G20PREDBID,340497
ALHA801,21,10,0,0,0,0,G20PREDBID,340497
ALHA802,37,27,1,1,0,0,G20PREDBID,340497
ALHA803,5,5,0,0,0,0,G20PREDBID,340497
ALHA804,96,50,1,0,0,0,G20PREDBID,340497
ALHA805,37,35,2,0,0,0,G20PREDBID,340497
ALHA806,1,3,0,0,0,0,G20PREDBID,340497
ALMO102,982,543,24,7,10,1,G20PREDBID,340497
ALMO103,597,386,11,3,3,1,G20PREDBID,340497
ALMO104,629,441,13,5,2,0,G20PREDBID,340497
ALMO105,343,253,8,1,1,0,G20PREDBID,340497
ALMO106,503,427,5,1,2,1,G20PREDBID,340497
ALMO109,584,350,10,1,6,1,G20PREDBID,340497
ALMO110,571,359,20,3,3,0,G20PREDBID,340497
ALMO111,536,436,17,2,6,0,G20PREDBID,340497
ALMO112,331,311,6,1,1,0,G20PREDBID,340497
ALMO801,263,164,11,4,0,0,G20PREDBID,340497
ALMO802,212,154,0,1,0,0,G20PREDBID,340497
ALMO803,4,5,0,0,0,0,G20PREDBID,340497
ALMO804,321,138,4,2,1,0,G20PREDBID,340497
ALMO805,233,76,5,1,0,0,G20PREDBID,340497
ALMO806,303,110,5,1,0,0,G20PREDBID,340497
ALMO807,174,102,2,0,0,1,G20PREDBID,340497
ALMO808,0,1,0,0,0,0,G20PREDBID,340497
ALMO809,36,22,0,0,0,0,G20PREDBID,340497
ALMO810,7,3,0,0,0,0,G20PREDBID,340497
ALMO811,0,0,0,0,0,0,G20PREDBID,340497
ALMO901,0,0,0,0,0,0,G20PREDBID,340497
ANTI101,238,102,2,2,1,1,G20PREDBID,340497
ANTI102,672,265,12,6,2,3,G20PREDBID,340497
ANTI103,633,208,10,2,5,6,G20PREDBID,340497
ANTI104,705,254,10,11,6,2,G20PREDBID,340497
ANTI105,681,268,7,6,6,3,G20PREDBID,340497
ANTI107,700,235,5,3,4,3,G20PREDBID,340497
ANTI108,731,431,19,8,7,4,G20PREDBID,340497
ANTI109,733,299,6,7,6,0,G20PREDBID,340497
ANTI110,668,286,15,3,7,5,G20PREDBID,340497
ANTI111,771,379,15,6,2,0,G20PREDBID,340497
ANTI112,470,193,3,3,3,2,G20PREDBID,340497
ANTI113,427,189,9,6,6,4,G20PREDBID,340497
ANTI114,540,214,11,8,5,3,G20PREDBID,340497
ANTI115,639,238,6,5,3,5,G20PREDBID,340497
ANTI119,918,278,9,11,0,4,G20PREDBID,340497
ANTI128,576,218,9,3,5,7,G20PREDBID,340497
ANTI147,768,260,13,7,5,5,G20PREDBID,340497
ANTI148,664,117,7,3,4,3,G20PREDBID,340497
ANTI810,1,0,0,0,0,0,G20PREDBID,340497
ANTI816,405,166,9,3,1,0,G20PREDBID,340497
ANTI817,150,31,2,1,1,2,G20PREDBID,340497
ANTI818,260,79,2,1,2,3,G20PREDBID,340497
ANTI820,17,8,0,0,0,0,G20PREDBID,340497
ANTI822,206,104,3,1,1,0,G20PREDBID,340497
ANTI901,0,0,0,0,0,0,G20PREDBID,340497
ANTI905,0,0,0,0,0,0,G20PREDBID,340497
ANTI907,0,0,0,0,0,0,G20PREDBID,340497
