PREC,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
0082,866,643,69,21,22,G16PRERTRU,140471
0100,9,6,0,0,0,G16PRERTRU,140471
0147,600,463,40,4,15,G16PRERTRU,140471
0128,2354,727,123,15,56,G16PRERTRU,140471
0146,1431,1228,156,25,49,G16PRERTRU,140471
0090,1363,702,66,4,46,G16PRERTRU,140471
0127,1235,992,76,11,44,G16PRERTRU,140471
0006,1854,1556,178,19,67,G16PRERTRU,140471
0145,501,488,48,10,25,G16PRERTRU,140471
0059,1479,902,113,15,41,G16PRERTRU,140471
0040,1516,642,140,21,46,G16PRERTRU,140471
0113,1036,809,105,27,35,G16PRERTRU,140471
0106,685,492,72,18,47,G16PRERTRU,140471
0114,702,198,32,4,13,G16PRERTRU,140471
0008,1136,324,30,16,13,G16PRERTRU,140471
0115,929,918,76,11,26,G16PRERTRU,140471
0120,2446,1735,167,22,82,G16PRERTRU,140471
0155,2868,1438,159,21,77,G16PRERTRU,140471
0010,345,63,7,3,5,G16PRERTRU,140471
0131,2378,1155,171,22,73,G16PRERTRU,140471
0012,943,395,49,8,23,G16PRERTRU,140471
0126,1539,1108,140,12,66,G16PRERTRU,140471
0168,808,309,53,10,31,G16PRERTRU,140471
0116,1676,1261,96,10,34,G16PRERTRU,140471
0067,774,631,50,15,41,G16PRERTRU,140471
0015,451,421,34,12,12,G16PRERTRU,140471
0176,821,992,91,27,36,G16PRERTRU,140471
0179,2510,801,107,14,54,G16PRERTRU,140471
0163,921,630,76,14,40,G16PRERTRU,140471
0105,427,295,32,0,7,G16PRERTRU,140471
0071,646,482,53,8,18,G16PRERTRU,140471
0112,955,900,67,13,35,G16PRERTRU,140471
0053,871,578,71,8,30,G16PRERTRU,140471
0021,1433,1174,117,17,43,G16PRERTRU,140471
0072,568,407,48,11,15,G16PRERTRU,140471
0169,905,783,83,13,42,G16PRERTRU,140471
0171,2110,1621,141,26,72,G16PRERTRU,140471
0026,501,364,41,8,8,G16PRERTRU,140471
0023,272,696,41,13,13,G16PRERTRU,140471
0046,649,887,68,20,28,G16PRERTRU,140471
0068,600,498,55,17,23,G16PRERTRU,140471
0103,300,363,33,9,17,G16PRERTRU,140471
0129,1414,866,72,15,52,G16PRERTRU,140471
0117,1350,1119,107,29,60,G16PRERTRU,140471
0101,1153,755,102,13,41,G16PRERTRU,140471
0119,1905,1517,106,19,56,G16PRERTRU,140471
0061,692,432,38,9,14,G16PRERTRU,140471
0141,1034,839,81,18,52,G16PRERTRU,140471
0060,1041,374,53,6,25,G16PRERTRU,140471
0049,970,571,57,9,26,G16PRERTRU,140471
0138,580,241,47,4,14,G16PRERTRU,140471
0041,1391,416,84,7,38,G16PRERTRU,140471
0028,844,739,76,10,38,G16PRERTRU,140471
0075,831,455,42,11,24,G16PRERTRU,140471
0086,994,764,71,12,37,G16PRERTRU,140471
0032,968,649,88,18,25,G16PRERTRU,140471
0065,436,302,26,10,14,G16PRERTRU,140471
0121,633,1023,37,10,23,G16PRERTRU,140471
0034,1142,1459,69,25,26,G16PRERTRU,140471
0104,388,930,56,21,21,G16PRERTRU,140471
0088,372,789,53,13,25,G16PRERTRU,140471
0087,1692,1729,121,9,54,G16PRERTRU,140471
0156,1255,852,112,23,29,G16PRERTRU,140471
0157,2001,1765,132,34,59,G16PRERTRU,140471
0064,828,815,83,16,34,G16PRERTRU,140471
0039,821,870,76,25,21,G16PRERTRU,140471
0085,901,934,73,13,33,G16PRERTRU,140471
0062,761,748,82,15,26,G16PRERTRU,140471
0152,15,35,2,0,0,G16PRERTRU,140471
0051,330,481,42,7,15,G16PRERTRU,140471
0047,830,698,88,18,33,G16PRERTRU,140471
0054,691,950,97,25,30,G16PRERTRU,140471
0058,1059,1051,78,13,33,G16PRERTRU,140471
0070,791,468,48,7,19,G16PRERTRU,140471
0066,663,542,65,11,26,G16PRERTRU,140471
0142,899,912,82,15,33,G16PRERTRU,140471
0102,1238,501,72,7,39,G16PRERTRU,140471
0149,1455,910,109,15,41,G16PRERTRU,140471
0077,1015,1134,82,10,28,G16PRERTRU,140471
0091,755,627,74,20,28,G16PRERTRU,140471
0080,1211,943,100,22,41,G16PRERTRU,140471
0158,636,801,43,6,35,G16PRERTRU,140471
0002,1167,997,100,29,26,G16PRERTRU,140471
0095,950,859,104,27,43,G16PRERTRU,140471
0151,446,471,49,9,14,G16PRERTRU,140471
0063,868,538,49,6,28,G16PRERTRU,140471
0069,1386,1075,102,21,38,G16PRERTRU,140471
0107,1102,1025,97,24,45,G16PRERTRU,140471
0081,804,882,78,9,50,G16PRERTRU,140471
