PREC,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
0001,857,673,75,11,37,G16PRERTRU,140471
0057,1497,1040,112,29,61,G16PRERTRU,140471
0096,311,269,25,3,11,G16PRERTRU,140471
0044,367,339,36,8,7,G16PRERTRU,140471
0098,456,223,12,2,10,G16PRERTRU,140471
0097,701,260,23,4,17,G16PRERTRU,140471
0003,162,610,22,8,6,G16PRERTRU,140471
0073,388,608,33,13,18,G16PRERTRU,140471
0137,714,502,37,12,19,G16PRERTRU,140471
0118,1726,930,101,21,58,G16PRERTRU,140471
0198,66,14,1,0,0,G16PRERTRU,140471
0009,2262,967,144,14,48,G16PRERTRU,140471
0197,336,418,43,4,9,G16PRERTRU,140471
0122,2143,897,102,20,69,G16PRERTRU,140471
0140,2042,895,118,9,48,G16PRERTRU,140471
0173,293,132,17,1,10,G16PRERTRU,140471
0052,700,1244,62,18,29,G16PRERTRU,140471
0025,1669,1480,127,30,75,G16PRERTRU,140471
0134,2180,2037,146,23,79,G16PRERTRU,140471
0038,1835,1477,130,29,69,G16PRERTRU,140471
0191,201,37,4,4,2,G16PRERTRU,140471
0148,6,2,0,0,0,G16PRERTRU,140471
0206,628,301,37,3,25,G16PRERTRU,140471
0207,1305,699,86,16,54,G16PRERTRU,140471
0209,208,108,11,1,6,G16PRERTRU,140471
0099,87,79,10,2,3,G16PRERTRU,140471
0203,1406,629,77,15,32,G16PRERTRU,140471
0204,125,74,6,0,3,G16PRERTRU,140471
0205,11,6,0,0,0,G16PRERTRU,140471
0210,444,485,29,2,13,G16PRERTRU,140471
0213,2462,1953,189,29,93,G16PRERTRU,140471
0211,1914,1336,139,19,82,G16PRERTRU,140471
0212,1876,1882,124,23,68,G16PRERTRU,140471
0124,895,916,64,12,31,G16PRERTRU,140471
0167,1219,1521,79,19,44,G16PRERTRU,140471
0014,669,887,64,8,18,G16PRERTRU,140471
0135,1171,1203,80,16,36,G16PRERTRU,140471
0089,1556,1575,98,13,31,G16PRERTRU,140471
0019,657,418,60,7,22,G16PRERTRU,140471
0031,867,562,56,17,29,G16PRERTRU,140471
0076,1220,888,93,17,44,G16PRERTRU,140471
0108,845,969,81,19,32,G16PRERTRU,140471
0139,1181,1381,90,28,42,G16PRERTRU,140471
0045,996,538,63,15,25,G16PRERTRU,140471
0004,524,152,27,3,14,G16PRERTRU,140471
0016,2838,890,148,13,122,G16PRERTRU,140471
0007,492,364,34,7,16,G16PRERTRU,140471
0005,481,199,31,4,10,G16PRERTRU,140471
0050,464,955,40,22,30,G16PRERTRU,140471
0130,1897,1664,146,22,72,G16PRERTRU,140471
