PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
PURCELLVILLE,1147,1225,102,72,12,40,G16PREDCLI,296146
HILLSBORO,783,1105,47,31,12,30,G16PREDCLI,296146
ROUND HILL,885,1179,86,44,12,23,G16PREDCLI,296146
PHILOMONT,424,516,33,13,8,16,G16PREDCLI,296146
MIDDLEBURG,610,399,21,11,8,9,G16PREDCLI,296146
ALDIE,373,408,23,10,8,9,G16PREDCLI,296146
MOUNTAIN VIEW,991,1290,109,88,21,28,G16PREDCLI,296146
ROUND HILL ELEMENTARY,810,1164,69,50,16,42,G16PREDCLI,296146
BRIAR WOODS,1371,750,70,22,15,19,G16PREDCLI,296146
FIREHOUSE,280,422,18,8,1,9,G16PREDCLI,296146
MADISON'S TRUST,756,1004,68,42,10,23,G16PREDCLI,296146
WEST LOVETTSVILLE,1048,1450,108,50,13,19,G16PREDCLI,296146
WATERFORD,900,1115,82,26,16,26,G16PREDCLI,296146
LUCKETTS,1144,1292,76,34,20,15,G16PREDCLI,296146
HARPER PARK,764,573,39,25,3,15,G16PREDCLI,296146
EAST LOVETTSVILLE,722,963,64,32,15,20,G16PREDCLI,296146
TUSCARORA,47,58,4,0,3,0,G16PREDCLI,296146
RED ROCK,784,478,33,19,5,10,G16PREDCLI,296146
HAMILTON,1184,1416,78,50,18,33,G16PREDCLI,296146
RIVER CREEK,845,947,34,17,7,25,G16PREDCLI,296146
BETWEEN THE HILLS,108,180,7,7,5,1,G16PREDCLI,296146
WEST LEESBURG,1148,824,64,53,18,40,G16PREDCLI,296146
SMARTS MILL,1182,782,113,54,16,30,G16PREDCLI,296146
BALLS BLUFF,1270,944,90,54,21,33,G16PREDCLI,296146
HERITAGE,712,638,36,26,5,17,G16PREDCLI,296146
FARMWELL STATION,1559,739,63,40,13,14,G16PREDCLI,296146
ASHBY PONDS,506,423,8,11,2,12,G16PREDCLI,296146
EAST LEESBURG,1568,660,87,48,22,15,G16PREDCLI,296146
BRANDON PARK,879,461,64,38,25,14,G16PREDCLI,296146
GREENWAY,645,487,55,34,8,14,G16PREDCLI,296146
COOL SPRING,1219,1010,98,50,15,31,G16PREDCLI,296146
OAK GROVE,782,197,19,13,9,5,G16PREDCLI,296146
EAGLE RIDGE,1338,823,86,40,21,21,G16PREDCLI,296146
RIDGETOP,771,287,39,16,9,9,G16PREDCLI,296146
RUSSELL BRANCH,1468,1002,81,66,18,29,G16PREDCLI,296146
DOMINION TRAIL,1633,973,87,66,9,34,G16PREDCLI,296146
MILL RUN,494,408,32,18,1,14,G16PREDCLI,296146
SULLY,1337,721,64,41,17,21,G16PREDCLI,296146
STERLING,1156,582,61,30,20,15,G16PREDCLI,296146
PARK VIEW,1123,595,51,32,20,15,G16PREDCLI,296146
ROLLING RIDGE,1552,601,69,37,37,14,G16PREDCLI,296146
FOREST GROVE,1617,915,91,48,14,17,G16PREDCLI,296146
CLAUDE MOORE PARK,1145,496,47,31,10,12,G16PREDCLI,296146
SENECA,1089,700,46,32,21,28,G16PREDCLI,296146
STONE BRIDGE,1500,1043,126,84,19,35,G16PREDCLI,296146
CEDAR LANE,1364,813,80,59,15,36,G16PREDCLI,296146
SELDENS LANDING,1085,618,58,25,7,15,G16PREDCLI,296146
NEWTON-LEE,1221,1060,45,36,6,36,G16PREDCLI,296146
BELMONT RIDGE,1098,817,40,32,1,35,G16PREDCLI,296146
SANDERS CORNER,1539,1147,91,66,34,54,G16PREDCLI,296146
RIVERSIDE,857,580,42,19,7,25,G16PREDCLI,296146
BELMONT STATION,1131,745,49,48,8,11,G16PREDCLI,296146
BROAD RUN,1069,712,58,34,12,24,G16PREDCLI,296146
Brentsville,526,1429,70,36,11,19,G16PREDCLI,296146
Glenkirk,1069,1115,50,52,16,16,G16PREDCLI,296146
Limestone,1500,1376,97,59,19,27,G16PREDCLI,296146
Westgate,1345,414,50,25,26,13,G16PREDCLI,296146
Coles,736,1011,58,27,21,12,G16PREDCLI,296146
Bennett,1243,1220,92,46,18,29,G16PREDCLI,296146
Ellis,1187,843,65,27,24,20,G16PREDCLI,296146
Buckhall,1136,1173,90,48,11,15,G16PREDCLI,296146
Yorkshire,2247,1236,117,52,23,28,G16PREDCLI,296146
Lucasville,500,900,70,17,16,9,G16PREDCLI,296146
Tyler,1541,1219,100,42,25,21,G16PREDCLI,296146
Evergreen,918,1470,108,40,12,25,G16PREDCLI,296146
Battlefield,841,1357,52,60,13,38,G16PREDCLI,296146
Bull Run,1023,907,59,28,5,21,G16PREDCLI,296146
Stonewall,1744,786,98,51,25,20,G16PREDCLI,296146
Alvey,338,375,7,17,4,5,G16PREDCLI,296146
