PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0205,920,1781,26,16,9,G20PRERTRU,159412
0207,767,1419,52,12,1,G20PRERTRU,159412
0302,1621,1135,43,10,6,G20PRERTRU,159412
0303,1597,1417,49,15,6,G20PRERTRU,159412
0306,563,773,13,8,0,G20PRERTRU,159412
0307,454,1059,21,4,1,G20PRERTRU,159412
0314,984,853,19,9,2,G20PRERTRU,159412
0104,4279,1579,89,11,23,G20PRERTRU,159412
0102,1675,679,35,5,9,G20PRERTRU,159412
0103,2668,1339,52,17,14,G20PRERTRU,159412
0304,432,141,7,1,1,G20PRERTRU,159412
0151,581,1404,39,3,10,G20PRERTRU,159412
0274,1441,3520,87,23,19,G20PRERTRU,159412
0149,797,1264,44,9,3,G20PRERTRU,159412
0484,2213,2931,87,11,18,G20PRERTRU,159412
0197,878,1457,28,7,6,G20PRERTRU,159412
0311,1112,481,22,3,1,G20PRERTRU,159412
0105,993,187,8,6,1,G20PRERTRU,159412
0317,3587,2036,85,18,20,G20PRERTRU,159412
0106,1022,1999,59,25,15,G20PRERTRU,159412
0313,1307,687,24,4,9,G20PRERTRU,159412
0308,723,797,41,6,3,G20PRERTRU,159412
0410,421,741,22,6,1,G20PRERTRU,159412
0305,1299,662,20,7,13,G20PRERTRU,159412
0315,3569,1978,133,8,19,G20PRERTRU,159412
0204,602,905,18,3,6,G20PRERTRU,159412
0210,1848,2871,67,16,7,G20PRERTRU,159412
0406,639,883,19,10,3,G20PRERTRU,159412
0208,1504,2772,78,14,11,G20PRERTRU,159412
0371,1241,789,24,5,5,G20PRERTRU,159412
0339,903,1427,57,10,2,G20PRERTRU,159412
0341,972,638,31,7,4,G20PRERTRU,159412
0370,2604,1911,95,21,9,G20PRERTRU,159412
0436,438,191,5,2,1,G20PRERTRU,159412
0337,1861,2152,72,9,8,G20PRERTRU,159412
0314,1125,1261,45,4,5,G20PRERTRU,159412
0369,2505,2398,107,12,14,G20PRERTRU,159412
0109,548,845,27,5,4,G20PRERTRU,159412
0113,195,45,2,0,0,G20PRERTRU,159412
0206,420,761,16,6,2,G20PRERTRU,159412
0185,376,902,24,3,5,G20PRERTRU,159412
0111,2510,1671,51,14,9,G20PRERTRU,159412
0101,3577,1430,69,15,24,G20PRERTRU,159412
0203,4789,1291,74,15,14,G20PRERTRU,159412
0201,1033,1107,32,12,8,G20PRERTRU,159412
0202,2453,2028,82,12,14,G20PRERTRU,159412
0209,2543,3129,120,25,25,G20PRERTRU,159412
0160,1389,2109,69,15,15,G20PRERTRU,159412
0152,545,1272,40,9,13,G20PRERTRU,159412
0146,1025,2711,87,18,12,G20PRERTRU,159412
0429,418,644,19,4,3,G20PRERTRU,159412
0456,519,619,24,4,2,G20PRERTRU,159412
0428,1420,923,34,7,2,G20PRERTRU,159412
0427,1132,865,32,8,5,G20PRERTRU,159412
0182,1728,1720,40,10,7,G20PRERTRU,159412
0147,830,2063,49,7,12,G20PRERTRU,159412
0186,753,1473,28,5,12,G20PRERTRU,159412
0198,1316,2097,62,5,21,G20PRERTRU,159412
0140,737,1052,30,1,5,G20PRERTRU,159412
0331,1700,1655,49,11,17,G20PRERTRU,159412
0278,1669,2225,80,15,16,G20PRERTRU,159412
0309,925,356,18,3,12,G20PRERTRU,159412
0344,3404,1923,82,7,13,G20PRERTRU,159412
0216,873,1076,52,5,3,G20PRERTRU,159412
0305,2527,1138,46,6,4,G20PRERTRU,159412
0266,1470,2039,51,11,12,G20PRERTRU,159412
0423,1202,1771,69,10,7,G20PRERTRU,159412
0283,1689,2097,77,16,14,G20PRERTRU,159412
0254,1354,1447,59,7,10,G20PRERTRU,159412
0333,1498,1648,51,5,15,G20PRERTRU,159412
0491,1825,2575,96,16,16,G20PRERTRU,159412
0488,1152,1298,52,2,15,G20PRERTRU,159412
0379,2500,1231,61,7,8,G20PRERTRU,159412
0342,304,402,12,3,2,G20PRERTRU,159412
0343,2337,1895,72,15,14,G20PRERTRU,159412
0368,1736,1984,80,16,9,G20PRERTRU,159412
0395,2179,900,49,5,10,G20PRERTRU,159412
0396,2692,1503,20,3,13,G20PRERTRU,159412
0420,3119,3816,162,20,12,G20PRERTRU,159412
0312,2829,1464,78,10,15,G20PRERTRU,159412
0480,1531,2677,75,15,15,G20PRERTRU,159412
0189,791,1464,24,4,9,G20PRERTRU,159412
0204,1811,2264,76,12,22,G20PRERTRU,159412
0264,2381,1968,80,19,18,G20PRERTRU,159412
0332,1937,1745,55,8,12,G20PRERTRU,159412
0392,2842,1598,71,9,3,G20PRERTRU,159412
0381,1823,1098,10,1,2,G20PRERTRU,159412
0394,2200,1324,15,3,7,G20PRERTRU,159412
0424,1667,1444,35,4,12,G20PRERTRU,159412
0403,1075,1258,51,12,8,G20PRERTRU,159412
0402,2263,2744,119,22,13,G20PRERTRU,159412
0201,2147,3230,75,13,16,G20PRERTRU,159412
0119,1272,1589,58,11,10,G20PRERTRU,159412
0122,962,1326,44,3,19,G20PRERTRU,159412
0190,1876,2097,89,9,16,G20PRERTRU,159412
0150,638,1142,28,13,5,G20PRERTRU,159412
0145,665,1272,51,7,4,G20PRERTRU,159412
0330,1556,1692,69,10,11,G20PRERTRU,159412
0172,841,1064,41,5,6,G20PRERTRU,159412
0267,3482,2503,137,16,25,G20PRERTRU,159412
0202,846,826,33,1,3,G20PRERTRU,159412
0345,2116,1092,40,1,11,G20PRERTRU,159412
0393,1305,692,12,5,3,G20PRERTRU,159412
