GEOID20,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,Winner,Winner Votes
17093OS0337,487,252,12,4,1,1,G20PREDBID,259546
17093OS0338,617,338,6,4,2,1,G20PREDBID,259546
17093OS0339,615,301,8,7,1,2,G20PREDBID,259546
17093BR0204,405,356,3,8,1,0,G20PREDBID,259546
17093BR0215,653,483,16,10,0,0,G20PREDBID,259546
17093BR0212,607,290,15,4,1,3,G20PREDBID,259546
17093BR0214,518,302,12,4,3,2,G20PREDBID,259546
17093BR0211,643,352,12,1,2,1,G20PREDBID,259546
17093BR0216,621,323,21,6,2,0,G20PREDBID,259546
17093NA0601,352,524,8,3,1,1,G20PREDBID,259546
17093NA0604,471,328,7,4,1,1,G20PREDBID,259546
17093NA0602,946,666,20,9,1,3,G20PREDBID,259546
17093NA0603,505,287,7,3,2,0,G20PREDBID,259546
17093NA0605,438,289,13,3,5,0,G20PREDBID,259546
17093SE0901,357,537,11,6,0,0,G20PREDBID,259546
17093SE0902,382,407,8,1,2,0,G20PREDBID,259546
17093SE0903,630,467,14,7,4,0,G20PREDBID,259546
17093OS0329,564,326,10,8,1,2,G20PREDBID,259546
17093OS0314,175,112,4,4,0,0,G20PREDBID,259546
17093OS0307,369,279,5,4,0,1,G20PREDBID,259546
17093OS0308,446,312,8,7,0,2,G20PREDBID,259546
17093OS0306,162,177,5,1,1,1,G20PREDBID,259546
17093OS0309,391,339,11,5,2,0,G20PREDBID,259546
17093OS0318,202,167,4,0,0,2,G20PREDBID,259546
17093OS0324,446,289,7,4,0,1,G20PREDBID,259546
17093OS0323,312,201,16,3,2,1,G20PREDBID,259546
17093OS0327,194,273,1,3,0,1,G20PREDBID,259546
17093OS0334,361,253,3,2,1,1,G20PREDBID,259546
17093OS0301,174,138,4,0,1,0,G20PREDBID,259546
17093OS0315,313,193,6,3,2,1,G20PREDBID,259546
17093OS0310,202,290,4,4,2,0,G20PREDBID,259546
17093OS0305,200,134,7,0,3,1,G20PREDBID,259546
17093OS0319,333,240,10,2,0,1,G20PREDBID,259546
17093OS0313,362,299,8,1,0,0,G20PREDBID,259546
17093OS0312,213,141,3,3,0,0,G20PREDBID,259546
17093OS0330,583,364,7,5,2,1,G20PREDBID,259546
17093OS0332,286,235,4,4,0,0,G20PREDBID,259546
17093OS0304,551,379,24,7,1,1,G20PREDBID,259546
17093OS0333,741,425,24,4,2,0,G20PREDBID,259546
1719700DU11,771,261,13,9,2,2,G20PREDBID,259546
1719700DU21,783,314,11,6,3,3,G20PREDBID,259546
1719700DU05,579,318,6,6,0,2,G20PREDBID,259546
1719700DU10,950,270,21,8,2,4,G20PREDBID,259546
1719700DU12,659,304,10,4,2,1,G20PREDBID,259546
1719700DU31,425,242,5,4,2,3,G20PREDBID,259546
1719700DU33,660,440,6,6,1,1,G20PREDBID,259546
1719700DU02,769,456,15,7,4,0,G20PREDBID,259546
1719700DU24,665,261,8,3,2,3,G20PREDBID,259546
1719700DU18,749,291,12,11,2,4,G20PREDBID,259546
1719700DU17,938,330,12,4,2,2,G20PREDBID,259546
1719700DU20,672,213,11,4,0,4,G20PREDBID,259546
1719700DU08,735,234,11,4,2,5,G20PREDBID,259546
1719700DU29,926,404,16,9,0,2,G20PREDBID,259546
1719700DU09,639,304,12,7,3,0,G20PREDBID,259546
1719700DU13,912,375,16,7,1,1,G20PREDBID,259546
1719700DU23,1128,375,12,7,3,2,G20PREDBID,259546
1719700DU16,810,301,21,5,0,2,G20PREDBID,259546
1719700DU14,777,373,15,4,1,1,G20PREDBID,259546
1719700HO18,636,837,20,7,2,0,G20PREDBID,259546
1719700HO17,418,834,12,2,1,0,G20PREDBID,259546
1719700TR09,514,444,6,3,1,3,G20PREDBID,259546
1719700TR16,684,437,11,2,2,0,G20PREDBID,259546
1719700TR21,478,733,17,7,3,0,G20PREDBID,259546
1719700TR10,481,572,7,3,5,0,G20PREDBID,259546
1719700TR04,477,525,16,10,1,0,G20PREDBID,259546
1719700TR15,556,582,16,4,1,0,G20PREDBID,259546
1719700TR11,593,736,15,7,3,0,G20PREDBID,259546
1719700TR13,920,907,14,4,1,0,G20PREDBID,259546
1719700TR14,509,585,20,5,2,0,G20PREDBID,259546
1719700WH06,616,477,15,4,4,1,G20PREDBID,259546
1719700WH09,825,489,13,4,2,1,G20PREDBID,259546
1719700WH26,835,798,17,7,2,2,G20PREDBID,259546
1719700WH07,678,428,18,1,2,0,G20PREDBID,259546
1719700WH08,725,445,12,5,1,0,G20PREDBID,259546
1719700WH02,1050,686,16,3,1,1,G20PREDBID,259546
1719700WH03,837,551,12,2,0,1,G20PREDBID,259546
1719700WH15,793,411,16,10,3,2,G20PREDBID,259546
1719700WH14,793,481,21,7,3,0,G20PREDBID,259546
1719700WH19,720,290,7,5,4,0,G20PREDBID,259546
1719700WH27,1159,516,14,4,2,0,G20PREDBID,259546
1719700PL11,356,177,3,1,1,1,G20PREDBID,259546
1719700JA02,372,682,12,6,1,3,G20PREDBID,259546
1719700TR12,543,466,9,6,0,2,G20PREDBID,259546
1719700JO37,502,251,5,3,1,0,G20PREDBID,259546
1719700JO08,536,351,5,2,0,1,G20PREDBID,259546
1719700JO24,541,216,4,5,0,0,G20PREDBID,259546
1719700JO33,412,347,6,4,2,1,G20PREDBID,259546
1719700JO03,356,282,9,10,1,0,G20PREDBID,259546
1719700JO34,591,69,2,1,1,1,G20PREDBID,259546
1719700JO11,551,272,7,7,0,1,G20PREDBID,259546
1719700JO29,541,215,6,3,0,0,G20PREDBID,259546
