PRECINCT_N,G16PRERTRU,G16PREDCLI,G16PRELJOH,Winner,Winner Votes
BERKSHIRE Q,587,468,56,G16PRERTRU,222058
BERKSHIRE P,285,416,19,G16PRERTRU,222058
BERKSHIRE M,605,461,50,G16PRERTRU,222058
PINCKNEYVILLE Q,128,762,30,G16PRERTRU,222058
BERKSHIRE L,397,1174,59,G16PRERTRU,222058
MARTINS F,308,917,45,G16PRERTRU,222058
BERKSHIRE F,410,628,39,G16PRERTRU,222058
BERKSHIRE O,986,663,64,G16PRERTRU,222058
MARTINS C,611,818,55,G16PRERTRU,222058
MARTINS D,163,803,26,G16PRERTRU,222058
PINCKNEYVILLE P,592,673,61,G16PRERTRU,222058
PINCKNEYVILLE A1,1160,719,93,G16PRERTRU,222058
PINCKNEYVILLE C,613,623,51,G16PRERTRU,222058
PINCKNEYVILLE Z,861,481,76,G16PRERTRU,222058
PINCKNEYVILLE L,1040,622,107,G16PRERTRU,222058
PINCKNEYVILLE M,1124,650,75,G16PRERTRU,222058
PINCKNEYVILLE B,365,1125,67,G16PRERTRU,222058
PINCKNEYVILLE J,172,975,30,G16PRERTRU,222058
PINCKNEYVILLE W,859,1250,97,G16PRERTRU,222058
PINCKNEYVILLE A,239,992,58,G16PRERTRU,222058
PINCKNEYVILLE S,586,1007,72,G16PRERTRU,222058
CATES H,683,1307,54,G16PRERTRU,222058
CATES F,789,403,59,G16PRERTRU,222058
CATES G,1217,644,75,G16PRERTRU,222058
CATES B,679,371,78,G16PRERTRU,222058
CATES K,932,627,102,G16PRERTRU,222058
MARTINS K,614,2107,82,G16PRERTRU,222058
MARTINS H,821,1594,67,G16PRERTRU,222058
DULUTH B,1018,867,81,G16PRERTRU,222058
DULUTH G,971,761,66,G16PRERTRU,222058
MARTINS E,294,2197,66,G16PRERTRU,222058
DULUTH F,581,1867,78,G16PRERTRU,222058
DULUTH I,1508,1216,59,G16PRERTRU,222058
GOODWINS C,1034,1765,106,G16PRERTRU,222058
GOODWINS E,1506,1479,148,G16PRERTRU,222058
MARTINS G,339,863,57,G16PRERTRU,222058
GOODWINS G,433,936,47,G16PRERTRU,222058
GOODWINS I,895,731,78,G16PRERTRU,222058
GOODWINS A,940,1215,99,G16PRERTRU,222058
GOODWINS H,794,816,88,G16PRERTRU,222058
GOODWINS D,1165,1165,147,G16PRERTRU,222058
LAWRENCEVILLE L,1189,1601,105,G16PRERTRU,222058
LAWRENCEVILLE E,821,633,58,G16PRERTRU,222058
LAWRENCEVILLE N,563,652,67,G16PRERTRU,222058
LAWRENCEVILLE B,926,1754,71,G16PRERTRU,222058
BAYCREEK K,1158,1111,54,G16PRERTRU,222058
LAWRENCEVILLE A,891,1052,70,G16PRERTRU,222058
07 CUMMING,1361,438,71,G16PRERTRU,222058
08 MASHBURN,4231,1174,235,G16PRERTRU,222058
SUGAR HILL F,1381,873,132,G16PRERTRU,222058
29 POLO,6131,2440,383,G16PRERTRU,222058
15 HEARDSVILLE,4097,779,231,G16PRERTRU,222058
16 OTWELL,5594,1450,318,G16PRERTRU,222058
05 COAL MOUNTAIN,2772,666,142,G16PRERTRU,222058
035 Cates D - 04,181,191,12,G16PRERTRU,222058
CATES D,915,740,53,G16PRERTRU,222058
OAKCLIFF ELEM,239,702,42,G16PRERTRU,222058
DORAVILLE NORTH (DOR),380,1080,66,G16PRERTRU,222058
PINCKNEYVILLE N,318,1412,72,G16PRERTRU,222058
PINCKNEYVILLE F,295,698,28,G16PRERTRU,222058
PINCKNEYVILLE E,200,770,46,G16PRERTRU,222058
PINCKNEYVILLE U,462,711,68,G16PRERTRU,222058
PINCKNEYVILLE O,350,1340,59,G16PRERTRU,222058
WINTERS CHAPEL (DUN),486,512,57,G16PRERTRU,222058
NORTH PEACHTREE (DUN),334,701,54,G16PRERTRU,222058
PLEASANTDALE ROAD,329,1670,54,G16PRERTRU,222058
