SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
69125,0,0,0,0,0,0,G20PRERTRU,278469
50105,0,0,0,0,0,0,G20PRERTRU,278469
28206,0,0,0,0,0,0,G20PRERTRU,278469
65071,0,0,0,0,0,0,G20PRERTRU,278469
70127,0,0,0,0,0,0,G20PRERTRU,278469
65053,0,0,0,0,0,0,G20PRERTRU,278469
69123,1,1,0,0,0,0,G20PRERTRU,278469
65083,0,0,0,0,0,0,G20PRERTRU,278469
70085,0,0,0,0,0,0,G20PRERTRU,278469
2108,1,1,0,0,0,0,G20PRERTRU,278469
70111,0,0,0,0,0,0,G20PRERTRU,278469
70080,0,0,0,0,0,0,G20PRERTRU,278469
70089,147,156,6,3,0,1,G20PRERTRU,278469
50085,0,3,0,0,0,0,G20PRERTRU,278469
69124,5,12,0,0,0,0,G20PRERTRU,278469
32323,0,0,0,0,0,0,G20PRERTRU,278469
33134,1,1,0,0,0,0,G20PRERTRU,278469
22861,0,0,0,0,0,0,G20PRERTRU,278469
23026,0,0,0,0,0,0,G20PRERTRU,278469
52222,0,4,0,0,0,0,G20PRERTRU,278469
12849,0,0,0,0,0,0,G20PRERTRU,278469
32115,0,0,0,0,0,0,G20PRERTRU,278469
52221,5,2,1,0,0,0,G20PRERTRU,278469
11536,0,3,0,0,0,0,G20PRERTRU,278469
11625,5,11,0,0,0,0,G20PRERTRU,278469
15865,0,0,0,0,0,0,G20PRERTRU,278469
30990,0,0,0,0,0,0,G20PRERTRU,278469
32325,0,0,0,0,0,0,G20PRERTRU,278469
30940,0,0,0,0,0,0,G20PRERTRU,278469
12921,0,1,0,0,0,0,G20PRERTRU,278469
32222,0,0,0,0,0,0,G20PRERTRU,278469
30948,0,2,0,0,0,0,G20PRERTRU,278469
33400,0,0,0,0,0,0,G20PRERTRU,278469
22854,0,1,0,0,0,0,G20PRERTRU,278469
32320,1,2,0,0,0,0,G20PRERTRU,278469
32422,0,0,0,0,0,0,G20PRERTRU,278469
30947,1,3,0,0,0,0,G20PRERTRU,278469
38904,0,0,0,0,0,0,G20PRERTRU,278469
22851,36,13,0,0,0,0,G20PRERTRU,278469
12657,0,0,0,0,0,0,G20PRERTRU,278469
32423,0,0,0,0,0,0,G20PRERTRU,278469
30958,0,3,0,0,0,0,G20PRERTRU,278469
22873,0,3,0,0,0,0,G20PRERTRU,278469
22872,0,0,0,0,0,0,G20PRERTRU,278469
12508,0,0,0,0,0,0,G20PRERTRU,278469
30935,1,6,0,0,0,0,G20PRERTRU,278469
30929,3,3,0,0,0,0,G20PRERTRU,278469
52336,57,75,0,0,0,0,G20PRERTRU,278469
52339,0,0,0,0,0,0,G20PRERTRU,278469
30938,1,5,0,0,0,0,G20PRERTRU,278469
38908,3,3,0,0,0,0,G20PRERTRU,278469
35622,0,1,0,0,0,0,G20PRERTRU,278469
22926,0,0,0,0,0,0,G20PRERTRU,278469
12318,51,69,0,0,1,0,G20PRERTRU,278469
52332,4,32,0,0,0,0,G20PRERTRU,278469
37723,0,2,0,0,0,0,G20PRERTRU,278469
12919,0,3,0,0,0,0,G20PRERTRU,278469
11721,0,0,0,0,0,0,G20PRERTRU,278469
30946,3,3,0,0,0,0,G20PRERTRU,278469
35620,0,0,0,0,0,0,G20PRERTRU,278469
12649,14,15,1,0,0,0,G20PRERTRU,278469
38915,3,4,0,0,0,0,G20PRERTRU,278469
30986,2,6,0,0,0,0,G20PRERTRU,278469
35616,2,2,0,0,0,0,G20PRERTRU,278469
30937,1,4,0,0,0,0,G20PRERTRU,278469
24806,0,0,0,0,0,0,G20PRERTRU,278469
31305,0,0,0,0,0,0,G20PRERTRU,278469
54002,0,0,0,0,0,0,G20PRERTRU,278469
24833,0,0,0,0,0,0,G20PRERTRU,278469
52881,0,0,0,0,0,0,G20PRERTRU,278469
30951,0,0,0,0,0,0,G20PRERTRU,278469
30928,0,1,0,0,0,0,G20PRERTRU,278469
52301,0,0,0,0,0,0,G20PRERTRU,278469
20102,0,0,0,0,0,0,G20PRERTRU,278469
37665,62,52,2,0,1,0,G20PRERTRU,278469
30949,1,5,0,0,0,0,G20PRERTRU,278469
52883,0,0,0,0,0,0,G20PRERTRU,278469
30953,3,5,0,0,0,0,G20PRERTRU,278469
12500,0,0,0,0,0,0,G20PRERTRU,278469
20800,0,0,0,0,0,0,G20PRERTRU,278469
37948,0,0,0,0,0,0,G20PRERTRU,278469
22868,145,70,8,1,2,2,G20PRERTRU,278469
35605,147,185,6,0,1,0,G20PRERTRU,278469
22925,64,113,2,0,0,0,G20PRERTRU,278469
24805,12,33,0,0,0,0,G20PRERTRU,278469
12850,9,12,0,0,0,0,G20PRERTRU,278469
24826,187,102,8,0,0,1,G20PRERTRU,278469
25414,308,222,6,1,3,2,G20PRERTRU,278469
30984,0,0,0,0,0,0,G20PRERTRU,278469
12920,0,0,0,0,0,0,G20PRERTRU,278469
11623,191,284,3,0,1,2,G20PRERTRU,278469
30927,0,1,0,0,0,0,G20PRERTRU,278469
14209,11,17,0,0,0,0,G20PRERTRU,278469
12206,0,0,0,0,0,0,G20PRERTRU,278469
15842,1,0,0,0,0,0,G20PRERTRU,278469
30985,2,15,0,0,0,0,G20PRERTRU,278469
38905,9,17,0,0,0,0,G20PRERTRU,278469
30974,0,0,0,0,0,0,G20PRERTRU,278469
37753,0,0,0,0,0,0,G20PRERTRU,278469
37631,15,22,0,0,0,0,G20PRERTRU,278469
56922,0,0,0,0,0,0,G20PRERTRU,278469
52337,104,161,3,0,2,1,G20PRERTRU,278469
37748,0,0,0,0,0,0,G20PRERTRU,278469
31200,0,0,0,0,0,0,G20PRERTRU,278469
50916,0,0,0,0,0,0,G20PRERTRU,278469
37957,0,0,0,0,0,0,G20PRERTRU,278469
30968,1,7,0,0,0,0,G20PRERTRU,278469
52202,213,297,5,2,3,1,G20PRERTRU,278469
37610,53,82,0,0,0,0,G20PRERTRU,278469
14910,7,21,1,0,0,0,G20PRERTRU,278469
52224,7,11,1,0,0,0,G20PRERTRU,278469
25209,389,187,16,1,4,5,G20PRERTRU,278469
35609,421,462,15,3,2,6,G20PRERTRU,278469
35607,0,0,0,0,0,0,G20PRERTRU,278469
13007,168,505,4,1,2,0,G20PRERTRU,278469
12109,128,168,2,1,3,1,G20PRERTRU,278469
52885,0,0,0,0,0,0,G20PRERTRU,278469
33105,0,0,0,0,0,0,G20PRERTRU,278469
22930,327,362,8,5,3,1,G20PRERTRU,278469
22923,0,0,0,0,0,0,G20PRERTRU,278469
37971,0,0,0,0,0,0,G20PRERTRU,278469
37659,3,8,0,0,0,0,G20PRERTRU,278469
25524,0,0,0,0,0,0,G20PRERTRU,278469
30924,8,37,1,0,0,0,G20PRERTRU,278469
30973,3,0,0,0,0,0,G20PRERTRU,278469
33408,420,499,15,1,1,2,G20PRERTRU,278469
30930,8,14,0,0,0,0,G20PRERTRU,278469
12509,336,333,5,2,2,2,G20PRERTRU,278469
52123,343,440,3,1,1,1,G20PRERTRU,278469
