PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
1366,0,0,0,0,0,G20PRERTRU,157026
4595,29,17,0,0,0,G20PRERTRU,157026
4615,0,0,0,0,0,G20PRERTRU,157026
4640,176,276,11,1,0,G20PRERTRU,157026
4042,464,296,4,7,1,G20PRERTRU,157026
0135,1063,212,17,3,0,G20PRERTRU,157026
0130,2040,377,26,3,1,G20PRERTRU,157026
0115,1589,340,23,6,1,G20PRERTRU,157026
0230,987,194,15,1,0,G20PRERTRU,157026
0205,941,290,33,4,0,G20PRERTRU,157026
0235,762,98,6,6,0,G20PRERTRU,157026
0215,2374,363,20,3,1,G20PRERTRU,157026
4086,1268,739,23,2,3,G20PRERTRU,157026
4243,669,546,19,4,2,G20PRERTRU,157026
0100,2511,661,29,9,1,G20PRERTRU,157026
0105,1367,265,20,5,0,G20PRERTRU,157026
0111,799,174,9,6,0,G20PRERTRU,157026
0400,2002,496,26,4,0,G20PRERTRU,157026
0110,1007,255,19,3,1,G20PRERTRU,157026
0250,915,172,17,1,0,G20PRERTRU,157026
0245,866,145,9,2,0,G20PRERTRU,157026
0200,864,238,14,1,0,G20PRERTRU,157026
0300,900,340,23,2,0,G20PRERTRU,157026
0350,1731,245,21,9,1,G20PRERTRU,157026
0335,2923,285,32,0,0,G20PRERTRU,157026
0405,2185,499,35,7,1,G20PRERTRU,157026
0410,1313,336,17,2,2,G20PRERTRU,157026
0435,1856,489,33,5,5,G20PRERTRU,157026
1081,292,197,6,1,0,G20PRERTRU,157026
4016,537,650,19,2,1,G20PRERTRU,157026
1094,376,746,16,3,0,G20PRERTRU,157026
1076,310,537,14,2,2,G20PRERTRU,157026
1296,1067,967,23,4,1,G20PRERTRU,157026
4121,943,685,32,7,0,G20PRERTRU,157026
4290,886,672,27,13,2,G20PRERTRU,157026
0120,1323,234,22,4,0,G20PRERTRU,157026
4128,1247,707,27,14,1,G20PRERTRU,157026
4020,589,406,13,11,1,G20PRERTRU,157026
4178,1204,1043,31,6,2,G20PRERTRU,157026
4144,720,458,20,0,1,G20PRERTRU,157026
4113,158,84,6,2,0,G20PRERTRU,157026
4252,387,374,11,2,0,G20PRERTRU,157026
0310,834,319,17,3,0,G20PRERTRU,157026
0325,1241,213,7,3,0,G20PRERTRU,157026
0445,1352,274,16,1,0,G20PRERTRU,157026
0450,1568,442,23,3,3,G20PRERTRU,157026
1674,0,0,0,0,0,G20PRERTRU,157026
1678,2,1,0,0,0,G20PRERTRU,157026
1676,69,113,5,3,0,G20PRERTRU,157026
1677,47,120,2,1,0,G20PRERTRU,157026
1684,140,186,5,0,1,G20PRERTRU,157026
0440,2637,541,40,3,0,G20PRERTRU,157026
0430,1762,504,37,3,2,G20PRERTRU,157026
4629,0,0,0,0,0,G20PRERTRU,157026
3215,1194,563,17,4,0,G20PRERTRU,157026
4399,85,33,5,0,0,G20PRERTRU,157026
0315,2232,549,50,9,1,G20PRERTRU,157026
4239,55,30,0,0,0,G20PRERTRU,157026
1633,13,11,0,0,0,G20PRERTRU,157026
4683,0,0,0,0,0,G20PRERTRU,157026
4130,1176,865,27,6,0,G20PRERTRU,157026
1120,112,1485,11,5,1,G20PRERTRU,157026
1167,482,607,28,3,0,G20PRERTRU,157026
1142,449,479,19,4,1,G20PRERTRU,157026
1241,52,120,0,1,0,G20PRERTRU,157026
4253,212,320,16,0,0,G20PRERTRU,157026
1257,338,714,13,5,0,G20PRERTRU,157026
4620,10,19,0,0,0,G20PRERTRU,157026
4373,113,44,4,0,1,G20PRERTRU,157026
4136,725,836,21,7,2,G20PRERTRU,157026
4242,348,145,1,0,0,G20PRERTRU,157026
1095,364,290,10,2,0,G20PRERTRU,157026
4572,7,17,0,1,0,G20PRERTRU,157026
3406,0,0,0,0,0,G20PRERTRU,157026
4344,702,474,15,2,1,G20PRERTRU,157026
4285,201,276,4,4,0,G20PRERTRU,157026
1339,1066,1003,25,5,3,G20PRERTRU,157026
1021,1388,782,38,5,1,G20PRERTRU,157026
1423,1400,795,15,0,1,G20PRERTRU,157026
1264,647,655,19,3,2,G20PRERTRU,157026
1022,439,435,17,2,3,G20PRERTRU,157026
4070,805,841,27,6,6,G20PRERTRU,157026
4230,1428,1327,43,2,2,G20PRERTRU,157026
4115,400,129,1,2,0,G20PRERTRU,157026
4343,1112,763,18,4,0,G20PRERTRU,157026
1071,465,1051,32,13,0,G20PRERTRU,157026
1377,1300,1560,27,8,3,G20PRERTRU,157026
4400,117,88,4,4,0,G20PRERTRU,157026
4456,516,347,21,0,0,G20PRERTRU,157026
4328,518,411,16,3,0,G20PRERTRU,157026
1472,96,55,3,0,1,G20PRERTRU,157026
4179,349,521,16,3,0,G20PRERTRU,157026
4203,512,808,18,6,2,G20PRERTRU,157026
4458,4,3,0,0,0,G20PRERTRU,157026
3325,537,241,14,3,0,G20PRERTRU,157026
3289,1233,682,25,12,0,G20PRERTRU,157026
4340,1216,443,19,6,0,G20PRERTRU,157026
1009,585,423,16,4,0,G20PRERTRU,157026
4259,651,223,10,3,1,G20PRERTRU,157026
4065,2244,740,31,6,0,G20PRERTRU,157026
4182,1236,1128,29,6,0,G20PRERTRU,157026
4272,277,166,8,1,0,G20PRERTRU,157026
4118,379,547,19,2,0,G20PRERTRU,157026
4276,892,718,28,10,0,G20PRERTRU,157026
4342,1001,779,49,3,2,G20PRERTRU,157026
4129,542,378,13,2,2,G20PRERTRU,157026
4498,301,181,4,0,0,G20PRERTRU,157026
4284,162,42,2,0,0,G20PRERTRU,157026
1001,585,722,16,5,1,G20PRERTRU,157026
0255,1081,265,17,5,0,G20PRERTRU,157026
0305,1571,395,29,8,2,G20PRERTRU,157026
0425,933,206,8,2,0,G20PRERTRU,157026
0240,1099,132,12,2,2,G20PRERTRU,157026
4091,1156,578,22,2,0,G20PRERTRU,157026
4045,1448,574,28,6,0,G20PRERTRU,157026
4528,1492,1226,52,5,0,G20PRERTRU,157026
4374,845,734,27,7,0,G20PRERTRU,157026
4694,2128,1523,63,10,2,G20PRERTRU,157026
3140,859,468,21,6,0,G20PRERTRU,157026
3324,1055,653,31,8,0,G20PRERTRU,157026
4711,868,720,12,5,0,G20PRERTRU,157026
4222,357,339,10,2,0,G20PRERTRU,157026
4338,1619,1331,37,10,0,G20PRERTRU,157026
4508,1558,1316,48,5,2,G20PRERTRU,157026
4452,1141,1226,24,7,4,G20PRERTRU,157026
4540,1148,1010,29,10,0,G20PRERTRU,157026
4638,1226,1040,39,6,1,G20PRERTRU,157026
4591,1134,1040,37,9,1,G20PRERTRU,157026
1015,232,480,16,2,0,G20PRERTRU,157026
4057,270,351,6,3,0,G20PRERTRU,157026
1376,4,12,1,1,0,G20PRERTRU,157026
4634,359,503,16,4,0,G20PRERTRU,157026
4350,413,667,17,2,5,G20PRERTRU,157026
4116,846,855,18,2,0,G20PRERTRU,157026
4496,131,281,6,4,0,G20PRERTRU,157026
3637,848,847,21,10,1,G20PRERTRU,157026
4705,851,848,27,6,0,G20PRERTRU,157026
1119,808,1732,35,9,0,G20PRERTRU,157026
1718,346,502,9,5,0,G20PRERTRU,157026
1723,434,861,15,4,0,G20PRERTRU,157026
1424,7,1,0,0,0,G20PRERTRU,157026
1207,724,1003,30,9,6,G20PRERTRU,157026
1186,399,263,2,1,0,G20PRERTRU,157026
3567,2624,1057,36,6,0,G20PRERTRU,157026
4371,1660,440,18,1,1,G20PRERTRU,157026
4044,1953,922,34,4,1,G20PRERTRU,157026
4532,726,216,6,5,0,G20PRERTRU,157026
4046,2419,705,64,10,2,G20PRERTRU,157026
4395,359,72,2,1,0,G20PRERTRU,157026
4047,1984,476,24,5,3,G20PRERTRU,157026
4724,600,137,8,0,0,G20PRERTRU,157026
4713,1182,1004,35,5,1,G20PRERTRU,157026
0415,2188,810,48,4,1,G20PRERTRU,157026
4369,1734,981,53,10,3,G20PRERTRU,157026
4497,552,1060,20,6,1,G20PRERTRU,157026
4135,470,430,25,4,0,G20PRERTRU,157026
4069,1068,392,12,1,0,G20PRERTRU,157026
4534,1649,1159,57,3,1,G20PRERTRU,157026
4204,1413,980,31,9,2,G20PRERTRU,157026
1719,1302,741,41,4,1,G20PRERTRU,157026
4480,524,249,10,0,1,G20PRERTRU,157026
1111,1939,715,40,3,0,G20PRERTRU,157026
1208,1084,529,24,3,2,G20PRERTRU,157026
1337,1239,676,24,3,1,G20PRERTRU,157026
4630,0,0,0,0,0,G20PRERTRU,157026
1206,1276,704,34,5,1,G20PRERTRU,157026
4375,1447,677,26,4,0,G20PRERTRU,157026
4551,1586,1199,39,9,3,G20PRERTRU,157026
4454,1258,721,27,9,0,G20PRERTRU,157026
4429,975,754,28,6,3,G20PRERTRU,157026
4053,568,318,7,7,1,G20PRERTRU,157026
4702,697,520,18,5,0,G20PRERTRU,157026
4649,1493,800,34,6,0,G20PRERTRU,157026
4531,1340,724,33,5,2,G20PRERTRU,157026
4232,1313,1128,48,10,1,G20PRERTRU,157026
4707,449,576,24,1,0,G20PRERTRU,157026
