PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
3030,1203,809,31,6,2,G20PRERTRU,180421
4024,1559,944,29,6,6,G20PRERTRU,180421
4023,1995,1038,27,6,1,G20PRERTRU,180421
3031,1679,1064,29,4,0,G20PRERTRU,180421
2030,1803,2115,51,8,4,G20PRERTRU,180421
3001,1929,945,39,9,2,G20PRERTRU,180421
3000,1859,1166,47,7,1,G20PRERTRU,180421
1024,1274,479,19,3,0,G20PRERTRU,180421
4032,2887,1389,59,5,6,G20PRERTRU,180421
4028,2520,1137,51,4,0,G20PRERTRU,180421
4008,305,899,21,14,4,G20PRERTRU,180421
4007,511,1331,34,17,4,G20PRERTRU,180421
4022,1496,579,19,4,3,G20PRERTRU,180421
4025,1551,1315,32,6,1,G20PRERTRU,180421
2026,1592,1197,56,6,0,G20PRERTRU,180421
4015,158,368,6,4,0,G20PRERTRU,180421
1015,1115,975,39,6,3,G20PRERTRU,180421
3021,1725,1887,30,8,2,G20PRERTRU,180421
3017,683,1744,29,16,4,G20PRERTRU,180421
2028,1316,1562,73,7,7,G20PRERTRU,180421
1032,2358,1955,40,6,0,G20PRERTRU,180421
3646,1401,1015,54,9,2,G20PRERTRU,180421
2032,998,992,22,4,3,G20PRERTRU,180421
4019,143,47,0,0,0,G20PRERTRU,180421
4020,593,218,5,0,0,G20PRERTRU,180421
4021,1128,351,13,1,0,G20PRERTRU,180421
1037,526,184,8,5,1,G20PRERTRU,180421
4039,179,1116,26,12,3,G20PRERTRU,180421
4043,1820,820,20,5,7,G20PRERTRU,180421
1042,128,24,3,1,0,G20PRERTRU,180421
1047,306,195,4,1,0,G20PRERTRU,180421
1048,429,201,2,4,1,G20PRERTRU,180421
3033,1198,925,26,5,0,G20PRERTRU,180421
4044,2183,915,57,5,0,G20PRERTRU,180421
4045,353,2100,56,17,2,G20PRERTRU,180421
4046,1989,1004,34,3,4,G20PRERTRU,180421
1018,2056,1771,70,11,9,G20PRERTRU,180421
1019,1040,1026,37,2,1,G20PRERTRU,180421
1046,1799,1541,47,9,3,G20PRERTRU,180421
1016,1521,1142,30,11,2,G20PRERTRU,180421
4018,1267,581,30,2,1,G20PRERTRU,180421
3471,1014,479,20,4,1,G20PRERTRU,180421
3072,1500,608,31,6,2,G20PRERTRU,180421
3054,1657,1038,36,7,0,G20PRERTRU,180421
3287,1173,712,25,7,3,G20PRERTRU,180421
3240,1344,927,29,5,2,G20PRERTRU,180421
3648,1693,1149,39,8,0,G20PRERTRU,180421
4016,1,0,0,0,0,G20PRERTRU,180421
3671,408,179,7,1,0,G20PRERTRU,180421
1017,606,435,10,5,0,G20PRERTRU,180421
3696,1753,1242,53,7,2,G20PRERTRU,180421
3367,860,470,23,3,0,G20PRERTRU,180421
3398,736,451,17,3,0,G20PRERTRU,180421
3509,899,603,32,6,0,G20PRERTRU,180421
3422,1265,687,20,3,2,G20PRERTRU,180421
3709,621,426,20,1,3,G20PRERTRU,180421
3372,1627,1066,58,10,1,G20PRERTRU,180421
3486,1789,1210,45,13,2,G20PRERTRU,180421
3040,1606,794,37,7,1,G20PRERTRU,180421
1008,754,270,13,1,0,G20PRERTRU,180421
4000,2636,948,61,8,2,G20PRERTRU,180421
1009,1047,1211,41,7,0,G20PRERTRU,180421
1053,1693,600,44,9,0,G20PRERTRU,180421
2029,900,1066,24,8,1,G20PRERTRU,180421
1040,1371,924,29,6,1,G20PRERTRU,180421
2031,1462,1595,38,10,3,G20PRERTRU,180421
1029,1456,1375,33,5,2,G20PRERTRU,180421
1055,577,656,9,3,0,G20PRERTRU,180421
1033,1822,2164,38,7,3,G20PRERTRU,180421
2027,2194,1541,44,9,5,G20PRERTRU,180421
1054,840,1400,25,8,1,G20PRERTRU,180421
1004,1671,1594,41,8,7,G20PRERTRU,180421
1041,2182,2296,46,10,0,G20PRERTRU,180421
1027,671,823,12,1,0,G20PRERTRU,180421
1026,1164,1521,40,3,0,G20PRERTRU,180421
1028,934,1199,30,3,0,G20PRERTRU,180421
2025,870,750,28,8,0,G20PRERTRU,180421
1056,737,701,9,3,0,G20PRERTRU,180421
2024,819,770,33,8,0,G20PRERTRU,180421
2023,1463,1446,39,6,1,G20PRERTRU,180421
2022,1330,952,41,6,1,G20PRERTRU,180421
1007,2005,1610,55,3,1,G20PRERTRU,180421
1010,1171,1033,36,14,3,G20PRERTRU,180421
1013,1089,983,34,12,0,G20PRERTRU,180421
1006,2418,1917,77,9,1,G20PRERTRU,180421
1025,2488,1603,55,7,3,G20PRERTRU,180421
1005,1536,390,24,1,1,G20PRERTRU,180421
1045,1019,237,20,3,0,G20PRERTRU,180421
4004,290,1065,25,16,1,G20PRERTRU,180421
4003,2952,1125,28,2,1,G20PRERTRU,180421
4033,1676,854,32,6,1,G20PRERTRU,180421
4029,810,344,15,1,1,G20PRERTRU,180421
4047,1082,608,37,5,2,G20PRERTRU,180421
4048,2599,1445,71,10,1,G20PRERTRU,180421
4017,2845,777,29,6,4,G20PRERTRU,180421
1057,348,440,7,2,1,G20PRERTRU,180421
1036,2841,1528,20,5,0,G20PRERTRU,180421
2035,1299,1549,28,10,3,G20PRERTRU,180421
4035,4038,1819,58,8,4,G20PRERTRU,180421
