PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
1014,51,160,7,2,0,G20PRERTRU,180421
3026,1170,894,28,2,2,G20PRERTRU,180421
3012,720,660,15,5,0,G20PRERTRU,180421
3008,1265,981,37,7,6,G20PRERTRU,180421
1012,966,1196,37,9,1,G20PRERTRU,180421
3009,1071,853,26,10,1,G20PRERTRU,180421
1020,2190,1230,46,7,4,G20PRERTRU,180421
1022,1683,1077,58,7,1,G20PRERTRU,180421
4010,540,863,43,9,3,G20PRERTRU,180421
3007,1437,1753,42,10,1,G20PRERTRU,180421
3006,1611,1416,52,17,3,G20PRERTRU,180421
4013,65,184,4,2,0,G20PRERTRU,180421
4026,741,598,14,7,5,G20PRERTRU,180421
4014,162,1005,22,8,2,G20PRERTRU,180421
4012,1085,1002,31,4,3,G20PRERTRU,180421
4005,907,1127,34,15,3,G20PRERTRU,180421
3387,1177,519,30,6,2,G20PRERTRU,180421
3554,1659,818,33,10,0,G20PRERTRU,180421
3002,2286,1342,46,8,0,G20PRERTRU,180421
3010,1548,1697,41,11,6,G20PRERTRU,180421
3011,1298,1757,37,10,2,G20PRERTRU,180421
3004,1636,867,44,4,2,G20PRERTRU,180421
3003,1371,876,20,5,0,G20PRERTRU,180421
4006,649,1147,20,8,1,G20PRERTRU,180421
1023,1917,1120,54,7,3,G20PRERTRU,180421
4009,688,1718,35,16,5,G20PRERTRU,180421
1021,1706,960,30,5,0,G20PRERTRU,180421
4011,1061,2610,53,30,1,G20PRERTRU,180421
3018,409,544,14,3,2,G20PRERTRU,180421
3005,1080,556,24,4,3,G20PRERTRU,180421
1011,852,1331,45,11,2,G20PRERTRU,180421
4042,26,7,0,0,0,G20PRERTRU,180421
4038,134,73,1,1,0,G20PRERTRU,180421
4037,457,828,26,3,1,G20PRERTRU,180421
1039,71,61,0,0,0,G20PRERTRU,180421
1038,99,153,8,0,0,G20PRERTRU,180421
4041,760,916,36,3,2,G20PRERTRU,180421
4040,415,543,19,7,2,G20PRERTRU,180421
3187,690,464,23,3,0,G20PRERTRU,180421
1030,2102,1565,36,3,1,G20PRERTRU,180421
3028,1933,1437,60,5,6,G20PRERTRU,180421
3015,702,1025,27,2,1,G20PRERTRU,180421
3014,754,861,26,4,0,G20PRERTRU,180421
3027,1946,1553,47,10,0,G20PRERTRU,180421
3029,1105,839,34,8,0,G20PRERTRU,180421
