PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Madison,918,472,25,30,G20PREDBID,390880
Russell,515,1085,31,2,G20PREDBID,390880
Berryville,772,695,26,14,G20PREDBID,390880
White Post,902,1144,51,10,G20PREDBID,390880
Blue Ridge,352,432,18,2,G20PREDBID,390880
Fairview,3066,1257,55,25,G20PREDBID,390880
Salona #1,294,203,12,7,G20PREDBID,390880
Sideburn,1759,1057,46,32,G20PREDBID,390880
Villa,1665,762,30,18,G20PREDBID,390880
Terra Centre,1865,735,41,23,G20PREDBID,390880
Great Falls,1051,770,15,17,G20PREDBID,390880
Eagle View,1808,890,61,9,G20PREDBID,390880
Armstrong,2151,729,51,14,G20PREDBID,390880
Flint Hill,1334,797,39,14,G20PREDBID,390880
Reston #2,2776,552,46,25,G20PREDBID,390880
Stuart,1169,348,39,7,G20PREDBID,390880
Floris,2075,927,37,2,G20PREDBID,390880
Dogwood,3115,856,51,32,G20PREDBID,390880
Hunters Woods,1508,576,24,16,G20PREDBID,390880
Fox Mill,2827,1382,71,32,G20PREDBID,390880
North Point,1660,916,37,14,G20PREDBID,390880
Colvin,1183,633,26,20,G20PREDBID,390880
Chain Bridge,1178,777,26,25,G20PREDBID,390880
Churchill,1006,424,22,17,G20PREDBID,390880
Langley,898,550,26,25,G20PREDBID,390880
Chesterbrook,658,430,18,18,G20PREDBID,390880
Cooper,816,537,7,17,G20PREDBID,390880
Kirby,883,423,24,16,G20PREDBID,390880
Kenmore,1474,745,24,15,G20PREDBID,390880
McLean,710,411,22,12,G20PREDBID,390880
Westmoreland,740,289,10,7,G20PREDBID,390880
Herndon #1,2414,974,66,14,G20PREDBID,390880
Clearview,2531,1136,73,36,G20PREDBID,390880
Hutchison,2374,411,32,7,G20PREDBID,390880
Sugarland,1995,993,48,25,G20PREDBID,390880
Hickory,1220,839,33,27,G20PREDBID,390880
Seneca,2067,1157,33,22,G20PREDBID,390880
Coates,3097,882,64,32,G20PREDBID,390880
Salona #2,604,285,22,23,G20PREDBID,390880
Herndon #2,2597,884,41,35,G20PREDBID,390880
Forestville,1612,1258,50,22,G20PREDBID,390880
Shouse,1531,665,13,20,G20PREDBID,390880
Spring Hill,1000,458,18,10,G20PREDBID,390880
Newington,3931,1528,107,21,G20PREDBID,390880
South County,1490,764,19,12,G20PREDBID,390880
Clifton,1388,1635,62,17,G20PREDBID,390880
Colchester,1199,723,22,10,G20PREDBID,390880
Penderbrook,2597,978,34,28,G20PREDBID,390880
Oakton,1049,695,22,18,G20PREDBID,390880
Oak Marr,1299,868,53,21,G20PREDBID,390880
Fairfax Station,1306,625,37,36,G20PREDBID,390880
Sydenstricker,2308,942,51,9,G20PREDBID,390880
Woodyard,1766,1190,24,17,G20PREDBID,390880
Orange,2753,1253,61,35,G20PREDBID,390880
Cherry Run,1843,972,37,16,G20PREDBID,390880
Sangster,1551,723,29,15,G20PREDBID,390880
Silverbrook,1781,1080,35,22,G20PREDBID,390880
Popes Head,847,678,26,15,G20PREDBID,390880
Fair Lakes,2097,747,46,18,G20PREDBID,390880
Fountainhead,1919,1491,40,46,G20PREDBID,390880
Greenbriar East,1918,775,34,18,G20PREDBID,390880
Greenbriar West,1607,733,33,12,G20PREDBID,390880
Newgate,2679,1585,40,17,G20PREDBID,390880
South Run,1367,930,26,15,G20PREDBID,390880
Willow Springs,1299,773,24,14,G20PREDBID,390880
Centre Ridge,1942,743,32,16,G20PREDBID,390880
Brookfield,3639,1232,35,10,G20PREDBID,390880
Cub Run,2184,1138,58,22,G20PREDBID,390880
Stonecroft,1056,610,24,27,G20PREDBID,390880
Franklin,658,271,24,15,G20PREDBID,390880
Hidden Meadow,1485,714,29,20,G20PREDBID,390880
Oak Hill,1551,655,22,17,G20PREDBID,390880
London Towne,2700,890,39,23,G20PREDBID,390880
Navy,1959,941,39,27,G20PREDBID,390880
Rocky Run,2092,1279,58,20,G20PREDBID,390880
Vale,1342,693,46,25,G20PREDBID,390880
Waples Mill,2077,1284,44,41,G20PREDBID,390880
Stone North,1327,490,31,15,G20PREDBID,390880
Centreville,3034,1077,46,16,G20PREDBID,390880
Green Trails,2709,936,30,14,G20PREDBID,390880
