PCTNUM,G20PREDBID,G20PRERTRU,G20PRELJOR,Winner,Winner Votes
MC0415,3215,3727,81,G20PRERTRU,296616
MC0558,2264,3419,86,G20PRERTRU,296616
MC0083,1211,1884,68,G20PRERTRU,296616
MC0372,1156,1685,45,G20PRERTRU,296616
MC0025,2750,2884,69,G20PRERTRU,296616
MC0364,253,253,4,G20PRERTRU,296616
MC0471,178,138,7,G20PRERTRU,296616
MC0279,1601,2444,71,G20PRERTRU,296616
MC0094,1028,1528,43,G20PRERTRU,296616
MC0078,1200,2203,57,G20PRERTRU,296616
MC0724,1697,2346,56,G20PRERTRU,296616
MC0634,40,28,1,G20PRERTRU,296616
MC0672,1610,2247,81,G20PRERTRU,296616
MC0253,2207,1771,68,G20PRERTRU,296616
MC0157,2257,2804,95,G20PRERTRU,296616
MC0512,847,1526,25,G20PRERTRU,296616
MC0494,847,1250,47,G20PRERTRU,296616
MC0296,1688,1063,63,G20PRERTRU,296616
MC0217,821,757,42,G20PRERTRU,296616
MC0155,600,1008,36,G20PRERTRU,296616
MC0220,1947,1597,55,G20PRERTRU,296616
MC0211,1131,1505,59,G20PRERTRU,296616
MC0568,124,132,4,G20PRERTRU,296616
MC0262,1043,2123,50,G20PRERTRU,296616
MC0409,583,362,40,G20PRERTRU,296616
MC0053,746,1119,50,G20PRERTRU,296616
MC0467,1627,2379,61,G20PRERTRU,296616
MC0201,1783,2587,78,G20PRERTRU,296616
MC0376,13,5,0,G20PRERTRU,296616
MC0193,823,813,20,G20PRERTRU,296616
