GEOID20,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,Winner,Winner Votes
17097Wes393,637,167,14,0,2,4,G20PREDBID,247531
17097Wes392,862,213,4,4,1,2,G20PREDBID,247531
17097Wes394,672,231,11,1,0,0,G20PREDBID,247531
17097Wes398,940,199,12,2,0,0,G20PREDBID,247531
17097Wes399,1023,183,8,6,0,0,G20PREDBID,247531
17097Wes395,896,242,17,4,1,1,G20PREDBID,247531
17097Wes396,888,205,9,3,0,0,G20PREDBID,247531
17097Wes397,549,105,6,5,0,0,G20PREDBID,247531
17097Wes385,359,339,6,1,2,0,G20PREDBID,247531
17097Wes380,356,394,4,2,0,0,G20PREDBID,247531
17097Wes390,421,215,2,7,3,0,G20PREDBID,247531
17097Wes381,321,287,11,2,0,0,G20PREDBID,247531
17097Wes383,365,296,12,0,1,0,G20PREDBID,247531
17097Wes387,779,245,8,2,0,0,G20PREDBID,247531
17097Wes382,306,361,12,0,0,0,G20PREDBID,247531
17097Zio404,427,214,9,2,0,1,G20PREDBID,247531
17097Zio410,378,201,3,5,0,1,G20PREDBID,247531
17097Zio407,383,124,5,2,1,1,G20PREDBID,247531
1711100Bu01,297,541,8,6,1,2,G20PREDBID,247531
1711100Mc09,208,413,11,6,2,0,G20PREDBID,247531
17031830007,775,333,19,1,0,0,G20PREDBID,247531
17031830027,574,325,2,5,1,5,G20PREDBID,247531
17031830003,438,209,12,2,1,1,G20PREDBID,247531
17031830053,572,250,5,4,1,0,G20PREDBID,247531
17031830054,494,153,4,0,3,0,G20PREDBID,247531
17031830020,592,274,4,0,0,1,G20PREDBID,247531
17031830026,497,189,11,1,1,0,G20PREDBID,247531
17031830002,585,204,9,2,0,0,G20PREDBID,247531
17031830050,657,378,7,0,0,0,G20PREDBID,247531
17031830033,318,291,7,3,0,0,G20PREDBID,247531
17031830044,444,181,5,4,0,1,G20PREDBID,247531
17031830004,492,324,8,5,1,0,G20PREDBID,247531
17031830016,655,285,15,1,0,0,G20PREDBID,247531
17031830048,483,316,11,5,2,1,G20PREDBID,247531
17031830021,830,390,23,3,0,2,G20PREDBID,247531
17031830028,983,465,9,7,1,1,G20PREDBID,247531
17031830008,551,334,8,5,1,0,G20PREDBID,247531
17031830062,606,299,2,2,1,0,G20PREDBID,247531
17031830046,772,358,16,2,2,0,G20PREDBID,247531
17031830045,714,344,11,4,0,0,G20PREDBID,247531
17031830058,260,210,4,1,0,2,G20PREDBID,247531
17031830059,481,282,11,1,0,1,G20PREDBID,247531
17031830034,395,219,1,3,0,2,G20PREDBID,247531
17031830061,383,241,3,0,1,0,G20PREDBID,247531
17031830060,727,261,6,5,0,0,G20PREDBID,247531
17031810001,1039,223,14,3,1,1,G20PREDBID,247531
17031810002,1065,217,24,4,1,0,G20PREDBID,247531
17031810008,484,236,9,2,0,2,G20PREDBID,247531
17031810005,530,141,12,2,0,0,G20PREDBID,247531
17031830013,420,296,10,1,1,0,G20PREDBID,247531
17031830022,637,257,5,1,1,0,G20PREDBID,247531
17031830025,482,255,7,1,0,0,G20PREDBID,247531
170970Avo23,473,276,9,4,2,4,G20PREDBID,247531
170970Avo48,390,227,15,3,0,1,G20PREDBID,247531
170970Avo35,529,261,26,6,5,0,G20PREDBID,247531
170970Avo34,548,298,21,6,0,2,G20PREDBID,247531
17097Lak166,656,372,23,12,4,5,G20PREDBID,247531
170970Avo45,395,229,5,2,1,1,G20PREDBID,247531
17097Fre122,443,231,11,3,2,0,G20PREDBID,247531
17097Fre126,483,310,7,2,0,2,G20PREDBID,247531
17097Fre106,475,307,10,1,1,0,G20PREDBID,247531
17097Fre114,406,446,9,3,0,0,G20PREDBID,247531
17097Fre116,408,270,19,4,1,2,G20PREDBID,247531
17097Fre123,577,326,13,7,3,4,G20PREDBID,247531
17097Fre125,737,354,15,9,0,1,G20PREDBID,247531
17097Fre115,614,406,13,3,1,0,G20PREDBID,247531
17097Fre117,501,331,14,3,2,0,G20PREDBID,247531
17097Fre124,497,317,18,2,2,1,G20PREDBID,247531
17097Ela101,553,510,12,1,3,0,G20PREDBID,247531
17097Gra130,301,336,6,1,0,2,G20PREDBID,247531
17097Gra131,302,300,8,3,0,1,G20PREDBID,247531
17097Gra136,328,307,9,5,0,0,G20PREDBID,247531
17097Gra129,209,330,12,1,1,0,G20PREDBID,247531
17097Gra139,543,477,13,4,1,2,G20PREDBID,247531
17097Gra127,291,341,10,3,1,0,G20PREDBID,247531
17097Gra142,741,441,19,7,1,2,G20PREDBID,247531
17097Gra140,418,314,6,1,2,3,G20PREDBID,247531
17097Gra141,550,475,21,5,2,1,G20PREDBID,247531
17097Lib181,539,427,10,3,0,2,G20PREDBID,247531
17097Lib167,459,336,15,3,2,0,G20PREDBID,247531
17097Lib199,330,200,10,1,1,0,G20PREDBID,247531
17097Lib189,572,244,6,9,2,1,G20PREDBID,247531
17097Lib183,550,324,15,6,1,0,G20PREDBID,247531
17097Lib197,457,294,6,4,1,1,G20PREDBID,247531
17097Lib173,515,390,15,4,2,0,G20PREDBID,247531
17097Lib172,684,365,18,2,1,0,G20PREDBID,247531
17097Lib174,410,396,10,2,1,0,G20PREDBID,247531
17097Lib192,661,366,10,3,2,2,G20PREDBID,247531
17097Lib187,594,293,16,3,2,0,G20PREDBID,247531
17097Shi230,404,58,2,3,0,0,G20PREDBID,247531
17097Lib186,638,327,10,3,5,0,G20PREDBID,247531
17097Lib200,532,251,4,1,2,0,G20PREDBID,247531
17097Lib180,294,266,7,0,0,0,G20PREDBID,247531
17097Lib175,545,212,9,5,3,3,G20PREDBID,247531
17097Lib193,271,195,10,0,1,0,G20PREDBID,247531
17097Lib171,561,331,15,1,2,0,G20PREDBID,247531
17097Lib202,114,74,1,0,1,0,G20PREDBID,247531
17097Lib168,315,230,6,3,3,0,G20PREDBID,247531
17097Lib185,630,325,9,6,0,0,G20PREDBID,247531
17097Lak145,318,342,4,4,1,0,G20PREDBID,247531
17097Lak156,658,476,15,6,3,1,G20PREDBID,247531
17097Mor204,986,319,10,4,1,0,G20PREDBID,247531
17097Mor207,669,236,15,12,4,2,G20PREDBID,247531
17097Mor215,748,179,5,3,0,0,G20PREDBID,247531
17097Mor220,733,178,8,0,1,0,G20PREDBID,247531
17097Lib191,460,241,5,5,0,0,G20PREDBID,247531
17097Lak154,561,634,11,3,0,0,G20PREDBID,247531
17097Mor205,686,166,6,1,0,1,G20PREDBID,247531
17097Mor211,735,171,7,2,1,1,G20PREDBID,247531
17097Mor209,835,221,12,5,2,2,G20PREDBID,247531
17097Mor218,661,122,5,0,0,0,G20PREDBID,247531
17097Mor212,820,191,10,5,0,2,G20PREDBID,247531
17097Mor214,717,158,12,2,1,0,G20PREDBID,247531
17097Mor217,821,158,15,0,0,1,G20PREDBID,247531
17097Mor224,591,108,8,3,0,0,G20PREDBID,247531
17097Mor206,715,211,6,3,0,0,G20PREDBID,247531
17097Mor208,707,200,10,3,0,1,G20PREDBID,247531
17097Wes384,372,375,23,4,2,0,G20PREDBID,247531
17097Lak144,394,519,9,3,2,0,G20PREDBID,247531
17097Lak152,449,297,8,5,3,1,G20PREDBID,247531
17097Lak162,334,376,14,3,1,0,G20PREDBID,247531
17097Lak153,570,407,20,12,1,1,G20PREDBID,247531
17097Lak158,461,397,8,1,0,0,G20PREDBID,247531
17097Lak164,598,363,10,5,0,4,G20PREDBID,247531
17097Lak163,658,438,13,8,2,0,G20PREDBID,247531
17097Lak155,427,463,12,2,0,0,G20PREDBID,247531
17097New229,376,426,12,5,1,2,G20PREDBID,247531
17097New228,907,346,6,5,1,2,G20PREDBID,247531
17097Wau328,222,217,6,0,0,0,G20PREDBID,247531
17097Shi237,649,370,22,5,2,0,G20PREDBID,247531
17097Shi242,318,307,10,0,0,0,G20PREDBID,247531
17097Shi235,402,277,6,3,1,0,G20PREDBID,247531
17097Shi245,369,346,11,2,0,0,G20PREDBID,247531
17097Shi232,374,60,9,2,0,0,G20PREDBID,247531
17097Shi233,92,25,1,0,1,1,G20PREDBID,247531
17097Shi241,696,343,22,3,0,1,G20PREDBID,247531
17097Shi244,442,336,5,2,0,0,G20PREDBID,247531
17097Ver271,344,303,14,0,0,0,G20PREDBID,247531
17097Ver286,669,396,11,4,0,3,G20PREDBID,247531
17097Ver247,479,260,10,8,3,0,G20PREDBID,247531
17097Ver265,328,236,10,4,2,1,G20PREDBID,247531
17097Ver250,608,265,5,8,2,0,G20PREDBID,247531
17097Ver254,418,248,7,6,1,0,G20PREDBID,247531
17097Ver251,615,361,21,2,2,0,G20PREDBID,247531
17097Ver277,582,252,14,7,1,0,G20PREDBID,247531
17097Ver283,500,236,10,2,3,2,G20PREDBID,247531
17097Ver280,646,182,4,1,0,1,G20PREDBID,247531
17097Ver285,515,317,0,3,3,0,G20PREDBID,247531
17097Ver284,446,302,3,0,0,0,G20PREDBID,247531
17097Ver273,755,256,6,3,0,0,G20PREDBID,247531
17097Ver275,718,267,8,6,3,0,G20PREDBID,247531
17097Ver252,547,556,14,1,1,0,G20PREDBID,247531
17097Ver270,458,261,13,3,1,1,G20PREDBID,247531
17097Ver261,573,277,8,2,4,0,G20PREDBID,247531
17097Ver259,953,457,14,1,3,1,G20PREDBID,247531
17097Ver266,591,249,10,2,2,0,G20PREDBID,247531
17097Ver253,472,298,10,2,0,2,G20PREDBID,247531
17097War288,463,464,10,3,0,0,G20PREDBID,247531
17097Ver272,506,223,6,4,1,0,G20PREDBID,247531
17097War308,505,383,6,3,2,2,G20PREDBID,247531
17097War299,437,157,8,2,1,1,G20PREDBID,247531
17097War298,641,367,8,6,1,0,G20PREDBID,247531
17097War300,429,169,13,3,0,1,G20PREDBID,247531
17097War318,601,441,20,7,6,0,G20PREDBID,247531
17097War314,361,241,11,3,3,0,G20PREDBID,247531
17097War305,514,319,9,4,0,1,G20PREDBID,247531
17097War325,718,247,7,2,1,1,G20PREDBID,247531
17097War302,300,205,5,2,1,0,G20PREDBID,247531
17097War327,551,121,5,0,2,2,G20PREDBID,247531
17097War296,463,184,5,4,3,1,G20PREDBID,247531
17097War319,568,385,14,7,4,1,G20PREDBID,247531
17097War317,540,391,17,5,4,1,G20PREDBID,247531
17097War321,463,297,4,5,1,1,G20PREDBID,247531
17097War324,650,312,8,5,3,1,G20PREDBID,247531
17097War307,439,241,6,1,2,2,G20PREDBID,247531
17097War289,420,318,14,3,1,1,G20PREDBID,247531
17097War310,559,422,13,2,2,0,G20PREDBID,247531
17097War323,163,172,5,2,0,1,G20PREDBID,247531
17097Wau352,433,168,3,4,1,1,G20PREDBID,247531
17097Wau349,594,179,3,3,3,3,G20PREDBID,247531
17097Wau351,512,199,3,3,1,7,G20PREDBID,247531
17097Wau359,567,225,11,4,1,3,G20PREDBID,247531
17097Wau356,761,180,4,8,1,6,G20PREDBID,247531
17097Zio408,438,97,5,3,1,3,G20PREDBID,247531
17097Zio411,336,147,5,1,1,0,G20PREDBID,247531
17097Zio412,447,221,11,2,1,1,G20PREDBID,247531
17097Zio413,339,136,3,4,0,2,G20PREDBID,247531
17097Zio415,468,236,3,3,1,4,G20PREDBID,247531
17097Wau377,437,39,3,3,4,1,G20PREDBID,247531
17097Wau350,560,211,5,5,1,2,G20PREDBID,247531
17097Zio414,353,276,10,1,2,0,G20PREDBID,247531
17097Zio403,598,220,10,9,1,1,G20PREDBID,247531
17097Zio406,510,241,10,3,0,0,G20PREDBID,247531
17097Zio405,492,161,4,6,1,1,G20PREDBID,247531
17097Wes401,667,205,3,0,0,0,G20PREDBID,247531
17097Wes386,282,298,11,4,1,1,G20PREDBID,247531
170970Avo43,443,239,6,8,1,1,G20PREDBID,247531
170970Avo38,564,333,5,5,1,0,G20PREDBID,247531
17097Mor219,597,158,7,0,1,0,G20PREDBID,247531
17097Wes402,631,138,11,2,0,1,G20PREDBID,247531
17097Mor221,633,99,11,1,0,1,G20PREDBID,247531
17097Mor223,883,140,6,4,0,0,G20PREDBID,247531
17097Wau353,460,99,4,1,2,5,G20PREDBID,247531
17097Wau367,402,101,2,2,0,8,G20PREDBID,247531
170970Ben61,336,343,5,2,0,1,G20PREDBID,247531
170970Ben63,327,201,4,2,0,3,G20PREDBID,247531
17097New226,231,220,4,2,0,1,G20PREDBID,247531
170970Avo24,434,213,1,1,2,0,G20PREDBID,247531
170970Avo47,633,311,16,2,1,0,G20PREDBID,247531
170970Avo19,415,175,7,2,2,4,G20PREDBID,247531
