PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0101,760,468,15,0,3,G20PRERTRU,120200
0111,1432,598,17,3,6,G20PRERTRU,120200
0143,1587,648,30,5,9,G20PRERTRU,120200
0112,1110,373,21,2,2,G20PRERTRU,120200
0119,769,282,12,1,3,G20PRERTRU,120200
0131,965,363,9,3,4,G20PRERTRU,120200
0113,327,873,8,7,3,G20PRERTRU,120200
0115,821,468,17,3,6,G20PRERTRU,120200
0132,385,77,0,1,0,G20PRERTRU,120200
0129,370,149,11,1,0,G20PRERTRU,120200
0102,2198,775,44,10,9,G20PRERTRU,120200
0105,2961,1223,42,10,19,G20PRERTRU,120200
0114,1112,471,12,3,3,G20PRERTRU,120200
0122,630,251,10,3,3,G20PRERTRU,120200
0124,309,513,11,2,1,G20PRERTRU,120200
0127,210,85,1,1,0,G20PRERTRU,120200
1352,336,134,0,0,0,G20PRERTRU,120200
2341,75,243,3,1,0,G20PRERTRU,120200
2425,936,1258,28,9,0,G20PRERTRU,120200
2506,1855,1500,46,6,1,G20PRERTRU,120200
0141,1129,386,17,0,0,G20PRERTRU,120200
0139,624,191,9,2,4,G20PRERTRU,120200
2058,1,0,0,0,0,G20PRERTRU,120200
0142,1075,408,25,4,1,G20PRERTRU,120200
0136,372,75,0,1,4,G20PRERTRU,120200
0108,2068,708,39,6,6,G20PRERTRU,120200
0121,1119,465,11,3,4,G20PRERTRU,120200
0128,50,45,0,1,0,G20PRERTRU,120200
0138,1102,284,20,2,0,G20PRERTRU,120200
0140,2937,1683,67,11,14,G20PRERTRU,120200
0401,182,128,3,2,1,G20PRERTRU,120200
0400,865,290,18,4,1,G20PRERTRU,120200
0103,973,302,17,6,4,G20PRERTRU,120200
0107,513,222,14,2,1,G20PRERTRU,120200
0105,179,22,0,0,0,G20PRERTRU,120200
0104,388,97,8,1,0,G20PRERTRU,120200
0402,1061,282,12,3,1,G20PRERTRU,120200
0405,545,60,4,2,0,G20PRERTRU,120200
0403,957,126,3,0,3,G20PRERTRU,120200
0204,159,64,1,0,0,G20PRERTRU,120200
0200,146,307,2,2,1,G20PRERTRU,120200
0201,41,355,2,1,1,G20PRERTRU,120200
0202,124,287,6,2,0,G20PRERTRU,120200
0301,134,81,1,0,0,G20PRERTRU,120200
0206,380,64,5,2,1,G20PRERTRU,120200
0305,288,72,0,4,0,G20PRERTRU,120200
0306,185,31,1,0,1,G20PRERTRU,120200
0205,884,193,13,1,2,G20PRERTRU,120200
0304,466,66,4,2,2,G20PRERTRU,120200
0300,784,541,6,8,4,G20PRERTRU,120200
0406,193,21,2,0,0,G20PRERTRU,120200
2280,601,640,16,2,2,G20PRERTRU,120200
2028,631,350,13,2,0,G20PRERTRU,120200
