PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Walker,1696,745,28,12,G20PREDBID,399715
Pine Ridge,1330,554,43,16,G20PREDBID,399715
Merrifield,2213,544,51,25,G20PREDBID,399715
Tysons,2138,654,53,14,G20PREDBID,399715
Burke,3245,1131,59,21,G20PREDBID,399715
Fairfax Station,1306,625,37,36,G20PREDBID,399715
Sydenstricker,2308,942,51,9,G20PREDBID,399715
Hunt Valley,1580,697,51,23,G20PREDBID,399715
Pohick,1678,542,26,9,G20PREDBID,399715
Valley,2088,833,32,21,G20PREDBID,399715
Orange,2753,1253,61,35,G20PREDBID,399715
Cherry Run,1843,972,37,16,G20PREDBID,399715
Irving,1548,741,19,18,G20PREDBID,399715
White Oaks,2526,978,51,18,G20PREDBID,399715
Sangster,1551,723,29,15,G20PREDBID,399715
Silverbrook,1781,1080,35,22,G20PREDBID,399715
West Springfield,2244,829,34,43,G20PREDBID,399715
Popes Head,847,678,26,15,G20PREDBID,399715
Parkway,1290,833,43,18,G20PREDBID,399715
Fair Lakes,2097,747,46,18,G20PREDBID,399715
Centerpointe,1307,463,30,18,G20PREDBID,399715
Fountainhead,1919,1491,40,46,G20PREDBID,399715
Greenbriar East,1918,775,34,18,G20PREDBID,399715
Greenbriar West,1607,733,33,12,G20PREDBID,399715
Fair Oaks,1374,640,22,7,G20PREDBID,399715
Newgate,2679,1585,40,17,G20PREDBID,399715
South Run,1367,930,26,15,G20PREDBID,399715
Willow Springs,1299,773,24,14,G20PREDBID,399715
Centre Ridge,1942,743,32,16,G20PREDBID,399715
Oak Hill,1551,655,22,17,G20PREDBID,399715
London Towne,2700,890,39,23,G20PREDBID,399715
Navy,1959,941,39,27,G20PREDBID,399715
Vale,1342,693,46,25,G20PREDBID,399715
Waples Mill,2077,1284,44,41,G20PREDBID,399715
Stone North,1327,490,31,15,G20PREDBID,399715
Centreville,3034,1077,46,16,G20PREDBID,399715
Green Trails,2709,936,30,14,G20PREDBID,399715
Deer Park,2087,1121,58,27,G20PREDBID,399715
Spindle,1299,369,26,12,G20PREDBID,399715
Old Mill,1480,561,46,10,G20PREDBID,399715
Powell,3217,1228,39,16,G20PREDBID,399715
Poplar Tree,1832,920,58,27,G20PREDBID,399715
Carson,1959,686,26,20,G20PREDBID,399715
Stone South,1322,441,15,25,G20PREDBID,399715
Compton,522,222,11,0,G20PREDBID,399715
Difficult Run,495,347,7,5,G20PREDBID,399715
Chantilly,1796,691,18,22,G20PREDBID,399715
Oak Grove,1477,356,14,5,G20PREDBID,399715
Forest Grove,2443,971,58,17,G20PREDBID,399715
Saunders,1331,802,48,0,G20PREDBID,399715
Spriggs,1999,1062,29,0,G20PREDBID,399715
Hylton,685,883,10,0,G20PREDBID,399715
Saratoga,1676,486,31,0,G20PREDBID,399715
Rosa Parks,1137,838,25,0,G20PREDBID,399715
Forest Park,1648,639,19,0,G20PREDBID,399715
Dumfries,1158,561,22,0,G20PREDBID,399715
Graham Park,1174,469,33,0,G20PREDBID,399715
Quantico,558,348,14,0,G20PREDBID,399715
Washington-Reid,1065,594,21,0,G20PREDBID,399715
Swans Creek,2383,1069,25,0,G20PREDBID,399715
Cardinal,1584,522,19,0,G20PREDBID,399715
Cabin Branch,1141,616,19,0,G20PREDBID,399715
Lake Ridge,1734,779,34,0,G20PREDBID,399715
Occoquan,1230,752,19,0,G20PREDBID,399715
Old Bridge,1301,661,22,0,G20PREDBID,399715
Mohican,1665,937,42,0,G20PREDBID,399715
Springwoods,1388,476,26,0,G20PREDBID,399715
Westridge,1809,787,29,0,G20PREDBID,399715
Rockledge,1112,710,36,0,G20PREDBID,399715
McCoart,714,815,21,0,G20PREDBID,399715
Lynnwood,1276,1072,51,0,G20PREDBID,399715
Bethel,1731,1098,45,0,G20PREDBID,399715
Antietam,1726,1101,65,0,G20PREDBID,399715
Chinn,1246,815,40,0,G20PREDBID,399715
York,1987,626,36,0,G20PREDBID,399715
Minnieville,1466,792,45,80,G20PREDBID,399715
Enterprise,1511,808,56,0,G20PREDBID,399715
Dale,1915,678,25,0,G20PREDBID,399715
Beville,1983,841,31,0,G20PREDBID,399715
Gideon,1528,697,31,59,G20PREDBID,399715
Kerrydale,1511,808,56,0,G20PREDBID,399715
Bel Air,1654,925,28,80,G20PREDBID,399715
Neabsco,1406,645,17,0,G20PREDBID,399715
Belmont,1629,1206,33,0,G20PREDBID,399715
Porter,1928,626,30,0,G20PREDBID,399715
Library,1588,609,43,0,G20PREDBID,399715
Grayson,2396,867,36,0,G20PREDBID,399715
Lynn,1427,394,30,0,G20PREDBID,399715
Potomac View,1557,752,22,0,G20PREDBID,399715
Powells Creek,1726,427,19,0,G20PREDBID,399715
Kilby,2012,841,33,0,G20PREDBID,399715
River Oaks,1739,482,25,0,G20PREDBID,399715
One,1829,628,39,29,G20PREDBID,399715
Two,1173,685,44,20,G20PREDBID,399715
Three,1993,885,44,28,G20PREDBID,399715
Six,1829,697,15,7,G20PREDBID,399715
Four,947,459,31,4,G20PREDBID,399715
Five,1403,653,28,13,G20PREDBID,399715
Dulles South,909,527,31,5,G20PREDBID,399715
Williams,913,241,14,0,G20PREDBID,399715
Potomac,1221,325,14,0,G20PREDBID,399715
Rippon,1886,961,22,0,G20PREDBID,399715
Leesylvania,1010,694,25,0,G20PREDBID,399715
Virginia Run,1679,1063,42,27,G20PREDBID,399715
Bull Run,1388,1074,18,17,G20PREDBID,399715
Freedom,1671,469,22,0,G20PREDBID,399715
Hampton,1528,505,8,0,G20PREDBID,399715
Fitzgerald,2000,766,22,0,G20PREDBID,399715
Saint Albans (CD 8),515,184,12,5,G20PREDBID,399715
Saint Albans (CD 11),1076,354,15,9,G20PREDBID,399715
Penn (CD 1),634,869,14,118,G20PREDBID,399715
Penn (CD 11),76,71,8,0,G20PREDBID,399715
King (CD 1),69,16,5,0,G20PREDBID,399715
King (CD 11),1819,763,39,20,G20PREDBID,399715
Triangle (CD 11),1128,671,33,61,G20PREDBID,399715
Timber Lane,1967,576,24,21,G20PREDBID,399715
