PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREPHUN,G20PREOWRI,Winner,Winner Votes
334,60,82,4,1,0,2,G20PREDBID,382010
367,3322,1110,61,13,0,35,G20PREDBID,382010
321,134,199,10,0,4,1,G20PREDBID,382010
385,1890,551,35,12,4,27,G20PREDBID,382010
317,373,597,14,3,1,11,G20PREDBID,382010
432,215,84,9,1,1,3,G20PREDBID,382010
438,109,169,3,2,0,2,G20PREDBID,382010
423,2113,984,67,17,9,36,G20PREDBID,382010
433,1419,813,49,12,3,34,G20PREDBID,382010
153,5198,1874,96,12,5,59,G20PREDBID,382010
323,790,790,35,4,4,12,G20PREDBID,382010
284,204,83,5,1,2,5,G20PREDBID,382010
251/252,1282,674,31,1,2,36,G20PREDBID,382010
322,565,608,24,0,0,13,G20PREDBID,382010
202,2909,1746,131,24,12,44,G20PREDBID,382010
280,983,405,26,6,3,6,G20PREDBID,382010
160,309,160,4,1,1,3,G20PREDBID,382010
321,1351,1160,44,5,1,22,G20PREDBID,382010
201,2656,1465,84,13,2,35,G20PREDBID,382010
435,2335,1608,82,18,8,49,G20PREDBID,382010
425,452,550,15,4,1,9,G20PREDBID,382010
13,1091,2040,58,17,5,18,G20PREDBID,382010
11,0,1,0,0,0,0,G20PREDBID,382010
