PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0014,343,73,2,1,0,G20PRERTRU,186726
0201,748,837,31,7,2,G20PRERTRU,186726
0206,407,318,9,2,3,G20PRERTRU,186726
0205,1674,499,30,1,10,G20PRERTRU,186726
0004,888,355,11,0,2,G20PRERTRU,186726
0007,688,150,7,2,0,G20PRERTRU,186726
0003,324,528,5,0,2,G20PRERTRU,186726
0011,93,12,2,0,0,G20PRERTRU,186726
0018,90,41,0,0,0,G20PRERTRU,186726
0009,341,22,0,0,0,G20PRERTRU,186726
0010,177,39,0,0,1,G20PRERTRU,186726
0019,374,106,1,2,0,G20PRERTRU,186726
0001,469,290,3,1,0,G20PRERTRU,186726
0014,168,20,1,0,0,G20PRERTRU,186726
0016,204,17,4,0,1,G20PRERTRU,186726
0007,573,67,3,1,0,G20PRERTRU,186726
0012,91,15,0,0,0,G20PRERTRU,186726
0017,220,11,1,0,1,G20PRERTRU,186726
0202,1108,273,3,1,1,G20PRERTRU,186726
0101,947,223,6,0,0,G20PRERTRU,186726
0002,1365,549,20,6,0,G20PRERTRU,186726
0010,443,919,15,7,0,G20PRERTRU,186726
0204,1411,635,18,8,4,G20PRERTRU,186726
0401,657,972,40,8,4,G20PRERTRU,186726
0003,727,163,14,4,0,G20PRERTRU,186726
0008,638,173,6,2,0,G20PRERTRU,186726
0019,751,177,4,1,0,G20PRERTRU,186726
0004,188,22,0,0,0,G20PRERTRU,186726
0301,575,977,17,8,3,G20PRERTRU,186726
0104,1207,268,16,3,2,G20PRERTRU,186726
0304,2134,573,21,3,1,G20PRERTRU,186726
0403,815,278,6,5,1,G20PRERTRU,186726
0302,347,136,3,0,1,G20PRERTRU,186726
0303,361,117,1,0,0,G20PRERTRU,186726
0021,221,46,1,1,0,G20PRERTRU,186726
0003,420,53,3,0,1,G20PRERTRU,186726
0010,369,46,8,1,0,G20PRERTRU,186726
0017,88,284,1,2,0,G20PRERTRU,186726
0011,171,32,5,2,0,G20PRERTRU,186726
0006,748,462,12,2,1,G20PRERTRU,186726
0073,939,397,26,1,0,G20PRERTRU,186726
0059,850,458,16,2,1,G20PRERTRU,186726
0027,2108,922,41,10,4,G20PRERTRU,186726
0004,509,38,3,1,0,G20PRERTRU,186726
0101,145,255,7,0,1,G20PRERTRU,186726
0102,1281,1111,49,9,8,G20PRERTRU,186726
0103,931,324,19,3,5,G20PRERTRU,186726
0012,980,311,15,1,0,G20PRERTRU,186726
0055,648,208,15,3,7,G20PRERTRU,186726
0012,73,18,0,0,0,G20PRERTRU,186726
0016,250,86,4,0,0,G20PRERTRU,186726
0020,38,14,0,0,0,G20PRERTRU,186726
0010,222,11,0,0,0,G20PRERTRU,186726
0006,142,15,0,0,0,G20PRERTRU,186726
0005,123,38,0,0,0,G20PRERTRU,186726
0007,148,17,1,0,0,G20PRERTRU,186726
0015,72,11,1,0,0,G20PRERTRU,186726
0008,294,18,1,0,0,G20PRERTRU,186726
0011,1071,218,3,2,0,G20PRERTRU,186726
0002,258,34,2,0,1,G20PRERTRU,186726
0014,348,158,2,0,2,G20PRERTRU,186726
0008,341,73,3,1,0,G20PRERTRU,186726
0009,263,51,0,0,0,G20PRERTRU,186726
0051,799,605,20,6,0,G20PRERTRU,186726
0020,825,524,17,2,0,G20PRERTRU,186726
0011,1150,294,18,2,3,G20PRERTRU,186726
0077,2884,638,17,3,0,G20PRERTRU,186726
0040,3537,1191,74,5,2,G20PRERTRU,186726
0013,3595,739,41,9,0,G20PRERTRU,186726
0025,1863,343,20,6,2,G20PRERTRU,186726
0057,1721,319,22,5,0,G20PRERTRU,186726
0072,2941,588,14,3,2,G20PRERTRU,186726
0021,1728,844,40,7,1,G20PRERTRU,186726
0063,3621,797,43,1,1,G20PRERTRU,186726
0022,2938,662,36,5,0,G20PRERTRU,186726
0050,2662,505,16,3,1,G20PRERTRU,186726
0031,2408,1251,48,3,2,G20PRERTRU,186726
0062,1284,813,19,4,0,G20PRERTRU,186726
0070,1374,865,14,3,0,G20PRERTRU,186726
0038,3793,760,36,8,0,G20PRERTRU,186726
0068,2506,1113,44,9,1,G20PRERTRU,186726
0049,1073,680,36,5,1,G20PRERTRU,186726
0058,1321,652,46,6,0,G20PRERTRU,186726
0001,1834,791,23,8,4,G20PRERTRU,186726
0044,1110,526,24,4,2,G20PRERTRU,186726
0043,3565,876,38,9,0,G20PRERTRU,186726
0060,802,496,23,3,0,G20PRERTRU,186726
0078,2539,1468,45,8,2,G20PRERTRU,186726
0079,976,597,33,4,2,G20PRERTRU,186726
0004,743,601,18,4,2,G20PRERTRU,186726
0061,2147,1633,60,8,1,G20PRERTRU,186726
0048,1193,695,36,1,1,G20PRERTRU,186726
0019,2252,547,21,2,1,G20PRERTRU,186726
0005,217,26,3,0,0,G20PRERTRU,186726
0009,1196,259,11,3,3,G20PRERTRU,186726
