SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
7022234,2,13,0,0,0,1,G20PREDBID,219496
7041496,0,8,0,0,0,0,G20PREDBID,219496
7023198,4,6,0,0,1,0,G20PREDBID,219496
7023082,41,91,0,2,0,0,G20PREDBID,219496
7020036,92,54,12,1,0,0,G20PREDBID,219496
7023037,7,16,0,0,0,0,G20PREDBID,219496
7042223,0,3,0,0,0,0,G20PREDBID,219496
1040044B,0,2,0,0,0,0,G20PREDBID,219496
6220212A,1058,842,25,5,4,3,G20PREDBID,219496
3550032A,1172,829,29,5,8,11,G20PREDBID,219496
9006247A,736,639,20,6,9,4,G20PREDBID,219496
1150012A,593,380,10,3,0,4,G20PREDBID,219496
5000014A,0,0,0,0,0,0,G20PREDBID,219496
6220108A,1120,842,22,6,6,5,G20PREDBID,219496
0050063A,509,1217,22,5,3,0,G20PREDBID,219496
6220067A,960,855,20,5,7,7,G20PREDBID,219496
1040071A,0,3,0,0,0,0,G20PREDBID,219496
5000021B,1379,477,23,13,12,10,G20PREDBID,219496
9001744A,0,0,0,0,0,0,G20PREDBID,219496
1770072A,477,286,10,9,3,2,G20PREDBID,219496
5000122A,1426,443,12,8,10,8,G20PREDBID,219496
5000092A,1086,1033,28,7,6,1,G20PREDBID,219496
3550101D,0,0,0,0,0,0,G20PREDBID,219496
1040226A,599,962,17,1,3,2,G20PREDBID,219496
6220183A,1041,860,21,6,6,6,G20PREDBID,219496
6220224A,1561,1182,27,13,8,3,G20PREDBID,219496
3750002C,4,4,0,0,0,0,G20PREDBID,219496
1750053G,0,0,0,0,0,0,G20PREDBID,219496
6220055A,406,486,17,2,2,0,G20PREDBID,219496
1770064A,0,0,0,0,0,0,G20PREDBID,219496
6220091A,496,979,14,5,3,1,G20PREDBID,219496
6220118A,730,472,21,3,3,0,G20PREDBID,219496
0300002A,118,183,4,0,2,1,G20PREDBID,219496
0090007B,1,3,0,0,0,0,G20PREDBID,219496
6220045A,0,0,0,0,0,0,G20PREDBID,219496
6220044A,1174,1049,40,10,15,4,G20PREDBID,219496
6220051A,1200,1154,28,4,7,6,G20PREDBID,219496
3550029A,771,846,28,7,4,3,G20PREDBID,219496
0050014A,185,376,3,4,1,1,G20PREDBID,219496
0090006A,22,21,3,4,0,1,G20PREDBID,219496
6220179A,379,453,19,2,1,2,G20PREDBID,219496
6220078A,1308,926,12,9,7,4,G20PREDBID,219496
4700001D,1,0,0,0,0,0,G20PREDBID,219496
0300006B,1,1,0,0,0,0,G20PREDBID,219496
1770016C,148,143,2,1,0,1,G20PREDBID,219496
6220121A,806,531,11,10,3,2,G20PREDBID,219496
1020023A,0,0,0,0,0,0,G20PREDBID,219496
5000011B,0,0,0,0,0,0,G20PREDBID,219496
3550061A,938,942,24,4,8,4,G20PREDBID,219496
5000029A,1015,1216,35,5,10,5,G20PREDBID,219496
6220040A,910,660,11,10,6,3,G20PREDBID,219496
6220104A,1040,1013,23,6,3,11,G20PREDBID,219496
3550088B,1425,967,54,23,12,8,G20PREDBID,219496
9002622A,16,13,0,0,0,0,G20PREDBID,219496
9000728A,1379,709,11,7,1,5,G20PREDBID,219496
4700011B,0,0,0,0,0,0,G20PREDBID,219496
6220144D,0,0,0,0,0,0,G20PREDBID,219496
6220098B,1173,1149,26,13,6,3,G20PREDBID,219496
5000011F,0,3,0,0,1,0,G20PREDBID,219496
0300002B,15,15,2,1,0,0,G20PREDBID,219496
5000116A,1061,472,12,7,14,5,G20PREDBID,219496
5000087A,1,3,0,0,0,0,G20PREDBID,219496
3550050A,959,304,22,2,5,9,G20PREDBID,219496
1770063P,0,0,0,0,0,0,G20PREDBID,219496
6300024A,0,0,0,0,0,0,G20PREDBID,219496
0050028A,0,0,0,0,0,0,G20PREDBID,219496
4700007A,0,0,0,0,0,0,G20PREDBID,219496
0300007A,25,58,0,0,0,0,G20PREDBID,219496
9006239A,1013,851,26,10,2,3,G20PREDBID,219496
5400019A,702,1229,22,6,6,7,G20PREDBID,219496
5000127A,1057,1526,28,8,4,8,G20PREDBID,219496
6300006E,41,82,1,0,0,0,G20PREDBID,219496
1020007E,3,1,0,0,0,0,G20PREDBID,219496
0050005A,595,1207,18,1,5,4,G20PREDBID,219496
5000011A,704,677,11,5,5,6,G20PREDBID,219496
6220031A,1347,643,27,12,8,14,G20PREDBID,219496
5000085A,1280,471,23,12,12,18,G20PREDBID,219496
7900005A,693,481,11,7,3,9,G20PREDBID,219496
3550042A,1434,662,19,8,13,11,G20PREDBID,219496
1770004A,139,194,5,4,1,1,G20PREDBID,219496
5000105D,0,1,0,0,0,0,G20PREDBID,219496
6220070A,1232,685,12,4,11,4,G20PREDBID,219496
9000305A,1302,576,16,10,8,8,G20PREDBID,219496
6220054A,479,447,23,7,5,3,G20PREDBID,219496
3550077A,1112,550,22,13,9,8,G20PREDBID,219496
0090012A,1,8,0,0,0,0,G20PREDBID,219496
3550004D,17,14,0,1,1,0,G20PREDBID,219496
4700006A,0,0,0,0,0,0,G20PREDBID,219496
5000126A,1200,515,19,0,9,12,G20PREDBID,219496
1040251A,696,908,28,1,5,5,G20PREDBID,219496
6220066A,721,708,21,5,4,3,G20PREDBID,219496
5000017A,1105,996,24,7,5,6,G20PREDBID,219496
3550028A,1184,538,19,11,10,15,G20PREDBID,219496
5000030A,221,260,7,4,0,2,G20PREDBID,219496
9007782A,1694,1003,24,4,14,2,G20PREDBID,219496
3750005A,180,367,7,5,2,2,G20PREDBID,219496
5000005L,5,4,0,0,0,0,G20PREDBID,219496
1770306A,72,152,3,1,0,0,G20PREDBID,219496
3700001A,662,565,6,5,6,8,G20PREDBID,219496
6220035F,0,1,0,0,0,0,G20PREDBID,219496
7900006E,13,10,0,1,0,0,G20PREDBID,219496
1150004A,0,1,0,0,0,0,G20PREDBID,219496
9000350A,1434,930,16,8,8,8,G20PREDBID,219496
6300030A,0,0,0,0,0,0,G20PREDBID,219496
6220114A,1166,887,17,13,13,1,G20PREDBID,219496
1770008C,0,0,0,0,0,0,G20PREDBID,219496
5000134A,947,1247,24,8,7,5,G20PREDBID,219496
3700044A,953,737,26,13,8,11,G20PREDBID,219496
6220061B,388,236,6,1,1,0,G20PREDBID,219496
0090005E,0,0,0,0,0,0,G20PREDBID,219496
6220126A,1316,1012,16,4,5,5,G20PREDBID,219496
5000076A,1126,331,7,3,8,10,G20PREDBID,219496
5000066F,0,0,0,0,0,0,G20PREDBID,219496
6300457A,10,28,1,0,0,0,G20PREDBID,219496
6300023A,1012,788,25,4,5,1,G20PREDBID,219496
6220063A,832,726,15,8,1,4,G20PREDBID,219496
6220017B,1368,1025,24,9,6,4,G20PREDBID,219496
1040020A,234,230,9,1,1,1,G20PREDBID,219496
0090017A,0,0,0,0,0,0,G20PREDBID,219496
5000037A,1505,492,21,8,12,11,G20PREDBID,219496
9006246A,1154,751,14,11,11,3,G20PREDBID,219496
9006253A,1026,661,14,7,7,4,G20PREDBID,219496
6820015A,652,439,10,4,3,3,G20PREDBID,219496
6220073A,72,41,0,0,0,0,G20PREDBID,219496
3550101A,1087,1174,21,8,9,7,G20PREDBID,219496
6220077A,1157,1114,16,3,2,3,G20PREDBID,219496
5000045A,867,504,14,5,6,3,G20PREDBID,219496
3550007A,1203,498,17,7,14,18,G20PREDBID,219496
9006421A,1071,632,12,7,9,1,G20PREDBID,219496
0050027A,0,1,0,0,0,0,G20PREDBID,219496
0090007C,0,2,0,0,0,0,G20PREDBID,219496
6820004C,0,0,0,0,0,0,G20PREDBID,219496
3550085A,0,0,0,0,0,0,G20PREDBID,219496
5000089A,1350,568,14,10,10,15,G20PREDBID,219496
1040042A,907,1231,20,11,6,3,G20PREDBID,219496
3550080A,1063,918,29,7,7,10,G20PREDBID,219496
3550059B,211,296,12,1,0,0,G20PREDBID,219496
6220057A,631,674,21,6,7,4,G20PREDBID,219496
5200042A,453,691,21,8,2,4,G20PREDBID,219496
6850032A,0,0,0,0,0,0,G20PREDBID,219496
1020017A,87,148,0,1,1,1,G20PREDBID,219496
6220058A,116,107,0,1,1,1,G20PREDBID,219496
0050026A,0,1,0,0,0,0,G20PREDBID,219496
6220162A,877,278,13,7,7,10,G20PREDBID,219496
6220004B,1323,1139,22,17,5,4,G20PREDBID,219496
6220094B,1365,787,31,6,2,6,G20PREDBID,219496
5000080A,1152,697,19,3,9,3,G20PREDBID,219496
1040001A,967,1064,30,8,8,5,G20PREDBID,219496
5400046A,847,1370,15,5,5,3,G20PREDBID,219496
6220092D,0,0,0,0,0,0,G20PREDBID,219496
6220006C,478,456,8,4,1,4,G20PREDBID,219496
6820009A,1470,970,26,10,6,7,G20PREDBID,219496
3550129A,1,0,0,0,0,0,G20PREDBID,219496
6220176A,438,451,11,2,1,2,G20PREDBID,219496
1020005C,6,16,0,0,0,0,G20PREDBID,219496
0050022A,21,33,1,0,1,0,G20PREDBID,219496
6220097A,288,256,12,5,4,0,G20PREDBID,219496
3550041A,1018,740,15,12,7,7,G20PREDBID,219496
0090002A,1,0,0,0,0,0,G20PREDBID,219496
2620001A,250,357,11,2,2,1,G20PREDBID,219496
0090005B,46,67,0,2,0,0,G20PREDBID,219496
6820007A,1298,1155,23,5,8,5,G20PREDBID,219496
6300004A,161,115,1,0,0,0,G20PREDBID,219496
3550082A,925,736,21,5,4,12,G20PREDBID,219496
0050059A,305,722,14,0,3,1,G20PREDBID,219496
6850024A,0,0,0,0,0,0,G20PREDBID,219496
3550044B,1022,1380,35,8,7,6,G20PREDBID,219496
