PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0205,1140,293,16,0,0,G20PRERTRU,85939
0104,512,97,4,1,0,G20PRERTRU,85939
0101,751,187,8,1,0,G20PRERTRU,85939
0103,974,161,16,2,0,G20PRERTRU,85939
0102,808,217,7,4,0,G20PRERTRU,85939
0314,1507,436,22,10,0,G20PRERTRU,85939
0206,391,78,3,1,0,G20PRERTRU,85939
0207,264,48,2,1,0,G20PRERTRU,85939
0208,499,85,4,2,0,G20PRERTRU,85939
0417,310,136,3,0,0,G20PRERTRU,85939
0416,699,216,6,1,0,G20PRERTRU,85939
0202,118,63,2,0,0,G20PRERTRU,85939
0313,356,307,9,4,0,G20PRERTRU,85939
0124,3410,1376,71,6,0,G20PRERTRU,85939
0103,181,18,0,1,0,G20PRERTRU,85939
0101,868,334,5,0,3,G20PRERTRU,85939
0201,427,28,2,0,1,G20PRERTRU,85939
0300,3180,1616,59,5,0,G20PRERTRU,85939
0102,567,532,10,2,0,G20PRERTRU,85939
0103,487,409,5,1,0,G20PRERTRU,85939
0309,41,1602,4,6,0,G20PRERTRU,85939
0310,217,737,10,10,0,G20PRERTRU,85939
0311,384,159,7,2,0,G20PRERTRU,85939
0104,314,172,0,2,0,G20PRERTRU,85939
0414,123,137,0,1,0,G20PRERTRU,85939
0415,725,257,17,7,0,G20PRERTRU,85939
0203,1116,300,17,1,2,G20PRERTRU,85939
0205,1401,494,25,5,3,G20PRERTRU,85939
0406,808,317,11,3,0,G20PRERTRU,85939
0208,995,147,10,2,4,G20PRERTRU,85939
0413,608,97,6,0,1,G20PRERTRU,85939
0414,557,81,8,1,1,G20PRERTRU,85939
001E,545,123,8,1,1,G20PRERTRU,85939
0002,141,29,4,0,0,G20PRERTRU,85939
001N,1131,469,9,2,4,G20PRERTRU,85939
0009,179,48,1,0,0,G20PRERTRU,85939
0006,302,76,1,1,3,G20PRERTRU,85939
0007,401,84,2,2,0,G20PRERTRU,85939
0008,281,46,0,0,0,G20PRERTRU,85939
0020,486,97,4,3,0,G20PRERTRU,85939
0014,184,34,0,0,0,G20PRERTRU,85939
001W,429,143,8,1,1,G20PRERTRU,85939
0026,353,103,3,2,0,G20PRERTRU,85939
0021,179,30,0,0,0,G20PRERTRU,85939
0022,118,32,0,0,0,G20PRERTRU,85939
0024,169,31,0,0,1,G20PRERTRU,85939
0023,165,30,0,1,1,G20PRERTRU,85939
0404,416,187,6,1,1,G20PRERTRU,85939
0111,3033,1748,66,10,0,G20PRERTRU,85939
0720,2231,1673,58,13,0,G20PRERTRU,85939
0603,1997,1992,44,7,0,G20PRERTRU,85939
0249,638,2005,42,7,8,G20PRERTRU,85939
0321,185,403,6,1,2,G20PRERTRU,85939
0268,214,743,17,10,3,G20PRERTRU,85939
0260,214,973,15,9,3,G20PRERTRU,85939
0252,407,1847,38,11,2,G20PRERTRU,85939
0236,353,2401,41,15,6,G20PRERTRU,85939
0246,374,1198,26,6,4,G20PRERTRU,85939
0103,286,861,19,7,6,G20PRERTRU,85939
0312,1038,213,9,9,0,G20PRERTRU,85939
0208,703,299,10,9,0,G20PRERTRU,85939
0320,1306,205,12,0,3,G20PRERTRU,85939
0410,791,158,5,3,1,G20PRERTRU,85939
0768,1428,705,18,5,0,G20PRERTRU,85939
0370,2491,1394,46,13,0,G20PRERTRU,85939
0688,2499,1049,47,10,0,G20PRERTRU,85939
0828,1126,470,26,4,0,G20PRERTRU,85939
0119,3054,1419,59,5,0,G20PRERTRU,85939
0734,2171,1534,33,7,0,G20PRERTRU,85939
0121,486,298,8,1,0,G20PRERTRU,85939
0336,575,1300,33,3,5,G20PRERTRU,85939
0326,656,1552,18,10,4,G20PRERTRU,85939
0242,661,4767,72,12,22,G20PRERTRU,85939
0241,254,1577,18,5,5,G20PRERTRU,85939
0149,160,1449,20,11,6,G20PRERTRU,85939
0235,285,2455,28,15,12,G20PRERTRU,85939
0313,318,184,9,1,0,G20PRERTRU,85939
0104,304,763,5,0,6,G20PRERTRU,85939
0121,38,26,3,0,0,G20PRERTRU,85939
0115,536,163,5,1,1,G20PRERTRU,85939
0117,11,36,0,0,0,G20PRERTRU,85939
0010,425,70,1,2,8,G20PRERTRU,85939
0012,255,77,2,0,0,G20PRERTRU,85939
0011,301,60,5,0,1,G20PRERTRU,85939
0013,423,112,6,2,0,G20PRERTRU,85939
0202,1017,214,7,3,3,G20PRERTRU,85939
0418,301,140,6,0,3,G20PRERTRU,85939
0307,834,328,11,0,2,G20PRERTRU,85939
0419,284,110,5,2,0,G20PRERTRU,85939
0316,142,39,1,0,1,G20PRERTRU,85939
0419,511,228,8,1,0,G20PRERTRU,85939
0211,258,38,2,0,0,G20PRERTRU,85939
0312,451,40,4,1,0,G20PRERTRU,85939
0209,391,102,1,0,0,G20PRERTRU,85939
0210,477,87,0,1,0,G20PRERTRU,85939
0302,792,128,1,2,1,G20PRERTRU,85939
0303,392,63,5,1,1,G20PRERTRU,85939
0304,357,57,1,2,2,G20PRERTRU,85939
0004,495,117,1,2,3,G20PRERTRU,85939
0003,262,54,3,1,5,G20PRERTRU,85939
0005,167,15,0,0,0,G20PRERTRU,85939
0101,1141,425,8,3,4,G20PRERTRU,85939
0401,177,113,2,0,0,G20PRERTRU,85939
0901,0,0,0,0,0,G20PRERTRU,85939
0923,2228,1163,40,10,0,G20PRERTRU,85939
0127,0,0,0,0,0,G20PRERTRU,85939
0405,2256,952,36,3,0,G20PRERTRU,85939
0817,2736,1502,49,8,1,G20PRERTRU,85939
0691,2402,1082,39,10,0,G20PRERTRU,85939
0806,1317,940,35,7,0,G20PRERTRU,85939
0305,1002,279,3,2,3,G20PRERTRU,85939
2011,1202,758,29,5,8,G20PRERTRU,85939
2010,756,338,15,6,1,G20PRERTRU,85939
1004,869,760,25,9,5,G20PRERTRU,85939
0203,278,45,1,1,0,G20PRERTRU,85939
