PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,Winner,Winner Votes
6253001226,60,128,1,1,0,0,0,G20PREDBID,327060
7243101147,842,677,21,4,2,9,12,G20PREDBID,327060
7243101086,508,472,15,9,1,2,5,G20PREDBID,327060
7243401080,490,467,13,0,1,1,5,G20PREDBID,327060
7243101079,410,372,17,1,0,2,5,G20PREDBID,327060
6243101150,801,602,23,6,4,4,5,G20PREDBID,327060
6255601198,288,464,6,3,1,0,3,G20PREDBID,327060
6255601193,536,469,24,4,2,8,5,G20PREDBID,327060
6255601192,453,308,8,1,1,7,4,G20PREDBID,327060
6255601191,656,600,18,2,3,7,8,G20PREDBID,327060
6255601190,432,594,20,4,2,3,7,G20PREDBID,327060
6255601196,89,82,6,1,1,0,0,G20PREDBID,327060
6255601189,290,421,10,3,1,2,4,G20PREDBID,327060
6255601188,305,422,11,0,1,0,1,G20PREDBID,327060
6255601187,430,464,16,1,1,2,6,G20PREDBID,327060
7213001140,372,255,9,1,0,3,7,G20PREDBID,327060
6255601197,149,159,8,1,0,2,1,G20PREDBID,327060
7253001142,464,526,14,1,0,0,5,G20PREDBID,327060
6255601186,512,612,11,6,1,3,8,G20PREDBID,327060
6253001154,14,39,0,0,0,0,0,G20PREDBID,327060
6255601165,770,840,6,0,0,0,2,G20PREDBID,327060
6255601169,165,297,8,1,0,0,1,G20PREDBID,327060
7213001207,353,290,10,5,1,3,3,G20PREDBID,327060
7213001205,618,569,15,7,0,5,6,G20PREDBID,327060
6255601161,119,216,2,0,1,0,2,G20PREDBID,327060
6253001152,579,514,20,3,1,6,2,G20PREDBID,327060
7253001148,492,361,15,3,3,2,7,G20PREDBID,327060
7243101145,789,602,21,5,2,6,5,G20PREDBID,327060
6245601074,509,503,12,3,7,1,7,G20PREDBID,327060
6243401076,657,504,15,4,1,2,6,G20PREDBID,327060
7243401081,545,412,17,6,2,2,7,G20PREDBID,327060
7213001206,613,619,19,3,1,3,8,G20PREDBID,327060
6255601164,180,308,6,0,0,0,2,G20PREDBID,327060
6255601167,206,363,5,0,0,1,2,G20PREDBID,327060
6255601166,133,326,6,2,0,4,2,G20PREDBID,327060
6253001157,463,400,10,4,3,2,7,G20PREDBID,327060
6253001156,443,388,5,1,1,4,3,G20PREDBID,327060
6253001155,176,173,1,1,0,1,3,G20PREDBID,327060
6243101151,687,581,24,1,0,1,4,G20PREDBID,327060
6253101158,472,455,17,1,2,3,3,G20PREDBID,327060
6255601168,329,362,11,1,0,0,4,G20PREDBID,327060
6255601181,531,596,19,2,0,5,8,G20PREDBID,327060
6255601180,385,512,22,2,1,3,6,G20PREDBID,327060
6255601179,47,49,1,0,1,0,0,G20PREDBID,327060
6255601174,159,288,7,3,1,2,2,G20PREDBID,327060
6255601183,139,181,11,0,0,3,2,G20PREDBID,327060
6255601185,233,331,10,0,1,2,2,G20PREDBID,327060
6255601184,133,167,5,2,0,0,5,G20PREDBID,327060
6255601182,340,397,14,1,1,4,3,G20PREDBID,327060
6255601195,218,242,5,1,0,2,0,G20PREDBID,327060
6255601194,171,223,11,0,2,1,1,G20PREDBID,327060
7213001204,344,297,8,2,1,4,0,G20PREDBID,327060
7213001199,347,409,7,3,1,3,3,G20PREDBID,327060
7213001202,286,295,7,2,0,4,3,G20PREDBID,327060
7243101078,276,242,10,1,2,3,3,G20PREDBID,327060
7243101149,541,490,25,3,2,1,7,G20PREDBID,327060
6253001153,376,427,20,0,5,3,1,G20PREDBID,327060
6243401077,431,371,16,1,0,1,4,G20PREDBID,327060
6243401075,279,297,16,2,1,0,4,G20PREDBID,327060
6243401252,832,612,19,4,5,0,10,G20PREDBID,327060
6253001231,1196,269,9,5,2,0,11,G20PREDBID,327060
6253001230,1040,255,16,12,2,8,9,G20PREDBID,327060
6255601173,32,49,0,0,0,0,0,G20PREDBID,327060
6245601071,416,381,26,2,1,4,4,G20PREDBID,327060
6253001229,762,206,8,4,2,6,8,G20PREDBID,327060
6253001232,1194,303,24,3,3,6,12,G20PREDBID,327060
6253001233,898,297,12,2,2,5,8,G20PREDBID,327060
6253001234,646,275,7,2,0,4,9,G20PREDBID,327060
6253001237,549,233,5,4,2,4,8,G20PREDBID,327060
6253001238,673,344,15,1,5,3,6,G20PREDBID,327060
6253001243,258,655,4,0,1,1,4,G20PREDBID,327060
7213001225,70,122,5,0,0,2,4,G20PREDBID,327060
4253001245,72,279,5,0,0,0,1,G20PREDBID,327060
6253001242,132,303,8,1,1,0,2,G20PREDBID,327060
4255601241,9,31,0,0,0,0,0,G20PREDBID,327060
6253001239,608,320,12,7,3,0,9,G20PREDBID,327060
6245601072,330,383,11,4,0,2,0,G20PREDBID,327060
6255601170,612,453,15,3,5,4,6,G20PREDBID,327060
6255601171,623,540,19,2,2,5,17,G20PREDBID,327060
6255601172,121,125,1,0,0,2,0,G20PREDBID,327060
6255601227,106,223,5,0,0,0,0,G20PREDBID,327060
6255601228,295,586,8,3,2,2,1,G20PREDBID,327060
6255601244,183,647,6,1,4,3,1,G20PREDBID,327060
4255601247,187,699,17,1,3,2,7,G20PREDBID,327060
6255601162,330,604,5,0,3,1,1,G20PREDBID,327060
6253001236,731,323,6,3,5,2,8,G20PREDBID,327060
6253001235,400,127,6,4,2,2,3,G20PREDBID,327060
6253001253,378,70,10,2,1,1,0,G20PREDBID,327060
6255601175,540,712,25,2,9,3,4,G20PREDBID,327060
6255601176,179,271,7,0,3,0,3,G20PREDBID,327060
6255601177,174,311,10,2,3,1,2,G20PREDBID,327060
6255601178,24,18,0,0,0,0,0,G20PREDBID,327060
6255601163,190,386,11,5,0,1,4,G20PREDBID,327060
6245601160,232,317,4,0,0,0,1,G20PREDBID,327060
7243501069,658,559,17,1,0,6,3,G20PREDBID,327060
6293603546,577,260,14,6,2,5,6,G20PREDBID,327060
6294203526,471,179,11,2,1,1,9,G20PREDBID,327060
6294203525,497,173,6,0,0,3,2,G20PREDBID,327060
6293603547,497,336,8,1,0,0,3,G20PREDBID,327060
6294203507,481,153,11,0,1,1,3,G20PREDBID,327060
6293603545,211,57,4,1,2,3,0,G20PREDBID,327060
6294203533,780,240,11,2,2,0,4,G20PREDBID,327060
6263803152,505,285,5,1,1,1,7,G20PREDBID,327060
6294203524,490,193,14,4,1,3,4,G20PREDBID,327060
6294203532,656,139,11,5,0,6,6,G20PREDBID,327060
6294203510,377,190,11,5,0,3,2,G20PREDBID,327060
6294203509,367,164,5,0,0,2,2,G20PREDBID,327060
6294203523,736,326,8,6,5,0,10,G20PREDBID,327060
6294203512,622,156,4,2,1,0,5,G20PREDBID,327060
6294203513,607,155,7,5,1,5,3,G20PREDBID,327060
6293603544,795,207,8,5,1,5,3,G20PREDBID,327060
6294203535,556,215,2,0,1,4,2,G20PREDBID,327060
6294203534,608,123,16,4,0,2,5,G20PREDBID,327060
