PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
4046,1099,1310,24,10,6,G20PRERTRU,127910
4064,421,413,9,3,2,G20PRERTRU,127910
3041,1061,465,13,2,0,G20PRERTRU,127910
3063,1799,777,25,2,8,G20PRERTRU,127910
1087,939,656,16,2,13,G20PRERTRU,127910
0417,722,976,16,4,0,G20PRERTRU,127910
0996,261,276,7,0,0,G20PRERTRU,127910
0655,1636,1673,45,8,0,G20PRERTRU,127910
0349,537,404,17,5,0,G20PRERTRU,127910
0782,960,744,24,8,0,G20PRERTRU,127910
0845,130,88,0,0,0,G20PRERTRU,127910
3053,1,0,0,0,0,G20PRERTRU,127910
4140,1318,1139,22,10,7,G20PRERTRU,127910
4029,882,577,23,9,10,G20PRERTRU,127910
4020,1425,881,29,3,10,G20PRERTRU,127910
4035,675,720,12,5,8,G20PRERTRU,127910
3104,2534,1687,42,11,11,G20PRERTRU,127910
1001,843,518,8,11,6,G20PRERTRU,127910
4111,519,493,15,5,4,G20PRERTRU,127910
1073,524,331,7,3,1,G20PRERTRU,127910
1040,305,967,13,10,3,G20PRERTRU,127910
1018,1246,320,7,2,4,G20PRERTRU,127910
4045,610,795,15,10,3,G20PRERTRU,127910
1067,830,1464,17,6,1,G20PRERTRU,127910
1085,1136,1181,31,8,3,G20PRERTRU,127910
1072,61,17,0,0,0,G20PRERTRU,127910
1048,384,690,13,6,6,G20PRERTRU,127910
1120,1531,952,17,1,6,G20PRERTRU,127910
2016,1254,1568,17,18,11,G20PRERTRU,127910
0475,659,783,13,4,0,G20PRERTRU,127910
0476,769,876,18,8,0,G20PRERTRU,127910
0545,1694,1807,24,15,0,G20PRERTRU,127910
1097,1894,2031,53,6,19,G20PRERTRU,127910
1015,742,246,4,4,0,G20PRERTRU,127910
1094,1,3,0,0,0,G20PRERTRU,127910
4117,1765,3052,52,16,8,G20PRERTRU,127910
4039,253,474,1,3,1,G20PRERTRU,127910
1141,1579,1371,17,6,6,G20PRERTRU,127910
4027,0,1,0,0,0,G20PRERTRU,127910
3038,2332,2011,54,9,19,G20PRERTRU,127910
3132,2027,1820,42,12,16,G20PRERTRU,127910
4107,927,641,10,5,5,G20PRERTRU,127910
4121,205,340,3,1,7,G20PRERTRU,127910
4105,767,965,17,8,4,G20PRERTRU,127910
1074,1188,1646,34,7,10,G20PRERTRU,127910
3083,1267,2261,34,9,12,G20PRERTRU,127910
3133,1798,1211,42,4,11,G20PRERTRU,127910
4011,658,552,17,4,3,G20PRERTRU,127910
4119,1420,1154,18,8,7,G20PRERTRU,127910
4110,902,1038,20,10,5,G20PRERTRU,127910
4124,1119,2098,22,12,7,G20PRERTRU,127910
4125,1111,1969,26,8,1,G20PRERTRU,127910
4026,1127,1244,20,10,8,G20PRERTRU,127910
4080,478,634,11,3,4,G20PRERTRU,127910
4042,515,285,7,1,3,G20PRERTRU,127910
4129,2310,3227,32,12,20,G20PRERTRU,127910
1128,1790,1015,23,4,8,G20PRERTRU,127910
4135,2053,3252,40,19,20,G20PRERTRU,127910
4102,692,1133,9,6,5,G20PRERTRU,127910
4044,1370,1758,21,5,6,G20PRERTRU,127910
4084,546,665,8,0,7,G20PRERTRU,127910
4047,253,397,5,1,2,G20PRERTRU,127910
4131,714,688,16,4,5,G20PRERTRU,127910
1037,915,730,8,13,2,G20PRERTRU,127910
3095,1506,1727,35,11,12,G20PRERTRU,127910
3142,1787,1549,48,3,12,G20PRERTRU,127910
3143,2778,2480,56,15,12,G20PRERTRU,127910
3144,1991,1418,34,6,11,G20PRERTRU,127910
3005,2520,933,26,3,13,G20PRERTRU,127910
1103,2703,1723,42,13,12,G20PRERTRU,127910
1118,2808,2882,43,11,19,G20PRERTRU,127910
1152,713,511,4,3,3,G20PRERTRU,127910
1025,1700,1319,33,14,5,G20PRERTRU,127910
1013,991,929,24,11,3,G20PRERTRU,127910
2061,1692,2219,36,6,9,G20PRERTRU,127910
1054,169,116,6,4,0,G20PRERTRU,127910
1012,764,675,20,7,2,G20PRERTRU,127910
3057,2267,1752,41,9,11,G20PRERTRU,127910
4079,156,190,3,1,2,G20PRERTRU,127910
1076,1474,2619,27,20,13,G20PRERTRU,127910
1007,2993,3724,84,22,14,G20PRERTRU,127910
3145,1137,1002,22,4,2,G20PRERTRU,127910
3146,2566,2394,49,18,16,G20PRERTRU,127910
3149,3447,919,39,3,9,G20PRERTRU,127910
1154,992,1256,24,10,5,G20PRERTRU,127910
3159,1142,1079,27,4,6,G20PRERTRU,127910
4158,588,1353,5,3,2,G20PRERTRU,127910
0537,1889,905,13,5,0,G20PRERTRU,127910
0762,1148,1383,13,7,1,G20PRERTRU,127910
0028,1815,1296,50,5,1,G20PRERTRU,127910
0013,1820,1342,53,14,4,G20PRERTRU,127910
0046,2090,1135,57,7,0,G20PRERTRU,127910
0047,1201,788,29,6,0,G20PRERTRU,127910
0018,2373,1172,45,5,4,G20PRERTRU,127910
0036,710,397,8,2,1,G20PRERTRU,127910
0060,1681,1815,49,11,0,G20PRERTRU,127910
0039,1993,910,42,9,1,G20PRERTRU,127910
0037,1542,1016,34,4,0,G20PRERTRU,127910
0059,1206,2630,40,13,1,G20PRERTRU,127910
0066,978,2064,21,10,3,G20PRERTRU,127910
0029,1056,1692,22,6,0,G20PRERTRU,127910
0041,652,984,24,3,0,G20PRERTRU,127910
0058,913,1558,21,6,1,G20PRERTRU,127910
0044,1249,2010,39,10,2,G20PRERTRU,127910
0062,1227,1805,35,8,0,G20PRERTRU,127910
