PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
6273703285,275,301,26,4,9,5,G16PREDCLI,241248
6273703331,229,297,36,1,2,2,G16PREDCLI,241248
6283603369,342,316,48,5,4,9,G16PREDCLI,241248
6293603374,600,622,80,13,14,10,G16PREDCLI,241248
6295603375,316,424,33,6,13,9,G16PREDCLI,241248
6273703334,679,664,88,25,29,7,G16PREDCLI,241248
6295603330,686,692,56,10,11,9,G16PREDCLI,241248
6273603335,620,509,64,9,17,7,G16PREDCLI,241248
6273603336,530,524,74,6,27,14,G16PREDCLI,241248
6273603368,259,200,39,8,4,1,G16PREDCLI,241248
6283603351,606,613,90,6,23,15,G16PREDCLI,241248
6283603342,634,559,79,12,9,16,G16PREDCLI,241248
6283603340,521,438,53,9,22,9,G16PREDCLI,241248
4283603350,0,0,0,0,0,0,G16PREDCLI,241248
4293603358,10,11,3,0,0,0,G16PREDCLI,241248
6293603345,148,132,8,2,5,2,G16PREDCLI,241248
6284003311,724,452,59,11,9,10,G16PREDCLI,241248
6283603344,647,550,60,10,7,10,G16PREDCLI,241248
6293603551,344,171,25,7,2,5,G16PREDCLI,241248
6283603561,0,0,0,0,0,0,G16PREDCLI,241248
6293603557,712,450,82,11,18,16,G16PREDCLI,241248
6293603556,497,343,62,7,10,13,G16PREDCLI,241248
6284003310,812,368,54,20,4,23,G16PREDCLI,241248
6284003312,763,384,74,26,20,25,G16PREDCLI,241248
4283603348,0,0,0,0,0,0,G16PREDCLI,241248
6295603355,537,529,68,5,10,11,G16PREDCLI,241248
6260303153,595,377,84,22,14,17,G16PREDCLI,241248
6283603372,625,631,84,10,23,16,G16PREDCLI,241248
6264103413,608,166,48,19,10,8,G16PREDCLI,241248
6260303231,883,648,117,24,14,4,G16PREDCLI,241248
6260303232,716,564,41,7,9,5,G16PREDCLI,241248
6263803173,615,549,62,9,25,8,G16PREDCLI,241248
6264103404,208,54,16,6,2,4,G16PREDCLI,241248
6264103407,950,423,95,35,6,8,G16PREDCLI,241248
6264103409,523,142,24,8,2,3,G16PREDCLI,241248
6264103408,1203,308,60,23,10,15,G16PREDCLI,241248
6260303229,534,430,45,1,15,4,G16PREDCLI,241248
1260303135,174,137,17,3,3,0,G16PREDCLI,241248
6293603548,224,55,10,6,2,4,G16PREDCLI,241248
6293603549,224,112,16,9,1,5,G16PREDCLI,241248
6294203530,483,128,31,8,8,9,G16PREDCLI,241248
6294203531,365,145,21,15,4,12,G16PREDCLI,241248
6294203529,142,33,10,6,1,1,G16PREDCLI,241248
6294203527,488,209,33,15,9,8,G16PREDCLI,241248
6294203506,574,181,32,11,1,13,G16PREDCLI,241248
6294203528,229,98,20,8,5,6,G16PREDCLI,241248
6294203517,351,156,18,12,1,6,G16PREDCLI,241248
6294203503,782,209,45,26,8,7,G16PREDCLI,241248
6294203514,370,111,23,12,4,5,G16PREDCLI,241248
6294203516,335,154,18,11,3,5,G16PREDCLI,241248
6294203505,455,143,24,16,6,10,G16PREDCLI,241248
6294203511,564,125,21,13,7,10,G16PREDCLI,241248
6264103416,738,412,41,14,16,14,G16PREDCLI,241248
6294203504,434,140,26,10,2,2,G16PREDCLI,241248
6264103411,765,227,37,22,9,7,G16PREDCLI,241248
6264103405,502,146,23,15,8,2,G16PREDCLI,241248
6264003255,515,287,49,12,6,7,G16PREDCLI,241248
6264103406,272,70,20,10,1,2,G16PREDCLI,241248
6264103419,494,306,18,5,4,9,G16PREDCLI,241248
6264103423,702,349,59,18,10,7,G16PREDCLI,241248
6264103414,469,217,27,15,7,10,G16PREDCLI,241248
6260303254,210,137,20,4,4,2,G16PREDCLI,241248
6264003424,0,0,0,0,0,0,G16PREDCLI,241248
6273803189,464,408,50,8,23,11,G16PREDCLI,241248
6273803188,272,237,36,0,14,7,G16PREDCLI,241248
6273803191,432,461,68,5,22,3,G16PREDCLI,241248
6273803190,495,417,66,15,11,7,G16PREDCLI,241248
6273803217,376,299,54,14,10,7,G16PREDCLI,241248
6273803215,252,309,32,1,8,3,G16PREDCLI,241248
6273703241,491,319,42,4,17,8,G16PREDCLI,241248
6273703218,377,282,37,12,10,5,G16PREDCLI,241248
6273703240,611,451,74,12,22,7,G16PREDCLI,241248
6273703242,373,253,31,2,15,2,G16PREDCLI,241248
6295603326,393,807,31,5,8,15,G16PREDCLI,241248
6273703260,584,549,68,17,18,22,G16PREDCLI,241248
4295603357,0,0,0,0,0,0,G16PREDCLI,241248
6295603376,493,665,31,2,4,6,G16PREDCLI,241248
6295603356,101,137,16,2,1,3,G16PREDCLI,241248
6295603377,369,557,53,5,6,1,G16PREDCLI,241248
4293603361,0,0,0,0,0,0,G16PREDCLI,241248
6293603360,120,145,17,11,1,7,G16PREDCLI,241248
6293603550,28,29,2,4,0,1,G16PREDCLI,241248
6293603346,461,506,66,5,5,13,G16PREDCLI,241248
6264103425,629,320,51,12,16,10,G16PREDCLI,241248
6263803170,461,472,71,17,21,10,G16PREDCLI,241248
6263803147,323,409,45,6,9,11,G16PREDCLI,241248
6263803148,217,272,21,5,6,1,G16PREDCLI,241248
6263803144,286,340,33,5,17,9,G16PREDCLI,241248
6263803146,305,362,39,1,5,4,G16PREDCLI,241248
6263803142,404,330,44,9,13,7,G16PREDCLI,241248
1263803141,204,185,24,6,2,1,G16PREDCLI,241248
1260303122,285,238,36,9,6,4,G16PREDCLI,241248
1260303140,179,170,19,4,6,4,G16PREDCLI,241248
6260303253,693,598,62,12,11,5,G16PREDCLI,241248
6264103403,418,122,39,16,3,5,G16PREDCLI,241248
6273703243,889,648,117,20,26,10,G16PREDCLI,241248
6293603347,646,635,87,16,25,21,G16PREDCLI,241248
6264103415,0,0,0,0,0,0,G16PREDCLI,241248
6264103401,716,218,29,19,2,12,G16PREDCLI,241248
6263803176,425,329,41,5,11,8,G16PREDCLI,241248
6263803175,364,300,27,13,10,2,G16PREDCLI,241248
6264103410,636,226,15,12,5,5,G16PREDCLI,241248
