PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
6304318231,564,554,84,6,28,18,G16PREDCLI,241248
6303918253,363,343,41,1,17,6,G16PREDCLI,241248
6304318241,473,525,70,6,25,14,G16PREDCLI,241248
6043918310,227,391,38,4,6,6,G16PREDCLI,241248
6304318220,459,390,59,12,12,4,G16PREDCLI,241248
6304318234,359,448,51,8,19,6,G16PREDCLI,241248
6304318215,408,518,67,4,7,4,G16PREDCLI,241248
6304318240,444,477,70,13,25,15,G16PREDCLI,241248
6303918251,383,385,33,2,11,3,G16PREDCLI,241248
6304318229,463,474,70,7,13,6,G16PREDCLI,241248
6304318235,641,701,80,11,19,17,G16PREDCLI,241248
6304318226,458,554,64,4,24,0,G16PREDCLI,241248
6303918247,442,694,67,9,26,2,G16PREDCLI,241248
6304318227,720,840,81,11,25,9,G16PREDCLI,241248
6303918250,453,430,65,9,18,4,G16PREDCLI,241248
6304318230,386,468,59,6,10,9,G16PREDCLI,241248
6304318221,342,399,57,5,18,6,G16PREDCLI,241248
6304318214,229,355,42,0,9,4,G16PREDCLI,241248
6303918243,590,742,59,6,37,22,G16PREDCLI,241248
4304418245,684,927,73,11,13,13,G16PREDCLI,241248
6303918252,548,581,87,17,28,18,G16PREDCLI,241248
6303918255,382,488,38,6,15,3,G16PREDCLI,241248
6304318212,477,564,86,11,25,11,G16PREDCLI,241248
6303918265,310,525,36,2,13,4,G16PREDCLI,241248
6304318244,516,622,68,11,10,9,G16PREDCLI,241248
6304318248,366,502,40,9,15,7,G16PREDCLI,241248
6303918249,484,673,51,6,16,4,G16PREDCLI,241248
4043918317,200,480,36,3,7,6,G16PREDCLI,241248
6304318211,585,542,102,21,33,11,G16PREDCLI,241248
4303918104,123,348,16,4,2,3,G16PREDCLI,241248
6304318222,552,549,83,8,34,5,G16PREDCLI,241248
6304318242,431,402,34,18,13,15,G16PREDCLI,241248
6304318228,361,442,19,5,18,2,G16PREDCLI,241248
6304318216,310,408,31,1,16,5,G16PREDCLI,241248
6304318224,580,702,73,18,23,10,G16PREDCLI,241248
6304318223,659,715,81,15,28,20,G16PREDCLI,241248
6304318237,448,621,62,11,31,11,G16PREDCLI,241248
6304318210,829,757,73,16,16,19,G16PREDCLI,241248
6304318213,429,544,45,6,20,4,G16PREDCLI,241248
6304318217,416,484,56,5,19,8,G16PREDCLI,241248
4304418232,385,502,44,6,19,7,G16PREDCLI,241248
6303918254,732,849,88,8,45,11,G16PREDCLI,241248
6304318239,718,755,85,6,26,12,G16PREDCLI,241248
6304318236,724,820,79,18,29,9,G16PREDCLI,241248
6304318202,522,792,56,7,21,8,G16PREDCLI,241248
6303918256,333,415,25,5,8,5,G16PREDCLI,241248
6304318246,577,648,85,15,22,18,G16PREDCLI,241248
6304318219,386,411,63,7,12,6,G16PREDCLI,241248
6304318225,704,732,115,9,23,22,G16PREDCLI,241248
6304318238,448,599,66,2,12,8,G16PREDCLI,241248
4303918101,238,631,28,15,18,6,G16PREDCLI,241248
4304418208,438,353,61,19,6,3,G16PREDCLI,241248
6304318205,612,796,59,13,13,10,G16PREDCLI,241248
6304318204,429,428,71,8,12,12,G16PREDCLI,241248
6304318203,496,553,71,17,27,12,G16PREDCLI,241248
4044418304,385,587,78,16,11,21,G16PREDCLI,241248
4044418302,585,661,115,17,30,15,G16PREDCLI,241248
4043918306,254,615,44,5,10,6,G16PREDCLI,241248
6043918305,296,610,40,8,18,2,G16PREDCLI,241248
4304418206,310,472,56,12,19,14,G16PREDCLI,241248
6304318201,700,884,54,11,6,10,G16PREDCLI,241248
4304418301,779,777,99,28,20,16,G16PREDCLI,241248
4016362314,396,493,71,16,1,23,G16PREDCLI,241248
4136362304,385,682,49,9,9,11,G16PREDCLI,241248
4016362327,403,708,96,19,21,19,G16PREDCLI,241248
4236362305,202,509,31,10,11,1,G16PREDCLI,241248
4136362300,298,648,35,12,4,16,G16PREDCLI,241248
4016362311,273,1313,66,9,16,15,G16PREDCLI,241248
4016362310,355,1069,60,12,10,17,G16PREDCLI,241248
1330716714,642,66,11,15,3,7,G16PREDCLI,241248
1330716734,717,146,27,15,5,10,G16PREDCLI,241248
1330716726,629,65,10,9,4,8,G16PREDCLI,241248
1330716725,589,79,20,9,0,9,G16PREDCLI,241248
1330716737,554,156,20,15,8,2,G16PREDCLI,241248
1330716741,613,122,32,14,2,5,G16PREDCLI,241248
1330716739,566,147,8,10,3,5,G16PREDCLI,241248
1330716738,624,132,18,7,4,7,G16PREDCLI,241248
1330716731,832,256,42,16,4,9,G16PREDCLI,241248
1330716732,556,126,20,11,1,1,G16PREDCLI,241248
1330716740,606,125,14,4,2,4,G16PREDCLI,241248
1330716742,398,122,39,10,3,3,G16PREDCLI,241248
1310616650,627,225,27,7,2,6,G16PREDCLI,241248
1310616649,923,260,58,36,5,7,G16PREDCLI,241248
1310916906,704,228,34,11,6,3,G16PREDCLI,241248
1310616631,1110,271,85,18,17,14,G16PREDCLI,241248
1310616646,797,232,54,12,7,12,G16PREDCLI,241248
1310616651,627,246,48,22,7,6,G16PREDCLI,241248
1330816840,391,80,24,3,2,2,G16PREDCLI,241248
1330816838,670,122,41,26,12,5,G16PREDCLI,241248
1330616604,853,167,44,19,4,6,G16PREDCLI,241248
1310616615,633,176,36,4,16,5,G16PREDCLI,241248
1330716708,1014,168,67,5,8,2,G16PREDCLI,241248
1330716707,615,126,28,5,7,2,G16PREDCLI,241248
1160116131,500,385,56,13,8,12,G16PREDCLI,241248
1310916938,515,357,48,11,4,5,G16PREDCLI,241248
1310916924,637,149,53,28,9,7,G16PREDCLI,241248
1310916923,739,336,55,25,3,16,G16PREDCLI,241248
1310916930,511,232,50,11,10,4,G16PREDCLI,241248
1310916934,464,194,36,12,6,3,G16PREDCLI,241248
1310916918,780,304,62,19,8,9,G16PREDCLI,241248
1310916919,751,386,26,11,16,14,G16PREDCLI,241248
1310916920,654,330,55,26,10,7,G16PREDCLI,241248
1310916921,865,333,74,28,7,9,G16PREDCLI,241248
1310916910,931,271,68,14,9,4,G16PREDCLI,241248
1310916909,794,248,32,15,11,6,G16PREDCLI,241248
