SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
481430,0,0,0,0,0,0,G20PREDBID,301053
430420,0,0,0,0,0,0,G20PREDBID,301053
430410,3,1,0,0,0,0,G20PREDBID,301053
430500,1,0,0,0,0,0,G20PREDBID,301053
430130,0,0,0,0,0,0,G20PREDBID,301053
481970,0,0,0,0,0,0,G20PREDBID,301053
431120,5,0,0,0,0,0,G20PREDBID,301053
430110,0,0,0,0,0,0,G20PREDBID,301053
481960,0,0,0,0,0,0,G20PREDBID,301053
430120,0,0,0,0,0,0,G20PREDBID,301053
430150,0,0,0,0,0,0,G20PREDBID,301053
481950,0,0,0,0,0,0,G20PREDBID,301053
481550,0,0,0,0,0,0,G20PREDBID,301053
431610,30,8,0,0,0,0,G20PREDBID,301053
447210,3,3,0,0,0,0,G20PREDBID,301053
431110,10,1,0,0,0,0,G20PREDBID,301053
420220,13,0,0,0,0,0,G20PREDBID,301053
481940,10,0,0,0,0,0,G20PREDBID,301053
482040,2,5,0,0,0,0,G20PREDBID,301053
491650,3,0,0,0,0,0,G20PREDBID,301053
431210,31,4,1,0,1,0,G20PREDBID,301053
481110,11,2,0,0,0,0,G20PREDBID,301053
520730,0,0,0,0,0,0,G20PREDBID,301053
835050,18,0,0,0,0,0,G20PREDBID,301053
447510,24,9,1,0,0,0,G20PREDBID,301053
839220,0,2,0,0,0,0,G20PREDBID,301053
456610,0,0,0,0,0,0,G20PREDBID,301053
454230,0,0,0,0,0,0,G20PREDBID,301053
420240,0,0,0,0,0,0,G20PREDBID,301053
834030,0,0,0,0,0,0,G20PREDBID,301053
482050,15,1,0,0,0,0,G20PREDBID,301053
831220,11,1,0,0,0,0,G20PREDBID,301053
394200,3,0,0,0,0,0,G20PREDBID,301053
443720,0,0,0,0,0,0,G20PREDBID,301053
839380,0,0,0,0,0,0,G20PREDBID,301053
454600,0,0,0,0,0,0,G20PREDBID,301053
430010,0,0,0,0,0,0,G20PREDBID,301053
431500,109,20,0,1,0,0,G20PREDBID,301053
821310,37,5,0,0,0,0,G20PREDBID,301053
430020,0,0,0,0,0,0,G20PREDBID,301053
424200,38,13,1,0,0,0,G20PREDBID,301053
484000,1,1,0,0,0,0,G20PREDBID,301053
491410,21,7,0,0,0,0,G20PREDBID,301053
520910,1,0,0,0,0,0,G20PREDBID,301053
480010,0,0,0,0,0,0,G20PREDBID,301053
420010,0,0,0,0,0,0,G20PREDBID,301053
520900,3,0,0,0,1,0,G20PREDBID,301053
510990,0,0,0,0,0,0,G20PREDBID,301053
454510,0,0,0,0,0,0,G20PREDBID,301053
510120,0,5,0,0,0,0,G20PREDBID,301053
835740,110,23,1,0,0,0,G20PREDBID,301053
420300,122,38,0,0,1,1,G20PREDBID,301053
535300,38,34,0,0,0,0,G20PREDBID,301053
447710,0,0,0,0,0,0,G20PREDBID,301053
470700,296,54,3,1,2,1,G20PREDBID,301053
490400,0,0,0,0,0,0,G20PREDBID,301053
431300,56,30,1,2,0,0,G20PREDBID,301053
430720,108,34,0,0,0,0,G20PREDBID,301053
423820,0,0,0,0,0,0,G20PREDBID,301053
535040,1,0,1,0,0,0,G20PREDBID,301053
420030,78,24,1,0,0,0,G20PREDBID,301053
454220,39,13,0,0,0,0,G20PREDBID,301053
442610,201,73,3,3,3,1,G20PREDBID,301053
430700,326,68,0,3,1,2,G20PREDBID,301053
491040,0,0,0,0,0,0,G20PREDBID,301053
443800,226,39,1,2,2,2,G20PREDBID,301053
535050,0,0,0,0,0,0,G20PREDBID,301053
364020,10,0,0,0,0,0,G20PREDBID,301053
535900,0,0,0,0,0,0,G20PREDBID,301053
443600,251,64,2,0,2,1,G20PREDBID,301053
870150,0,0,0,0,0,0,G20PREDBID,301053
482000,84,21,0,2,1,1,G20PREDBID,301053
430730,189,19,0,0,1,4,G20PREDBID,301053
870120,0,0,0,0,0,0,G20PREDBID,301053
431400,241,63,2,3,1,1,G20PREDBID,301053
839360,4,2,0,0,0,0,G20PREDBID,301053
443700,260,87,3,2,1,1,G20PREDBID,301053
447300,213,76,11,2,3,0,G20PREDBID,301053
510150,1,6,0,0,0,0,G20PREDBID,301053
476120,0,0,0,0,0,0,G20PREDBID,301053
423620,0,0,0,0,0,0,G20PREDBID,301053
447010,1,0,0,0,0,0,G20PREDBID,301053
835020,219,105,1,1,0,3,G20PREDBID,301053
443710,0,0,0,0,0,0,G20PREDBID,301053
839250,2,0,0,1,0,0,G20PREDBID,301053
