PREC_ID,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOWRI,Winner,Winner Votes
04-02,765,1508,25,10,3,6,G20PREDBID,383068
06-04,1497,2223,53,12,12,8,G20PREDBID,383068
06-06,2488,3350,111,16,9,27,G20PREDBID,383068
04-16,578,1309,40,4,2,4,G20PREDBID,383068
04-18,799,1783,42,8,2,14,G20PREDBID,383068
04-13,1473,2787,47,9,3,11,G20PREDBID,383068
04-15,761,1530,41,5,4,14,G20PREDBID,383068
06-05,1551,1393,27,4,5,13,G20PREDBID,383068
06-07,1323,1803,36,11,3,13,G20PREDBID,383068
06-08,770,1256,39,4,1,5,G20PREDBID,383068
07-01,452,1076,17,1,7,6,G20PREDBID,383068
07-04,1067,2623,59,18,5,17,G20PREDBID,383068
07-09,974,1982,33,5,3,18,G20PREDBID,383068
08-08,1568,2443,53,7,10,12,G20PREDBID,383068
08-10,849,1713,35,15,4,17,G20PREDBID,383068
08-11,1253,2430,38,8,6,11,G20PREDBID,383068
11-02,1381,2785,46,10,4,14,G20PREDBID,383068
08-06,439,1512,32,9,2,11,G20PREDBID,383068
08-07,1121,1274,30,6,1,7,G20PREDBID,383068
13-05,455,1452,21,7,5,7,G20PREDBID,383068
13-06,1057,1726,34,2,3,10,G20PREDBID,383068
13-08,514,2044,20,12,1,10,G20PREDBID,383068
16-10,556,3598,35,14,7,10,G20PREDBID,383068
17-01,616,1628,28,8,3,4,G20PREDBID,383068
17-02,625,826,23,1,3,11,G20PREDBID,383068
17-05,903,2530,34,9,6,7,G20PREDBID,383068
17-07,479,2689,26,13,8,7,G20PREDBID,383068
17-09,346,2938,23,9,3,8,G20PREDBID,383068
17-11,968,2920,30,14,4,11,G20PREDBID,383068
17-12,721,2289,35,6,2,9,G20PREDBID,383068
18-03,817,1373,29,2,3,4,G20PREDBID,383068
18-05,1941,2757,43,8,10,24,G20PREDBID,383068
18-08,1334,2532,52,16,4,7,G20PREDBID,383068
01-21,843,2679,44,13,3,15,G20PREDBID,383068
20-05,1584,2275,43,11,10,20,G20PREDBID,383068
20-08,1718,2706,63,12,6,23,G20PREDBID,383068
01-48,409,1531,28,6,3,4,G20PREDBID,383068
20-09,975,1563,42,1,4,13,G20PREDBID,383068
20-10,962,2003,27,5,5,11,G20PREDBID,383068
20-17,1361,2702,41,6,4,14,G20PREDBID,383068
20-06A,1646,2908,62,17,4,16,G20PREDBID,383068
20-06B,1323,1990,57,10,4,18,G20PREDBID,383068
16-04,1056,1395,25,4,4,4,G20PREDBID,383068
16-05,1016,1202,21,5,1,4,G20PREDBID,383068
20-16,1070,2661,35,14,2,7,G20PREDBID,383068
01-25,44,451,8,1,1,3,G20PREDBID,383068
07-05,576,1088,24,8,4,9,G20PREDBID,383068
PR29A,3211,2003,91,12,10,9,G20PREDBID,383068
PR31B,3155,2209,74,9,8,19,G20PREDBID,383068
04-01,656,1310,21,2,11,12,G20PREDBID,383068
07-02,540,984,16,1,2,7,G20PREDBID,383068
PR11B,2155,2026,54,13,8,14,G20PREDBID,383068
PR12A,2408,2011,45,10,6,7,G20PREDBID,383068
PR23B,1843,936,28,4,6,2,G20PREDBID,383068
PR08,3567,2124,57,16,8,11,G20PREDBID,383068
PR28,3638,1510,55,4,8,8,G20PREDBID,383068
01-12,559,1190,14,1,0,6,G20PREDBID,383068
32,2192,2930,46,5,7,17,G20PREDBID,383068
16-06,381,778,15,4,2,6,G20PREDBID,383068
20,969,634,17,2,2,4,G20PREDBID,383068
42,1016,810,17,6,2,5,G20PREDBID,383068
75,1852,2335,17,3,4,10,G20PREDBID,383068
02-01,1315,1620,33,4,1,13,G20PREDBID,383068
05-03,1385,2382,29,8,3,12,G20PREDBID,383068
17-10,380,711,8,1,2,4,G20PREDBID,383068
01-06,610,1971,32,9,3,9,G20PREDBID,383068
PR10B,1279,825,27,2,1,6,G20PREDBID,383068
01-07,483,1828,37,8,1,8,G20PREDBID,383068
01-07A,44,194,0,0,0,0,G20PREDBID,383068
07-03,541,934,23,3,4,6,G20PREDBID,383068
07-07,1225,2102,43,9,1,17,G20PREDBID,383068
07-07A,182,335,1,1,0,2,G20PREDBID,383068
07-11,416,655,11,2,8,9,G20PREDBID,383068
