PRECINCT_N,G20PRERTRU,G20PREDBID,G20PRELJOR,Winner,Winner Votes
02 BRANDYWINE,1404,1820,59,G20PREDBID,276144
01 BIG CREEK,5095,3871,126,G20PREDBID,276144
PINCKNEYVILLE D,327,935,15,G20PREDBID,276144
LAWRENCEVILLE A,941,1313,25,G20PREDBID,276144
BERKSHIRE F,564,873,28,G20PREDBID,276144
BERKSHIRE D,895,1293,49,G20PREDBID,276144
BERKSHIRE A,529,1033,16,G20PREDBID,276144
CATES A,949,762,36,G20PREDBID,276144
HOG MOUNTAIN B,1883,1622,36,G20PREDBID,276144
CATES N,1128,831,31,G20PREDBID,276144
BAYCREEK D,1481,1922,52,G20PREDBID,276144
BERKSHIRE E,789,767,24,G20PREDBID,276144
PUCKETTS E,1754,2112,42,G20PREDBID,276144
PUCKETTS A,2851,1562,81,G20PREDBID,276144
DUNCANS D,3387,2054,68,G20PREDBID,276144
SUWANEE A,549,680,26,G20PREDBID,276144
DACULA,1391,1976,50,G20PREDBID,276144
HARBINS A,2405,2782,80,G20PREDBID,276144
BERKSHIRE O,984,963,23,G20PREDBID,276144
RW21,1420,1186,41,G20PREDBID,276144
CATES L,1126,1840,43,G20PREDBID,276144
CATES C,671,1398,29,G20PREDBID,276144
CATES H,710,1779,22,G20PREDBID,276144
LAWRENCEVILLE J,467,1054,14,G20PREDBID,276144
PUCKETTS C,1383,1014,28,G20PREDBID,276144
SUWANEE D,2150,1627,53,G20PREDBID,276144
ROCKYCREEK B,1911,1758,71,G20PREDBID,276144
LAWRENCEVILLE G,563,1457,20,G20PREDBID,276144
PINCKNEYVILLE S,751,1418,37,G20PREDBID,276144
BERKSHIRE M,671,734,17,G20PREDBID,276144
BERKSHIRE J,990,1150,22,G20PREDBID,276144
DUNCANS A,2326,1435,39,G20PREDBID,276144
GOODWINS I,877,1033,32,G20PREDBID,276144
LAWRENCEVILLE D,621,2101,37,G20PREDBID,276144
PINCKNEYVILLE T,802,1257,45,G20PREDBID,276144
BERKSHIRE H,447,768,10,G20PREDBID,276144
GOODWINS E,1682,2190,73,G20PREDBID,276144
PINCKNEYVILLE P,649,972,26,G20PREDBID,276144
BERKSHIRE P,321,561,17,G20PREDBID,276144
PINCKNEYVILLE H,1485,1980,42,G20PREDBID,276144
PINCKNEYVILLE F,452,1065,27,G20PREDBID,276144
PINCKNEYVILLE W,1069,1711,54,G20PREDBID,276144
PINCKNEYVILLE M,1265,950,37,G20PREDBID,276144
LAWRENCEVILLE F,681,2077,34,G20PREDBID,276144
MARTINS D,342,1023,9,G20PREDBID,276144
PINCKNEYVILLE Q,192,939,10,G20PREDBID,276144
PINCKNEYVILLE U,528,955,12,G20PREDBID,276144
CATES J,953,1592,42,G20PREDBID,276144
PINCKNEYVILLE J,265,1200,15,G20PREDBID,276144
HOG MOUNTAIN C,1566,1442,48,G20PREDBID,276144
SUGAR HILL F,1568,1379,53,G20PREDBID,276144
SUGAR HILL C,2225,1595,69,G20PREDBID,276144
GOODWINS D,1355,1658,52,G20PREDBID,276144
LAWRENCEVILLE C,1174,982,42,G20PREDBID,276144
MARTINS K,892,2690,35,G20PREDBID,276144
DULUTH I,1825,1986,22,G20PREDBID,276144
BERKSHIRE Q,626,652,19,G20PREDBID,276144
BAYCREEK I,1408,2639,55,G20PREDBID,276144
LAWRENCEVILLE L,1258,2201,34,G20PREDBID,276144
SUWANEE F,1375,1550,41,G20PREDBID,276144
BAYCREEK E,839,1425,28,G20PREDBID,276144
DULUTH K,318,1116,26,G20PREDBID,276144
LAWRENCEVILLE H,1429,1692,52,G20PREDBID,276144
CATES K,970,1138,26,G20PREDBID,276144
BAYCREEK J,960,2274,25,G20PREDBID,276144
SUWANEE G,1233,1676,50,G20PREDBID,276144
SUGAR HILL G,1316,891,32,G20PREDBID,276144
SUWANEE H,1876,1203,44,G20PREDBID,276144
DULUTH H,894,1167,37,G20PREDBID,276144
SUWANEE C,1859,2190,55,G20PREDBID,276144
PUCKETTS D,1531,1147,37,G20PREDBID,276144
ROCKYCREEK C,1836,1793,58,G20PREDBID,276144
GOODWINS H,850,1143,36,G20PREDBID,276144
PINCKNEYVILLE A1,1228,1041,36,G20PREDBID,276144
PINCKNEYVILLE Z,873,722,28,G20PREDBID,276144
CATES D,1167,1637,30,G20PREDBID,276144
LAWRENCEVILLE M,1114,3651,58,G20PREDBID,276144
LAWRENCEVILLE K,1139,1327,39,G20PREDBID,276144
SUWANEE E,1832,1541,50,G20PREDBID,276144
BAYCREEK H,2229,3025,56,G20PREDBID,276144
BAYCREEK F,1003,2353,56,G20PREDBID,276144
BAYCREEK G,1332,3216,43,G20PREDBID,276144
CATES F,750,652,18,G20PREDBID,276144
LAWRENCEVILLE N,609,994,27,G20PREDBID,276144
LAWRENCEVILLE E,793,860,19,G20PREDBID,276144
FREEHOME,3596,1016,78,G20PREDBID,276144
ROBERTS,3154,1025,57,G20PREDBID,276144
LOGANVILLE NORTH,2559,993,50,G20PREDBID,276144
BOLD SPRINGS,2969,738,40,G20PREDBID,276144
DULUTH C,680,887,31,G20PREDBID,276144
SUGAR HILL D,1796,1439,61,G20PREDBID,276144
DULUTH E,965,2372,42,G20PREDBID,276144
PINCKNEYVILLE O,480,1461,26,G20PREDBID,276144
DULUTH D,1204,2076,39,G20PREDBID,276144
PINCKNEYVILLE N,383,1922,37,G20PREDBID,276144
PINCKNEYVILLE K,489,1694,23,G20PREDBID,276144
BAYCREEK K,1166,1697,41,G20PREDBID,276144
DULUTH G,1137,1146,43,G20PREDBID,276144
BERKSHIRE L,551,1514,37,G20PREDBID,276144
PUCKETTS B,1391,957,23,G20PREDBID,276144
LAWRENCEVILLE I,774,1368,41,G20PREDBID,276144
MARTINS F,421,1076,18,G20PREDBID,276144
GOODWINS G,502,1231,23,G20PREDBID,276144
PINCKNEYVILLE Y,371,1393,13,G20PREDBID,276144
HOG MOUNTAIN A,1326,2110,51,G20PREDBID,276144
SUGAR HILL E,1373,1238,52,G20PREDBID,276144
SUGAR HILL B,2087,1854,74,G20PREDBID,276144
PINCKNEYVILLE X,1130,1509,35,G20PREDBID,276144
SUWANEE B,1725,1818,59,G20PREDBID,276144
CATES G,1209,1133,25,G20PREDBID,276144
CATES B,639,531,25,G20PREDBID,276144
GOODWINS B,1478,1443,59,G20PREDBID,276144
MARTINS H,1171,2161,35,G20PREDBID,276144
HOG MOUNTAIN D,1192,1058,31,G20PREDBID,276144
CATES O,521,589,9,G20PREDBID,276144
SUGAR HILL A,1598,1389,47,G20PREDBID,276144
PINCKNEYVILLE I,434,1154,20,G20PREDBID,276144
PINCKNEYVILLE E,277,1017,20,G20PREDBID,276144
DULUTH B,1145,1312,32,G20PREDBID,276144
CATES E,1041,1287,45,G20PREDBID,276144
16 OTWELL,3520,1270,82,G20PREDBID,276144
03 BROWNS BRIDGE,6123,1850,147,G20PREDBID,276144
34 FOWLER,2227,1648,57,G20PREDBID,276144
08 MASHBURN,4633,1949,128,G20PREDBID,276144
36 NICHOLS,3306,2379,97,G20PREDBID,276144
35 JOHNS CREEK,3539,3167,80,G20PREDBID,276144
19 OLD ATLANTA,1811,1169,29,G20PREDBID,276144
05 COAL MOUNTAIN,4346,1577,111,G20PREDBID,276144
25 WINDERMERE,4599,3233,89,G20PREDBID,276144
37 SAWNEE,6399,3008,145,G20PREDBID,276144
10 MIDWAY,6381,3141,145,G20PREDBID,276144
FRIENDSHIP I,5056,1834,94,G20PREDBID,276144
LOGANVILLE SOUTH,1797,830,38,G20PREDBID,276144
21 SOUTH FORSYTH,4434,2297,73,G20PREDBID,276144
FRIENDSHIP II,1825,585,36,G20PREDBID,276144
GOODWINS A,1101,1622,36,G20PREDBID,276144
BAYCREEK B,1179,2998,46,G20PREDBID,276144
BAYCREEK A,1062,1041,36,G20PREDBID,276144
29 POLO,5441,3281,119,G20PREDBID,276144
07 CUMMING,2989,1332,79,G20PREDBID,276144
DULUTH A,1479,2301,68,G20PREDBID,276144
DORAVILLE NORTH,473,1398,25,G20PREDBID,276144
OAKCLIFF ELEM,377,913,13,G20PREDBID,276144
JC06,967,1094,23,G20PREDBID,276144
JC13A,1067,768,13,G20PREDBID,276144
JC13B,156,76,3,G20PREDBID,276144
JC01,1197,2238,27,G20PREDBID,276144
JC19,1362,1794,59,G20PREDBID,276144
JC03B,445,777,21,G20PREDBID,276144
JC12,1328,907,26,G20PREDBID,276144
JC01A,376,664,4,G20PREDBID,276144
JC02,897,1306,17,G20PREDBID,276144
ML05,1794,1869,32,G20PREDBID,276144
ML06B,774,1431,28,G20PREDBID,276144
JC04A,1070,1522,20,G20PREDBID,276144
AP05,1857,1927,38,G20PREDBID,276144
JC04C,361,596,21,G20PREDBID,276144
ML06A,446,939,18,G20PREDBID,276144
AP12B,201,406,9,G20PREDBID,276144
ML07B,841,476,15,G20PREDBID,276144
LAWRENCEVILLE B,1056,2428,30,G20PREDBID,276144
CATES M,1533,1647,46,G20PREDBID,276144
CATES I,1123,1606,41,G20PREDBID,276144
BAYCREEK C,1710,3086,53,G20PREDBID,276144
MARTINS B,654,1301,18,G20PREDBID,276144
MARTINS C,682,1092,26,G20PREDBID,276144
MARTINS G,437,1065,23,G20PREDBID,276144
GOODWINS C,1217,2609,43,G20PREDBID,276144
PINCKNEYVILLE C,741,889,19,G20PREDBID,276144
PINCKNEYVILLE B,532,1447,17,G20PREDBID,276144
DULUTH F,868,2872,47,G20PREDBID,276144
MARTINS E,474,2766,41,G20PREDBID,276144
MARTINS A,516,1521,19,G20PREDBID,276144
MARTINS J,514,1948,28,G20PREDBID,276144
GOODWINS F,877,1325,37,G20PREDBID,276144
PINCKNEYVILLE L,1089,898,38,G20PREDBID,276144
PINCKNEYVILLE A,362,1283,12,G20PREDBID,276144
MARTINS I,766,1719,31,G20PREDBID,276144
SS01,2038,1807,51,G20PREDBID,276144
WINTERS CHAPEL,532,652,19,G20PREDBID,276144
PLEASANTDALE ROAD,394,2068,42,G20PREDBID,276144
NORTH PEACHTREE,345,851,22,G20PREDBID,276144
