SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
3350,585,196,9,3,1,3,G20PREDBID,375752
3464,51,6,0,0,0,0,G20PREDBID,375752
3465,165,31,3,2,1,0,G20PREDBID,375752
4803,179,32,5,0,1,0,G20PREDBID,375752
4804,48,14,0,0,0,0,G20PREDBID,375752
4805,115,23,4,1,0,1,G20PREDBID,375752
4807,114,26,3,0,1,2,G20PREDBID,375752
4808,78,7,2,2,0,3,G20PREDBID,375752
4809,141,35,1,3,0,0,G20PREDBID,375752
4810,384,73,4,3,0,0,G20PREDBID,375752
4811,314,70,4,0,1,0,G20PREDBID,375752
3463,27,5,1,0,0,0,G20PREDBID,375752
4813,414,79,5,4,0,2,G20PREDBID,375752
4814,365,95,7,3,1,1,G20PREDBID,375752
4816,44,13,1,0,0,0,G20PREDBID,375752
4817,19,13,0,0,0,0,G20PREDBID,375752
4701,241,79,6,1,0,0,G20PREDBID,375752
4605,321,38,8,2,2,0,G20PREDBID,375752
4608,623,130,9,2,1,1,G20PREDBID,375752
3720,1298,386,34,5,8,1,G20PREDBID,375752
4611,255,55,10,2,1,1,G20PREDBID,375752
4613,658,137,6,1,2,2,G20PREDBID,375752
3723,14,6,0,0,0,0,G20PREDBID,375752
4615,273,91,4,1,2,1,G20PREDBID,375752
4616,632,130,5,7,3,2,G20PREDBID,375752
3726,350,77,2,3,0,1,G20PREDBID,375752
4617,1069,262,12,9,5,3,G20PREDBID,375752
4620,370,54,3,3,5,2,G20PREDBID,375752
4621,493,129,3,4,2,5,G20PREDBID,375752
4622,390,63,3,1,1,0,G20PREDBID,375752
4623,493,80,3,2,2,0,G20PREDBID,375752
4624,710,135,11,6,8,6,G20PREDBID,375752
4625,223,32,1,2,0,1,G20PREDBID,375752
4626,454,90,5,1,1,0,G20PREDBID,375752
4503,372,56,6,1,3,0,G20PREDBID,375752
4011,521,83,3,3,3,2,G20PREDBID,375752
3614,1218,276,22,5,4,1,G20PREDBID,375752
4504,493,97,7,3,0,2,G20PREDBID,375752
4505,262,37,1,1,0,1,G20PREDBID,375752
3701,935,255,12,7,0,1,G20PREDBID,375752
3702,306,86,8,0,2,0,G20PREDBID,375752
4407,431,51,6,1,1,0,G20PREDBID,375752
4408,766,87,13,5,2,1,G20PREDBID,375752
4409,769,64,9,2,0,0,G20PREDBID,375752
4410,851,118,15,7,4,2,G20PREDBID,375752
4412,579,83,8,0,1,2,G20PREDBID,375752
4413,345,34,3,1,2,1,G20PREDBID,375752
3703,663,203,16,3,2,2,G20PREDBID,375752
4414,1116,185,17,5,1,1,G20PREDBID,375752
3704,11,7,1,0,0,0,G20PREDBID,375752
3706,110,40,1,0,0,1,G20PREDBID,375752
3707,316,90,11,2,3,1,G20PREDBID,375752
3708,69,21,2,3,0,0,G20PREDBID,375752
3710,426,101,4,2,2,1,G20PREDBID,375752
4601,1541,258,12,9,13,8,G20PREDBID,375752
3712,59,13,3,0,0,0,G20PREDBID,375752
4603,386,117,3,3,2,0,G20PREDBID,375752
3401,1862,259,19,1,3,3,G20PREDBID,375752
4708,99,18,2,0,0,0,G20PREDBID,375752
4652,115,25,1,0,0,0,G20PREDBID,375752
4653,178,22,2,4,2,1,G20PREDBID,375752
4710,3,5,0,0,0,0,G20PREDBID,375752
4654,0,1,0,0,0,0,G20PREDBID,375752
4655,3,0,0,0,0,0,G20PREDBID,375752
4657,117,26,2,0,0,0,G20PREDBID,375752
3406,161,24,3,0,2,0,G20PREDBID,375752
3407,177,32,3,1,0,1,G20PREDBID,375752
3410,893,115,29,2,0,0,G20PREDBID,375752
3412,9,13,0,0,0,0,G20PREDBID,375752
4663,66,34,2,0,0,0,G20PREDBID,375752
3801,279,99,3,1,3,0,G20PREDBID,375752
4662,308,97,5,2,1,1,G20PREDBID,375752
3802,573,155,12,2,0,1,G20PREDBID,375752
3803,198,81,3,1,3,0,G20PREDBID,375752
4627,340,80,4,1,1,1,G20PREDBID,375752
3804,708,215,13,1,4,1,G20PREDBID,375752
4628,555,135,5,2,3,1,G20PREDBID,375752
4629,443,93,9,1,1,3,G20PREDBID,375752
3806,547,149,15,1,3,2,G20PREDBID,375752
3807,400,215,13,3,1,0,G20PREDBID,375752
4401,382,64,9,0,1,0,G20PREDBID,375752
4402,542,81,13,2,1,3,G20PREDBID,375752
4630,376,79,6,2,1,0,G20PREDBID,375752
4403,723,104,7,7,1,3,G20PREDBID,375752
4632,568,152,4,7,1,2,G20PREDBID,375752
4405,544,66,6,4,1,6,G20PREDBID,375752
4406,42,17,1,1,0,1,G20PREDBID,375752
4634,667,164,10,2,2,3,G20PREDBID,375752
4636,120,54,3,0,1,0,G20PREDBID,375752
4506,439,86,7,4,2,1,G20PREDBID,375752
4508,497,66,1,1,1,2,G20PREDBID,375752
4509,594,89,4,6,3,2,G20PREDBID,375752
4639,581,152,8,4,0,0,G20PREDBID,375752
3620,349,132,8,2,0,1,G20PREDBID,375752
3901,1916,408,42,9,8,1,G20PREDBID,375752
3903,687,148,13,3,3,0,G20PREDBID,375752
4648,583,134,8,1,0,3,G20PREDBID,375752
4696,424,68,5,4,0,1,G20PREDBID,375752
4697,132,33,2,0,0,0,G20PREDBID,375752
4698,193,50,0,1,1,1,G20PREDBID,375752
4699,188,42,0,0,1,0,G20PREDBID,375752
4691,198,26,2,2,1,1,G20PREDBID,375752
4694,92,11,4,0,0,1,G20PREDBID,375752
3455,441,89,6,0,1,1,G20PREDBID,375752
3459,1941,395,27,7,6,3,G20PREDBID,375752
3450,1392,297,12,2,0,2,G20PREDBID,375752
3451,1551,204,24,8,1,6,G20PREDBID,375752
4432,146,26,3,2,0,0,G20PREDBID,375752
4434,237,37,4,2,0,0,G20PREDBID,375752
4435,6,2,0,1,0,0,G20PREDBID,375752
4436,18,4,0,0,0,1,G20PREDBID,375752
4437,0,0,0,0,0,0,G20PREDBID,375752
4439,531,76,7,2,6,1,G20PREDBID,375752
3004,126,63,2,1,0,0,G20PREDBID,375752
3005,509,249,17,2,4,2,G20PREDBID,375752
4431,38,3,0,0,0,0,G20PREDBID,375752
3008,291,88,13,0,1,0,G20PREDBID,375752
3420,398,67,8,4,1,0,G20PREDBID,375752
3421,38,10,1,0,0,0,G20PREDBID,375752
3001,1454,488,35,2,3,2,G20PREDBID,375752
3360,65,60,4,0,0,0,G20PREDBID,375752
3361,59,17,0,1,0,0,G20PREDBID,375752
4671,342,65,3,1,4,4,G20PREDBID,375752
3010,126,36,1,0,1,0,G20PREDBID,375752
3376,185,28,1,2,1,0,G20PREDBID,375752
3377,18,6,0,0,0,0,G20PREDBID,375752
3371,43,16,1,0,0,0,G20PREDBID,375752
3372,81,25,0,2,0,0,G20PREDBID,375752
3375,51,10,0,1,2,0,G20PREDBID,375752
3480,456,69,5,1,0,1,G20PREDBID,375752
3340,450,124,8,5,1,0,G20PREDBID,375752
3341,379,86,8,7,0,0,G20PREDBID,375752
4007,1557,227,19,8,8,10,G20PREDBID,375752
4008,1593,197,15,12,4,5,G20PREDBID,375752
4633,1100,285,20,12,5,1,G20PREDBID,375752
4638,684,161,7,1,2,1,G20PREDBID,375752
4612,421,145,7,2,1,2,G20PREDBID,375752
4614,894,201,11,6,3,2,G20PREDBID,375752
4501,1158,227,8,3,6,6,G20PREDBID,375752
3214,13,3,0,0,1,0,G20PREDBID,375752
3456,1179,218,14,3,5,0,G20PREDBID,375752
3006,688,224,13,1,5,1,G20PREDBID,375752
3409,2854,578,36,24,12,6,G20PREDBID,375752
3408,2973,513,37,13,8,5,G20PREDBID,375752
3407,2438,429,39,24,7,1,G20PREDBID,375752
3406,2296,434,42,21,6,3,G20PREDBID,375752
3861,52,13,1,0,0,0,G20PREDBID,375752
2057,3023,376,37,15,3,5,G20PREDBID,375752
3402,2438,476,50,21,5,8,G20PREDBID,375752
2043,2329,385,30,10,9,1,G20PREDBID,375752
3846,72,26,2,0,0,0,G20PREDBID,375752
2046,3201,423,42,19,6,6,G20PREDBID,375752
9275,1272,345,14,11,5,3,G20PREDBID,375752
3840,1393,529,30,13,3,6,G20PREDBID,375752
8093,28,21,0,0,0,0,G20PREDBID,375752
3624,2601,656,41,18,9,9,G20PREDBID,375752
2282,930,285,20,4,5,2,G20PREDBID,375752
2281,5,0,0,0,0,0,G20PREDBID,375752
2285,1671,532,41,6,12,3,G20PREDBID,375752
8085,866,332,26,11,6,4,G20PREDBID,375752
8079,1961,500,29,7,14,2,G20PREDBID,375752
3825,939,272,22,8,3,2,G20PREDBID,375752
2025,3016,491,35,21,6,3,G20PREDBID,375752
3605,2297,705,36,13,10,10,G20PREDBID,375752
2275,742,299,12,4,1,1,G20PREDBID,375752
2274,175,59,3,2,0,0,G20PREDBID,375752
3609,2892,855,33,13,13,11,G20PREDBID,375752
2278,722,224,23,5,2,3,G20PREDBID,375752
9258,1172,391,12,6,7,5,G20PREDBID,375752
3821,665,187,8,6,3,4,G20PREDBID,375752
3820,1521,438,23,12,9,4,G20PREDBID,375752
3603,939,304,12,7,8,1,G20PREDBID,375752
8068,30,10,0,0,1,0,G20PREDBID,375752
3814,1653,605,38,8,11,4,G20PREDBID,375752
8067,2165,486,40,13,7,7,G20PREDBID,375752
2014,2252,503,40,17,10,6,G20PREDBID,375752
8066,714,184,11,2,2,5,G20PREDBID,375752
2013,2523,513,38,28,4,2,G20PREDBID,375752
2018,60,50,2,0,0,1,G20PREDBID,375752
2009,3132,514,38,25,9,14,G20PREDBID,375752
3811,1798,661,24,7,10,2,G20PREDBID,375752
3810,1391,426,24,16,3,5,G20PREDBID,375752
3804,726,244,6,9,4,3,G20PREDBID,375752
3803,1582,472,27,10,4,5,G20PREDBID,375752
2002,2070,261,19,14,2,8,G20PREDBID,375752
8054,1575,468,11,13,2,2,G20PREDBID,375752
2001,37,42,1,0,1,0,G20PREDBID,375752
2006,55,12,1,0,0,1,G20PREDBID,375752
2005,1337,193,18,8,4,3,G20PREDBID,375752
2542,1426,57,23,8,2,6,G20PREDBID,375752
3801,1138,347,30,7,4,3,G20PREDBID,375752
2545,1836,81,23,4,3,7,G20PREDBID,375752
8050,1101,295,16,13,7,5,G20PREDBID,375752
2539,131,14,2,0,0,0,G20PREDBID,375752
