resultspre,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,Winner,Winner Votes
Centerville 08:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Centerville 09:I-S-,474,253,17,3,1,0,9,2,1,21,G20PRERTRU,218423
Centerville 10:I-S-,534,276,32,5,4,2,10,0,1,23,G20PRERTRU,218423
Centerville 11:I-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Centerville 11:I-S-,440,332,19,6,1,1,2,0,0,14,G20PRERTRU,218423
Centerville 11:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Centerville 11:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Centerville 12:I-S-,524,245,17,2,5,1,3,0,2,11,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 01:I-C-,414,173,23,1,1,1,2,0,0,16,G20PRERTRU,218423
Farmington 01:U-C-,2,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 02:I-C-,606,363,23,3,1,1,8,1,0,18,G20PRERTRU,218423
Farmington 02:IBC-,46,26,5,1,0,0,1,0,0,1,G20PRERTRU,218423
Farmington 03:I-C-,343,325,14,1,4,1,7,4,0,15,G20PRERTRU,218423
Farmington 04:IBC-,466,279,23,2,3,1,5,0,0,27,G20PRERTRU,218423
Farmington 04:UBC-,2,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 05:IBC-,440,284,10,2,1,0,4,1,0,25,G20PRERTRU,218423
Farmington 06:I-C-,25,3,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 06:IBC-,654,292,23,0,2,0,3,2,1,25,G20PRERTRU,218423
Farmington 06:U-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 06:UBC-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 07:IBC-,447,226,12,1,2,1,3,0,0,13,G20PRERTRU,218423
Farmington 08:I-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 08:IBC-,465,309,18,2,2,0,10,2,0,23,G20PRERTRU,218423
Farmington 08:U-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 08:UBC-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 09:IBC-,668,348,31,3,8,1,7,1,0,31,G20PRERTRU,218423
Farmington 10:IBC-,503,269,24,4,3,2,7,2,1,11,G20PRERTRU,218423
Farmington 10:U---,1,1,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 10:U-C-,17,4,0,0,0,0,0,0,0,2,G20PRERTRU,218423
Farmington 10:UBC-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 11:IBC-,542,280,30,1,4,4,10,1,1,29,G20PRERTRU,218423
Farmington 12:I-C-,493,238,25,3,3,2,5,1,0,23,G20PRERTRU,218423
Farmington 12:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 12:U-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Farmington 13:IBC-,454,213,28,0,2,1,6,0,0,24,G20PRERTRU,218423
Farmington 14:I-C-,393,196,21,0,0,0,1,1,0,17,G20PRERTRU,218423
Farmington 15:IBC-,294,148,30,2,3,1,3,2,0,16,G20PRERTRU,218423
Farmington 16:IBC-,290,177,12,2,0,3,4,2,0,19,G20PRERTRU,218423
Fruit Heights 02:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Fruit Heights 03:IBC-,242,110,4,0,0,0,2,0,0,14,G20PRERTRU,218423
Fruit Heights 03:U-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Fruit Heights 03:UBC-,1,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Fruit Heights 05:I-C-,383,159,14,2,2,1,2,2,2,11,G20PRERTRU,218423
Kaysville 13:IBC-,469,243,19,2,2,1,5,2,0,26,G20PRERTRU,218423
Kaysville 14:IBC-,300,144,23,3,3,0,3,1,1,24,G20PRERTRU,218423
Kaysville 15:IBC-,454,208,21,2,5,1,5,0,2,24,G20PRERTRU,218423
Kaysville 16:IBC-,625,202,35,2,2,2,12,1,1,17,G20PRERTRU,218423
Kaysville 20:I-C-,544,174,25,3,4,2,6,0,0,33,G20PRERTRU,218423
Kaysville 20:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Kaysville 20:U-C-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
North Salt Lake 01:I-S-,473,509,45,6,4,3,7,1,0,8,G20PRERTRU,218423
North Salt Lake 02:I-S-,391,360,24,2,2,3,6,1,0,16,G20PRERTRU,218423
North Salt Lake 02:IDS-,319,378,34,6,3,0,4,3,1,15,G20PRERTRU,218423
North Salt Lake 02:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
North Salt Lake 03:I-S-,419,410,33,5,5,4,5,3,2,8,G20PRERTRU,218423
North Salt Lake 03:IDS-,50,67,5,0,1,1,0,0,0,1,G20PRERTRU,218423
North Salt Lake 04:I-S-,479,515,28,3,4,4,4,3,1,14,G20PRERTRU,218423
North Salt Lake 05:I-S-,423,201,8,0,1,0,3,0,0,27,G20PRERTRU,218423
North Salt Lake 05:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
North Salt Lake 06:I-S-,410,322,24,1,1,3,3,1,0,25,G20PRERTRU,218423
North Salt Lake 06:IDS-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
North Salt Lake 07:UDS-,228,187,37,1,3,1,7,0,0,10,G20PRERTRU,218423
North Salt Lake 08:I-S-,197,190,3,2,2,0,0,0,0,13,G20PRERTRU,218423
North Salt Lake 08:IDS-,265,204,19,1,1,0,6,1,0,6,G20PRERTRU,218423
North Salt Lake 09:I-S-,420,517,23,4,4,4,8,0,1,17,G20PRERTRU,218423
North Salt Lake 10:I-S-,386,474,19,4,2,1,2,2,1,15,G20PRERTRU,218423
North Salt Lake 11:I-S-,507,245,19,4,1,1,6,1,0,27,G20PRERTRU,218423
Syracuse 02:U---,0,3,0,1,0,0,0,0,0,0,G20PRERTRU,218423
West Bountiful 01:I-S-,441,249,20,2,3,0,1,2,1,18,G20PRERTRU,218423
West Bountiful 02:I-S-,636,302,25,3,6,2,3,3,0,25,G20PRERTRU,218423
West Bountiful 03:I-S-,688,311,35,2,4,4,10,2,3,24,G20PRERTRU,218423
West Bountiful 04:I-S-,303,150,11,0,1,0,2,0,0,6,G20PRERTRU,218423
West Bountiful 04:U---,2,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
West Bountiful 04:U-S-,11,7,0,0,0,0,0,0,0,1,G20PRERTRU,218423
Woods Cross 01:I-S-,257,162,23,2,1,1,1,2,3,10,G20PRERTRU,218423
Woods Cross 01:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Woods Cross 01:U-S-,11,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Woods Cross 02:I-S-,589,319,44,1,6,1,5,2,0,10,G20PRERTRU,218423
Woods Cross 03:I-S-,568,412,48,5,7,2,6,5,0,26,G20PRERTRU,218423
Woods Cross 04:I-S-,209,209,14,5,3,3,3,3,1,5,G20PRERTRU,218423
Woods Cross 04:IDS-,0,2,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Woods Cross 05:I-S-,364,321,33,5,8,2,1,0,4,16,G20PRERTRU,218423
Woods Cross 06:I-S-,321,244,12,0,2,1,4,1,1,14,G20PRERTRU,218423
Woods Cross 06:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Woods Cross 07:I-S-,460,341,41,2,4,2,3,1,1,32,G20PRERTRU,218423
Emery #1,155,11,4,1,0,0,1,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Ferron #2,409,25,5,1,0,1,2,1,0,1,G20PRERTRU,218423
Ferron #3,350,53,4,4,2,0,1,1,1,0,G20PRERTRU,218423
Orangeville #5,576,103,6,0,1,1,3,1,0,3,G20PRERTRU,218423
Antimony 1,67,9,1,0,0,0,0,0,0,0,G20PRERTRU,218423
Boulder 2,94,137,6,6,1,0,1,0,0,0,G20PRERTRU,218423
Bryce Canyon City 11,34,1,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Cannonville 3,78,4,1,1,0,2,0,0,1,0,G20PRERTRU,218423
Escalante 4,367,144,6,3,0,0,1,0,0,0,G20PRERTRU,218423
Hatch 5,165,33,3,0,0,0,0,0,0,0,G20PRERTRU,218423
Henrieville 6,125,21,6,0,0,0,0,0,0,0,G20PRERTRU,218423
Panguitch 7,526,63,10,0,2,1,0,3,0,0,G20PRERTRU,218423
Panguitch 8,414,59,3,1,0,0,0,0,0,0,G20PRERTRU,218423
Ticaboo 9,15,6,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Tropic 10,273,37,1,0,0,0,0,0,0,0,G20PRERTRU,218423
BH,70,32,1,0,0,0,0,0,0,0,G20PRERTRU,218423
BRYL,182,18,13,1,1,3,2,0,0,2,G20PRERTRU,218423
CC 1,622,200,27,1,5,2,5,1,2,12,G20PRERTRU,218423
CC 10,134,64,6,4,0,1,3,0,1,8,G20PRERTRU,218423
CC 11,137,52,11,1,0,2,0,1,0,4,G20PRERTRU,218423
CC 12,148,80,9,2,2,2,1,0,0,10,G20PRERTRU,218423
CC 13,248,82,13,0,1,1,0,0,1,6,G20PRERTRU,218423
CC 14,320,84,10,1,0,0,1,2,1,12,G20PRERTRU,218423
CC 15,325,120,13,0,1,0,2,0,0,22,G20PRERTRU,218423
CC 16,1181,300,40,6,9,1,7,2,2,18,G20PRERTRU,218423
CC 17,292,127,19,2,3,1,3,2,1,12,G20PRERTRU,218423
CC 18,889,231,18,1,2,3,5,1,1,36,G20PRERTRU,218423
CC 19,785,230,32,3,7,2,8,1,0,24,G20PRERTRU,218423
CC 2,629,176,25,3,5,0,2,1,0,8,G20PRERTRU,218423
CC 20,1451,267,14,3,3,2,8,1,0,24,G20PRERTRU,218423
CC 21,257,98,29,0,3,1,2,0,0,0,G20PRERTRU,218423
CC 22,369,91,18,0,0,0,0,0,0,12,G20PRERTRU,218423
CC 23,474,159,16,4,1,0,7,2,1,20,G20PRERTRU,218423
CC 24,500,105,14,0,4,0,0,0,0,22,G20PRERTRU,218423
CC 25,1241,234,44,2,6,3,7,1,0,10,G20PRERTRU,218423
CC 3,446,182,14,1,0,0,2,1,0,8,G20PRERTRU,218423
CC 4,328,136,25,6,2,1,3,0,0,10,G20PRERTRU,218423
CC 5,637,230,28,2,1,0,3,1,1,8,G20PRERTRU,218423
CC 6,664,296,47,12,2,2,6,0,3,24,G20PRERTRU,218423
CC 7,246,108,13,3,0,0,0,0,2,6,G20PRERTRU,218423
CC 8,174,96,21,4,1,0,1,0,0,2,G20PRERTRU,218423
CC 9,232,120,15,2,0,1,2,0,2,6,G20PRERTRU,218423
CH,87,11,1,0,0,0,0,0,0,0,G20PRERTRU,218423
ENO 1,151,45,7,0,1,0,0,0,0,0,G20PRERTRU,218423
ENO 2,670,117,25,3,3,3,1,2,0,18,G20PRERTRU,218423
ENO 3,1075,176,26,4,5,0,3,1,1,10,G20PRERTRU,218423
ENO 4,956,117,23,2,2,4,1,1,0,22,G20PRERTRU,218423
KANARR,353,57,6,1,0,0,0,0,1,8,G20PRERTRU,218423
MIDV,508,98,5,2,3,1,1,1,0,0,G20PRERTRU,218423
