PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,Winner,Winner Votes
6253001226,60,128,1,1,0,0,0,G20PREDBID,324828
7243401092,653,579,22,3,2,1,6,G20PREDBID,324828
7243101089,666,454,26,5,1,2,7,G20PREDBID,324828
7243401087,690,467,31,5,4,6,6,G20PREDBID,324828
7243101088,706,516,21,1,3,4,5,G20PREDBID,324828
7243101147,842,677,21,4,2,9,12,G20PREDBID,324828
7243101086,508,472,15,9,1,2,5,G20PREDBID,324828
7243101085,620,477,24,2,2,1,2,G20PREDBID,324828
7243401083,599,468,19,1,3,2,3,G20PREDBID,324828
7243401082,542,382,20,1,6,1,3,G20PREDBID,324828
7243401080,490,467,13,0,1,1,5,G20PREDBID,324828
7243101079,410,372,17,1,0,2,5,G20PREDBID,324828
6243101150,801,602,23,6,4,4,5,G20PREDBID,324828
7253001138,413,349,27,2,0,1,4,G20PREDBID,324828
7253001143,531,403,18,2,2,0,8,G20PREDBID,324828
7243401102,616,425,21,1,3,2,7,G20PREDBID,324828
7243401100,645,448,27,3,4,4,13,G20PREDBID,324828
7243401103,349,174,16,2,1,1,4,G20PREDBID,324828
7243101134,702,545,25,9,7,4,11,G20PREDBID,324828
7243101093,728,581,27,5,6,9,6,G20PREDBID,324828
7243101094,578,562,15,3,7,1,10,G20PREDBID,324828
7243401096,515,420,20,5,2,5,7,G20PREDBID,324828
7243401095,639,506,24,1,1,6,8,G20PREDBID,324828
7243401090,684,367,19,6,1,4,10,G20PREDBID,324828
7243401052,951,528,29,7,2,7,5,G20PREDBID,324828
7243401091,662,373,14,5,4,7,4,G20PREDBID,324828
6255601198,288,464,6,3,1,0,3,G20PREDBID,324828
7243401053,600,486,14,4,2,3,6,G20PREDBID,324828
7243401098,560,430,12,6,1,3,3,G20PREDBID,324828
7243401099,413,284,15,1,5,5,1,G20PREDBID,324828
7243401051,768,609,27,6,4,3,5,G20PREDBID,324828
7243401039,563,351,13,6,4,4,6,G20PREDBID,324828
