SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
510920,0,0,0,0,0,0,G20PREDBID,275018
866920,0,0,0,0,0,0,G20PREDBID,275018
867200,47,29,1,0,0,0,G20PREDBID,275018
866810,43,52,0,0,0,0,G20PREDBID,275018
510840,64,106,0,1,1,0,G20PREDBID,275018
501,170,322,2,1,5,0,G20PREDBID,275018
543,72,113,0,0,0,0,G20PREDBID,275018
9240001,731,671,19,3,2,2,G20PREDBID,275018
5145001,235,200,5,1,1,1,G20PREDBID,275018
7843,2814,779,17,17,9,22,G20PREDBID,275018
7849,1908,510,13,14,18,11,G20PREDBID,275018
7833,1798,659,7,11,6,16,G20PREDBID,275018
7832,1355,611,12,6,7,3,G20PREDBID,275018
6491,20,4,0,0,0,0,G20PREDBID,275018
8093,28,21,0,0,0,0,G20PREDBID,275018
8092,50,23,0,1,0,1,G20PREDBID,275018
9059,1623,542,25,7,6,6,G20PREDBID,275018
7821,2337,1109,18,16,10,13,G20PREDBID,275018
8096,1761,646,35,15,8,7,G20PREDBID,275018
7827,879,206,8,6,4,5,G20PREDBID,275018
7826,2239,784,12,6,9,6,G20PREDBID,275018
8089,2025,550,42,7,9,2,G20PREDBID,275018
7818,150,65,4,1,0,2,G20PREDBID,275018
7817,7,2,0,0,0,0,G20PREDBID,275018
9051,970,576,22,7,7,6,G20PREDBID,275018
8082,1455,362,24,13,6,4,G20PREDBID,275018
7812,946,429,7,6,6,6,G20PREDBID,275018
8085,866,332,26,11,6,4,G20PREDBID,275018
7816,186,45,3,0,1,0,G20PREDBID,275018
8079,1961,500,29,7,14,2,G20PREDBID,275018
6455,1958,633,16,14,8,3,G20PREDBID,275018
6454,161,75,4,0,2,0,G20PREDBID,275018
6452,710,205,5,4,9,4,G20PREDBID,275018
7805,1101,680,11,8,1,4,G20PREDBID,275018
8073,368,81,4,4,0,0,G20PREDBID,275018
8072,448,84,7,2,2,0,G20PREDBID,275018
8068,30,10,0,0,1,0,G20PREDBID,275018
8067,2165,486,40,13,7,7,G20PREDBID,275018
8066,714,184,11,2,2,5,G20PREDBID,275018
8055,218,46,6,3,2,2,G20PREDBID,275018
8054,1575,468,11,13,2,2,G20PREDBID,275018
3801,1138,347,30,7,4,3,G20PREDBID,275018
8050,1101,295,16,13,7,5,G20PREDBID,275018
9220,1855,448,27,12,9,5,G20PREDBID,275018
6423,26,27,0,0,0,0,G20PREDBID,275018
8040,422,76,2,2,3,0,G20PREDBID,275018
8034,176,24,3,0,0,2,G20PREDBID,275018
8033,162,66,2,0,3,0,G20PREDBID,275018
